Run finished at Thu Sep 10 13:02:15 2020
Global runtime       = 19251ms / 19.251s
Number of processors = 1
# Rank: 0

                                                                                Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                              _GLOBAL |          1 |      19251 |      19251 |      19251 |      19251 |          1 |
                                                                              advance |        102 |      16113 |        185 |          2 |        157 |      0.837 |
                                                 advance/cpl.computeQuasiNewtonUpdate |          2 |          1 |          1 |          0 |          0 |   5.19e-05 |
                                                              advance/m2n.receiveData |        101 |      15776 |        181 |         79 |        156 |      0.819 |
                                                                 advance/m2n.sendData |        102 |         24 |          0 |          0 |          0 |    0.00125 |
                              advance/map.nn.mapData.FromOpenFOAM-MeshToCalculix_Mesh |        101 |          5 |          0 |          0 |          0 |    0.00026 |
                                                                            configure |          1 |          1 |          1 |          1 |          1 |   5.19e-05 |
                                                                             finalize |          1 |         40 |         40 |         40 |         40 |    0.00208 |
                                                                           initialize |          1 |       2098 |       2098 |       2098 |       2098 |      0.109 |
                                          initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                 initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.createCommunications |          2 |          6 |          3 |          3 |          3 |   0.000312 |
                                            initialize/m2n.exchangeVertexDistribution |          2 |          8 |          4 |          3 |          4 |   0.000416 |
                                                           initialize/m2n.receiveData |          1 |        130 |        130 |        130 |        130 |    0.00675 |
                                               initialize/m2n.requestMasterConnection |          1 |       1941 |       1941 |       1941 |       1941 |      0.101 |
                                               initialize/m2n.requestSlavesConnection |          1 |         15 |         15 |         15 |         15 |   0.000779 |
                    initialize/map.nn.computeMapping.FromOpenFOAM-MeshToCalculix_Mesh |          1 |          3 |          3 |          3 |          3 |   0.000156 |
 initialize/map.nn.computeMapping.FromOpenFOAM-MeshToCalculix_Mesh.getIndexOnVertices |          1 |          1 |          1 |          1 |          1 |   5.19e-05 |
                           initialize/map.nn.mapData.FromOpenFOAM-MeshToCalculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.gatherMesh.Calculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Calculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.receiveGlobalMesh.OpenFOAM-Mesh |          1 |          2 |          2 |          2 |          2 |   0.000104 |
                                    initialize/partition.sendGlobalMesh.Calculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                       initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                       initializeData/map.nn.mapData.FromOpenFOAM-MeshToCalculix_Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                       solver.advance |        102 |        973 |         16 |          1 |          9 |     0.0505 |
                                                                    solver.initialize |          1 |         19 |         19 |         19 |         19 |   0.000987 |


                                                                                 Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                              _GLOBAL |      19251 |          0 |      19251 |          0 |          1 |
                                                                              advance |        185 |          0 |          2 |          0 |  0.0108108 |
                                                 advance/cpl.computeQuasiNewtonUpdate |          1 |          0 |          0 |          0 |          0 |
                                                              advance/m2n.receiveData |        181 |          0 |         79 |          0 |   0.436464 |
                                                                 advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                              advance/map.nn.mapData.FromOpenFOAM-MeshToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                            configure |          1 |          0 |          1 |          0 |          1 |
                                                                             finalize |         40 |          0 |         40 |          0 |          1 |
                                                                           initialize |       2098 |          0 |       2098 |          0 |          1 |
                                          initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                 initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                  initialize/m2n.createCommunications |          3 |          0 |          3 |          0 |          1 |
                                            initialize/m2n.exchangeVertexDistribution |          4 |          0 |          3 |          0 |       0.75 |
                                                           initialize/m2n.receiveData |        130 |          0 |        130 |          0 |          1 |
                                               initialize/m2n.requestMasterConnection |       1941 |          0 |       1941 |          0 |          1 |
                                               initialize/m2n.requestSlavesConnection |         15 |          0 |         15 |          0 |          1 |
                    initialize/map.nn.computeMapping.FromOpenFOAM-MeshToCalculix_Mesh |          3 |          0 |          3 |          0 |          1 |
 initialize/map.nn.computeMapping.FromOpenFOAM-MeshToCalculix_Mesh.getIndexOnVertices |          1 |          0 |          1 |          0 |          1 |
                           initialize/map.nn.mapData.FromOpenFOAM-MeshToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.gatherMesh.Calculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                       initialize/partition.prepareMesh.Calculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                 initialize/partition.receiveGlobalMesh.OpenFOAM-Mesh |          2 |          0 |          2 |          0 |          1 |
                                    initialize/partition.sendGlobalMesh.Calculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                       initializeData |          0 |          0 |          0 |          0 |          0 |
                       initializeData/map.nn.mapData.FromOpenFOAM-MeshToCalculix_Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                       solver.advance |         16 |          0 |          1 |          0 |     0.0625 |
                                                                    solver.initialize |         19 |          0 |         19 |          0 |          1 |
