TimeWindow  TotalIterations  Iterations  Convergence  
1  2  2  1  
2  3  1  1  
3  4  1  1  
4  5  1  1  
5  6  1  1  
6  7  1  1  
7  8  1  1  
8  9  1  1  
9  10  1  1  
10  11  1  1  
11  12  1  1  
12  13  1  1  
13  14  1  1  
14  15  1  1  
15  16  1  1  
16  17  1  1  
17  18  1  1  
18  19  1  1  
19  20  1  1  
20  21  1  1  
21  22  1  1  
22  23  1  1  
23  24  1  1  
24  25  1  1  
25  26  1  1  
26  27  1  1  
27  28  1  1  
28  29  1  1  
29  30  1  1  
30  31  1  1  
31  32  1  1  
32  33  1  1  
33  34  1  1  
34  35  1  1  
35  36  1  1  
36  37  1  1  
37  38  1  1  
38  39  1  1  
39  40  1  1  
40  41  1  1  
41  42  1  1  
42  43  1  1  
43  44  1  1  
44  45  1  1  
45  46  1  1  
46  47  1  1  
47  48  1  1  
48  49  1  1  
49  50  1  1  
50  51  1  1  
51  52  1  1  
52  53  1  1  
53  54  1  1  
54  55  1  1  
55  56  1  1  
56  57  1  1  
57  58  1  1  
58  59  1  1  
59  60  1  1  
60  61  1  1  
61  62  1  1  
62  63  1  1  
63  64  1  1  
64  65  1  1  
65  66  1  1  
66  67  1  1  
67  68  1  1  
68  69  1  1  
69  70  1  1  
70  71  1  1  
71  72  1  1  
72  73  1  1  
73  74  1  1  
74  75  1  1  
75  76  1  1  
76  77  1  1  
77  78  1  1  
78  79  1  1  
79  80  1  1  
80  81  1  1  
81  82  1  1  
82  83  1  1  
83  84  1  1  
84  85  1  1  
85  86  1  1  
86  87  1  1  
87  88  1  1  
88  89  1  1  
89  90  1  1  
90  91  1  1  
91  92  1  1  
92  93  1  1  
93  94  1  1  
94  95  1  1  
95  96  1  1  
96  98  2  1  
97  99  1  1  
98  100  1  1  
99  101  1  1  
100  102  1  1  
