Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
1  5  5  1  0.0551719611858150  0  
2  9  4  1  0.0849611521986089  0  
3  13  4  1  0.0874076796698449  0  
4  16  3  1  0.0728546257828193  0  
5  19  3  1  0.0548213425658083  0  
6  22  3  1  0.0459142124309855  0  
7  25  3  1  0.0889984410364196  0  
8  28  3  1  0.0873831414989059  0  
9  30  2  1  0.0429282001163118  0  
10  32  2  1  0.0259146002223905  0  
11  34  2  1  0.0367624110315472  1  
12  36  2  1  0.0343737162624052  0  
13  38  2  1  0.0292495858062908  0  
14  40  2  1  0.0324588512381736  0  
15  42  2  1  0.0312358598126788  0  
16  44  2  1  0.0308048691347709  0  
17  46  2  1  0.0303647067343833  0  
18  48  2  1  0.0299193063780185  0  
19  50  2  1  0.0292001513761284  0  
20  52  2  1  0.0294459276684885  0  
21  54  2  1  0.0286053875595748  0  
22  56  2  1  0.0282569720538918  0  
23  58  2  1  0.0278848202423135  0  
24  60  2  1  0.0273104868382701  0  
25  62  2  1  0.0276801858768849  0  
26  64  2  1  0.0267600312402614  0  
27  66  2  1  0.0265209299744496  0  
28  68  2  1  0.0262224072709204  0  
29  70  2  1  0.0259317025626085  0  
30  72  2  1  0.0256454497574763  0  
31  74  2  1  0.0253718453887538  0  
32  76  2  1  0.0265925714702544  0  
33  78  2  1  0.0266936492462665  0  
34  80  2  1  0.0247863016363091  0  
35  82  2  1  0.0244146952192586  0  
36  84  2  1  0.0241642241747231  0  
37  86  2  1  0.0239289359095674  0  
38  88  2  1  0.0234956129988414  0  
39  90  2  1  0.0246264517646574  0  
40  92  2  1  0.0232375261015044  0  
41  94  2  1  0.0231052643407783  0  
42  96  2  1  0.0229085209625497  0  
43  98  2  1  0.0227173263128685  0  
44  100  2  1  0.0225323301759766  0  
45  102  2  1  0.0223544026052636  0  
46  104  2  1  0.0221808767009068  0  
47  106  2  1  0.0220114067234316  0  
48  108  2  1  0.0218472875530554  0  
49  110  2  1  0.0216878210644123  0  
50  112  2  1  0.0215321830072447  0  
51  114  2  1  0.0213805794691341  0  
52  116  2  1  0.0212330071989084  0  
53  118  2  1  0.0210889600918233  0  
54  120  2  1  0.0209485215783594  0  
55  122  2  1  0.0208114383947816  0  
56  124  2  1  0.0206776045742260  0  
57  126  2  1  0.0205469003842723  0  
58  128  2  1  0.0307731682171807  0  
59  130  2  1  0.0276206949905819  0  
60  132  2  1  0.0211164795765854  0  
61  134  2  1  0.0201774415065022  0  
62  136  2  1  0.0202712510300549  0  
63  138  2  1  0.0208118108336797  0  
64  140  2  1  0.0198899823125966  0  
65  142  2  1  0.0196087013036259  0  
66  144  2  1  0.0195002957690432  0  
67  146  2  1  0.0193964835323227  0  
68  148  2  1  0.0211960322656686  0  
69  150  2  1  0.0226346403072579  0  
70  152  2  1  0.0194262488234910  0  
71  154  2  1  0.0190153464759515  0  
72  156  2  1  0.0189114849873744  0  
73  158  2  1  0.0188158923389252  0  
74  160  2  1  0.0187220805428613  0  
75  162  2  1  0.0186289241504022  0  
76  164  2  1  0.0185386688526147  0  
77  166  2  1  0.0184508734454862  0  
78  168  2  1  0.0183641530669003  0  
79  170  2  1  0.0182795314589114  0  
80  172  2  1  0.0181965080787653  0  
81  174  2  1  0.0181152788672951  0  
82  176  2  1  0.0180354050495275  0  
83  178  2  1  0.0179569088415860  0  
84  180  2  1  0.0178798821910791  0  
85  182  2  1  0.0178041909543446  0  
86  184  2  1  0.0177297937342746  0  
87  186  2  1  0.0176567486207714  0  
88  188  2  1  0.0175848555385596  0  
89  190  2  1  0.0175142262201697  0  
90  192  2  1  0.0174446369045136  0  
91  194  2  1  0.0173761863737197  0  
92  196  2  1  0.0173087749058552  0  
93  198  2  1  0.0172425211564909  0  
94  200  2  1  0.0171772468811091  0  
95  202  2  1  0.0171130500379491  0  
96  204  2  1  0.0170498063104158  0  
97  206  2  1  0.0169875327373024  0  
98  208  2  1  0.0169260622337511  0  
99  210  2  1  0.0168655861953726  0  
100  212  2  1  0.0168059361192650  0  
101  214  2  1  0.0167472039503824  0  
102  216  2  1  0.0166893322176903  0  
103  218  2  1  0.0402050550876179  0  
104  220  2  1  0.0519391528450377  0  
105  222  2  1  0.0556177427835169  0  
106  224  2  1  0.0395615689597062  0  
107  226  2  1  0.0195184285553452  0  
108  228  2  1  0.0167154614478793  0  
109  230  2  1  0.0163876166959425  0  
110  232  2  1  0.0162812276491790  0  
111  234  2  1  0.0162097787181385  0  
112  236  2  1  0.0161476369032130  0  
113  238  2  1  0.0160948062174868  0  
114  240  2  1  0.0160431995739561  0  
115  242  2  1  0.0159924663727107  0  
116  244  2  1  0.0159444544734479  0  
117  246  2  1  0.0158963473478465  0  
118  248  2  1  0.0158493320512407  0  
119  250  2  1  0.0158032433414885  0  
120  252  2  1  0.0157575550267758  0  
121  254  2  1  0.0244171167448201  0  
122  256  2  1  0.0264073871054152  0  
123  258  2  1  0.0188313366426772  0  
124  260  2  1  0.0156574596960529  0  
125  262  2  1  0.0155726356868419  0  
126  264  2  1  0.0155090464887632  0  
127  266  2  1  0.0154701979579620  0  
128  268  2  1  0.0154235542579307  0  
129  270  2  1  0.0153813665022560  0  
130  272  2  1  0.0153396575812490  0  
131  274  2  1  0.0152984367685246  0  
132  276  2  1  0.0152575533845892  0  
133  278  2  1  0.0152178840831931  0  
134  280  2  1  0.0151781534201250  0  
135  282  2  1  0.0151391421198529  0  
136  284  2  1  0.0151006532457128  0  
137  286  2  1  0.0150625512704466  0  
138  288  2  1  0.0150249364061336  0  
139  290  2  1  0.0149876708965137  0  
140  292  2  1  0.0149508292894759  0  
141  294  2  1  0.0149143824750746  0  
142  296  2  1  0.0148782762999496  0  
143  298  2  1  0.0148425024338344  0  
144  300  2  1  0.0148070816204046  0  
145  302  2  1  0.0147720016555061  0  
146  304  2  1  0.0147373083821661  0  
147  306  2  1  0.0147029233002772  0  
148  308  2  1  0.0146688332194748  0  
149  310  2  1  0.0146350907311895  0  
150  312  2  1  0.0146015941258774  0  
151  314  2  1  0.0145684031386966  0  
152  316  2  1  0.0145354987228571  0  
153  318  2  1  0.0145028925060791  0  
154  320  2  1  0.0144705747972067  0  
155  322  2  1  0.0144385467579023  0  
156  324  2  1  0.0144067848970573  0  
157  326  2  1  0.0143752379565834  0  
158  328  2  1  0.0143440519754552  0  
159  330  2  1  0.0143129695209525  0  
160  332  2  1  0.0142822259092772  0  
161  334  2  1  0.0142517205757478  0  
162  336  2  1  0.0142214182888122  0  
163  338  2  1  0.0141914204826091  0  
164  340  2  1  0.0141616503825837  0  
165  342  2  1  0.0141320871957911  0  
166  344  2  1  0.0141026886329070  0  
167  346  2  1  0.0140736126412800  0  
168  348  2  1  0.0140446792377426  0  
169  350  2  1  0.0140160231221623  0  
170  352  2  1  0.0139874552446116  0  
171  354  2  1  0.0139592366815479  0  
172  356  2  1  0.0139311696445329  0  
173  358  2  1  0.0139033059308105  0  
174  360  2  1  0.0490705620592892  0  
175  362  2  1  0.0669692106048033  0  
176  364  2  1  0.0705311022835053  0  
177  366  2  1  0.0689219581931568  0  
178  368  2  1  0.0704246420304254  0  
179  370  2  1  0.0500473665721673  0  
180  372  2  1  0.0197652153239087  0  
181  374  2  1  0.0145029231103990  0  
182  376  2  1  0.0137594086697779  0  
183  378  2  1  0.0135954849748721  0  
184  380  2  1  0.0135258450054238  0  
185  382  2  1  0.0134873449603999  0  
186  384  2  1  0.0134606235985072  0  
187  386  2  1  0.0134385004624224  0  
188  388  2  1  0.0134177178770855  0  
189  390  2  1  0.0133955804569497  0  
190  392  2  1  0.0133743530040543  0  
191  394  2  1  0.0133533797368732  0  
192  396  2  1  0.0133318066447646  0  
193  398  2  1  0.0133108808346698  0  
194  400  2  1  0.0132894618759498  0  
195  402  2  1  0.0132770805652190  0  
196  404  2  1  0.0132427070281072  0  
197  406  2  1  0.0132234847070804  0  
198  408  2  1  0.0132037389603761  0  
199  410  2  1  0.0131822058871239  0  
200  412  2  1  0.0131605523017572  0  
201  414  2  1  0.0131391646429278  0  
202  416  2  1  0.0131177722726640  0  
203  418  2  1  0.0130954518442339  0  
204  420  2  1  0.0130742126169427  0  
205  422  2  1  0.0316318466085765  0  
206  424  2  1  0.0352274476847379  0  
207  426  2  1  0.0226889128019576  0  
208  428  2  1  0.0134737235206381  0  
209  430  2  1  0.0130903223876054  0  
210  432  2  1  0.0129450622331903  0  
211  434  2  1  0.0129688984151947  0  
212  436  2  1  0.0129083890947662  0  
213  438  2  1  0.0128947945858119  0  
214  440  2  1  0.0128658032267393  0  
215  442  2  1  0.0128465485515479  0  
216  444  2  1  0.0128505024919361  0  
217  446  2  1  0.0128052021859633  0  
218  448  2  1  0.0127715373042944  0  
219  450  2  1  0.0127580140186280  0  
220  452  2  1  0.0127517526887793  0  
221  454  2  1  0.0127242120886921  0  
222  456  2  1  0.0127044126799734  0  
223  458  2  1  0.0126846606988084  0  
224  460  2  1  0.0126650964885636  0  
225  462  2  1  0.0126454472535694  0  
226  464  2  1  0.0126258769571993  0  
227  466  2  1  0.0126066036507542  0  
228  468  2  1  0.0125867671768872  0  
229  470  2  1  0.0125676799977407  0  
230  472  2  1  0.0125474058382921  0  
231  474  2  1  0.0125309609242935  0  
232  476  2  1  0.0125153696513285  0  
233  478  2  1  0.0124922594566136  0  
234  480  2  1  0.0124919525402820  0  
235  482  2  1  0.0124812837238858  0  
236  484  2  1  0.0124146422832006  0  
237  486  2  1  0.0124193595876967  0  
238  488  2  1  0.0124003329040212  0  
239  490  2  1  0.0123826474321815  0  
240  492  2  1  0.0123645666946575  0  
241  494  2  1  0.0123461230751958  0  
242  496  2  1  0.0123288961602196  0  
243  498  2  1  0.0123114078651659  0  
244  500  2  1  0.0122935019797724  0  
245  502  2  1  0.0122759871264633  0  
246  504  2  1  0.0122587023306393  0  
247  506  2  1  0.0122414502818502  0  
248  508  2  1  0.0122231104169517  0  
249  510  2  1  0.0122023181262506  0  
250  512  2  1  0.0121969553565521  0  
251  514  2  1  0.0121723392893704  0  
252  516  2  1  0.0121460190342230  0  
253  518  2  1  0.0121782476820611  0  
254  520  2  1  0.0121615058297703  0  
255  522  2  1  0.0120735443328299  0  
256  524  2  1  0.0120898229088908  0  
257  526  2  1  0.0120740908669434  0  
258  528  2  1  0.0120583286404247  0  
259  530  2  1  0.0120423478215637  0  
260  532  2  1  0.0120266011746055  0  
261  534  2  1  0.0120107466982627  0  
262  536  2  1  0.0119950433292063  0  
263  538  2  1  0.0119794096062119  0  
264  540  2  1  0.0119639171258782  0  
265  542  2  1  0.0119522999502611  0  
266  544  2  1  0.0119316200820084  0  
267  546  2  1  0.0119229656982517  0  
268  548  2  1  0.0118801860028724  0  
269  550  2  1  0.0119070028837670  0  
270  552  2  1  0.0118665912026872  0  
271  554  2  1  0.0118517683357089  0  
272  556  2  1  0.0551508458049035  0  
273  558  2  1  0.0770929490605309  0  
274  560  2  1  0.0806260450830788  0  
275  562  2  1  0.0570243686734734  0  
276  564  2  1  0.0210124631641389  0  
277  566  2  1  0.0128890323778471  0  
278  568  2  1  0.0117364512105092  0  
279  570  2  1  0.0114531646253652  0  
280  572  2  1  0.0113820012585261  0  
281  574  2  1  0.0113675239928042  0  
282  576  2  1  0.0113742271308509  0  
283  578  2  1  0.0113805884140627  0  
284  580  2  1  0.0113799508921056  0  
285  582  2  1  0.0113842827516002  0  
286  584  2  1  0.0113906749913971  0  
287  586  2  1  0.0113935472407656  0  
288  588  2  1  0.0113573980098450  0  
289  590  2  1  0.0113877397817373  0  
290  592  2  1  0.0113983914206511  0  
291  594  2  1  0.0113727852639898  0  
292  596  2  1  0.0113854918744028  0  
293  598  2  1  0.0113745962899138  0  
294  600  2  1  0.0113680198018426  0  
295  602  2  1  0.0114346515627958  0  
296  604  2  1  0.0113434864805350  0  
297  606  2  1  0.0113289952777421  0  
298  608  2  1  0.0113372664395123  0  
299  610  2  1  0.0113319778979734  0  
300  612  2  1  0.0113252171396528  0  
301  614  2  1  0.0113190138517423  0  
302  616  2  1  0.0113133564757380  0  
303  618  2  1  0.0112997959095727  0  
304  620  2  1  0.0112940503829545  0  
305  622  2  1  0.0112861318204859  0  
306  624  2  1  0.0112776731004073  0  
307  626  2  1  0.0112790824538553  0  
308  628  2  1  0.0112511001783893  0  
309  630  2  1  0.0112486941194568  0  
310  632  2  1  0.0112378178697615  0  
311  634  2  1  0.0112208164695714  0  
312  636  2  1  0.0112441693247417  0  
313  638  2  1  0.0112102945330787  0  
314  640  2  1  0.0342552455743627  0  
315  642  2  1  0.0510187584120145  0  
316  644  2  1  0.0566502965302597  0  
317  646  2  1  0.0452626885037020  0  
318  648  2  1  0.0309645564701234  0  
319  650  2  1  0.0267776209959675  0  
320  652  2  1  0.0262380895253629  0  
321  654  2  1  0.0264394669933591  0  
322  656  2  1  0.0262639368906201  0  
323  658  2  1  0.0264494039672236  0  
324  660  2  1  0.0262890319809215  0  
325  662  2  1  0.0265256538646120  0  
326  664  2  1  0.0263228859251413  0  
327  666  2  1  0.0265538088243306  0  
328  668  2  1  0.0263640449235032  0  
329  670  2  1  0.0265969329909874  0  
330  672  2  1  0.0264555582356531  0  
331  674  2  1  0.0266608184283191  0  
332  676  2  1  0.0264591392815908  0  
333  678  2  1  0.0267114114122092  0  
334  680  2  1  0.0265016329713010  0  
335  682  2  1  0.0267704290516258  0  
336  684  2  1  0.0265500627743157  0  
337  686  2  1  0.0268227735878589  0  
338  688  2  1  0.0265716399183052  0  
339  690  2  1  0.0221957075122239  0  
340  692  2  1  0.0137479080243451  0  
341  694  2  1  0.0111535947823144  0  
342  696  2  1  0.0109650806225029  0  
343  698  2  1  0.0109592014267200  0  
344  700  2  1  0.0110704325818995  0  
345  702  2  1  0.0109084161392538  0  
346  704  2  1  0.0109636015699330  0  
347  706  2  1  0.0109499790214603  0  
348  708  2  1  0.0109483482180802  0  
349  710  2  1  0.0109334288420757  0  
350  712  2  1  0.0109145342546622  0  
351  714  2  1  0.0108961434639265  0  
352  716  2  1  0.0108785871987431  0  
353  718  2  1  0.0108527685098376  0  
354  720  2  1  0.0108823001656477  0  
355  722  2  1  0.0108684933108134  0  
356  724  2  1  0.0108118172901287  0  
357  726  2  1  0.0108434136384325  0  
358  728  2  1  0.0108405779625053  0  
359  730  2  1  0.0108316817920138  0  
360  732  2  1  0.0108273432123297  0  
361  734  2  1  0.0107951283639789  0  
362  736  2  1  0.0108389043162509  0  
363  738  2  1  0.0108107414139703  0  
364  740  2  1  0.0108209554059783  0  
365  742  2  1  0.0108057760775570  0  
366  744  2  1  0.0108010006704080  0  
367  746  2  1  0.0107953124586374  0  
368  748  2  1  0.0107886767118760  0  
369  750  2  1  0.0107850639962999  0  
370  752  2  1  0.0107827510993551  0  
371  754  2  1  0.0107804447900011  0  
372  756  2  1  0.0108410443146762  0  
373  758  2  1  0.0107126977212243  0  
374  760  2  1  0.0107570249705132  0  
375  762  2  1  0.0107527051043118  0  
376  764  2  1  0.0107487703133179  0  
377  766  2  1  0.0107448773213629  0  
378  768  2  1  0.0107411565847593  0  
379  770  2  1  0.0107256703670010  0  
380  772  2  1  0.0107449494619098  0  
381  774  2  1  0.0107271717232350  0  
382  776  2  1  0.0107351483613901  0  
383  778  2  1  0.0107346648740732  0  
384  780  2  1  0.0106872882595812  0  
385  782  2  1  0.0107156326851326  0  
386  784  2  1  0.0107059793133664  0  
387  786  2  1  0.0107043040656732  0  
388  788  2  1  0.0106983243406554  0  
389  790  2  1  0.0574008104816212  0  
390  792  2  1  0.0558013469474931  0  
391  794  2  1  0.0217198742330339  0  
392  796  2  1  0.0124925877712936  0  
393  798  2  1  0.0106010958197318  0  
394  800  2  1  0.0100190250518494  0  
395  802  2  1  0.0098604538160598  0  
396  804  2  1  0.0098912730259024  0  
397  806  2  1  0.0099372167606177  0  
398  808  2  1  0.0099888281180832  0  
399  810  2  1  0.0100268356452556  0  
400  812  2  1  0.0100618819059273  0  
401  814  2  1  0.0100969241536093  0  
402  816  2  1  0.0101329046933461  0  
403  818  2  1  0.0102248196660239  0  
404  820  2  1  0.0101393659599517  0  
405  822  2  1  0.0101949449140204  0  
406  824  2  1  0.0102163453278628  0  
407  826  2  1  0.0102369081279595  0  
408  828  2  1  0.0102520300228458  0  
409  830  2  1  0.0102392416158060  0  
410  832  2  1  0.0102948645364505  0  
411  834  2  1  0.0102881359983569  0  
412  836  2  1  0.0102989924516346  0  
413  838  2  1  0.0103176285943600  0  
414  840  2  1  0.0103387028815919  0  
415  842  2  1  0.0102879203879637  0  
416  844  2  1  0.0103296220773381  0  
417  846  2  1  0.0103336016751601  0  
418  848  2  1  0.0103379420596396  0  
419  850  2  1  0.0103427762195787  0  
420  852  2  1  0.0103470457002841  0  
421  854  2  1  0.0103509212448741  0  
422  856  2  1  0.0103544799974038  0  
423  858  2  1  0.0103387121392824  0  
424  860  2  1  0.0103375259598611  0  
425  862  2  1  0.0103923542919449  0  
426  864  2  1  0.0103669652366696  0  
427  866  2  1  0.0103691296855028  0  
428  868  2  1  0.0103703741445309  0  
429  870  2  1  0.0103745639771484  0  
430  872  2  1  0.0103745318567103  0  
431  874  2  1  0.0103744280004629  0  
432  876  2  1  0.0103764493447546  0  
433  878  2  1  0.0103777823325101  0  
434  880  2  1  0.0103790231495818  0  
435  882  2  1  0.0103801848707591  0  
436  884  2  1  0.0103812184947134  0  
437  886  2  1  0.0103877471290866  0  
438  888  2  1  0.0104245489561086  0  
439  890  2  1  0.0422935292181330  0  
440  892  2  1  0.0458856027874562  0  
441  894  2  1  0.0300293192661233  0  
442  896  2  1  0.0154187484386322  0  
443  898  2  1  0.0112388214671818  0  
444  900  2  1  0.0101865356402555  0  
445  902  2  1  0.0100957936749548  0  
446  904  2  1  0.0100806971732682  0  
447  906  2  1  0.0101025138948863  0  
448  908  2  1  0.0101313197566239  0  
449  910  2  1  0.0101602690993517  0  
450  912  2  1  0.0101647225997700  0  
451  914  2  1  0.0101804001741836  0  
452  916  2  1  0.0101992206762220  0  
