Timesteps  Total_Iterations  Iterations  Convergence  
1  6  6  1  
2  9  3  1  
3  13  4  1  
4  16  3  1  
5  19  3  1  
6  22  3  1  
7  25  3  1  
8  28  3  1  
9  30  2  1  
10  32  2  1  
11  34  2  1  
12  36  2  1  
13  38  2  1  
14  40  2  1  
15  42  2  1  
16  44  2  1  
17  46  2  1  
18  48  2  1  
19  50  2  1  
20  52  2  1  
21  54  2  1  
22  56  2  1  
23  58  2  1  
24  60  2  1  
25  62  2  1  
26  64  2  1  
27  66  2  1  
28  68  2  1  
29  70  2  1  
30  72  2  1  
31  74  2  1  
32  76  2  1  
33  78  2  1  
34  80  2  1  
35  82  2  1  
36  84  2  1  
37  86  2  1  
38  88  2  1  
39  90  2  1  
40  92  2  1  
41  94  2  1  
42  96  2  1  
43  98  2  1  
44  100  2  1  
45  102  2  1  
46  104  2  1  
47  106  2  1  
48  108  2  1  
49  110  2  1  
50  112  2  1  
51  114  2  1  
52  116  2  1  
53  118  2  1  
54  120  2  1  
55  122  2  1  
56  124  2  1  
57  126  2  1  
58  128  2  1  
59  130  2  1  
60  132  2  1  
61  134  2  1  
62  136  2  1  
63  138  2  1  
64  140  2  1  
65  142  2  1  
66  144  2  1  
67  146  2  1  
68  148  2  1  
69  150  2  1  
70  152  2  1  
71  154  2  1  
72  156  2  1  
73  158  2  1  
74  160  2  1  
75  162  2  1  
76  164  2  1  
77  166  2  1  
78  168  2  1  
79  170  2  1  
80  172  2  1  
81  174  2  1  
82  176  2  1  
83  178  2  1  
84  180  2  1  
85  182  2  1  
86  184  2  1  
87  186  2  1  
88  188  2  1  
89  190  2  1  
90  192  2  1  
91  194  2  1  
92  196  2  1  
93  198  2  1  
94  200  2  1  
95  202  2  1  
96  204  2  1  
97  206  2  1  
98  208  2  1  
99  210  2  1  
100  212  2  1  
101  214  2  1  
102  216  2  1  
103  218  2  1  
104  220  2  1  
105  222  2  1  
106  224  2  1  
107  226  2  1  
108  228  2  1  
109  230  2  1  
110  232  2  1  
111  234  2  1  
112  237  3  1  
113  239  2  1  
114  242  3  1  
115  244  2  1  
116  247  3  1  
117  249  2  1  
118  252  3  1  
119  255  3  1  
120  258  3  1  
121  261  3  1  
122  266  5  1  
123  272  6  1  
124  277  5  1  
125  283  6  1  
