Timestep  Iteration  resNorm(0)  
1  1  1.0000000000000000  
1  2  0.0000614384150402  
1  3  0.0050992184725343  
1  4  0.0000109588382648  
1  5  0.0000009328308433  
2  1  0.0066467044573355  
2  2  0.0074261540130814  
2  3  0.0000005579961162  
3  1  0.0053861306022142  
3  2  0.0054219701746338  
3  3  0.0000004473360352  
4  1  0.0006889646863787  
4  2  0.0005029707273503  
4  3  0.0000002289328837  
5  1  0.0002830353539044  
5  2  0.0000626621947744  
5  3  0.0000003099596163  
6  1  0.0002411523974982  
6  2  0.0000138829668282  
6  3  0.0000002308322222  
7  1  0.0002288386188425  
7  2  0.0000044858298243  
7  3  0.0000003399700946  
8  1  0.0002202772928763  
8  2  0.0000013865940463  
8  3  0.0000000078080617  
9  1  0.0002108860395381  
9  2  0.0000003235102843  
10  1  0.0002014700523877  
10  2  0.0000001318277015  
11  1  0.0001925041573862  
11  2  0.0000002767864066  
12  1  0.0001833953356865  
12  2  0.0000003026961093  
13  1  0.0001744831307671  
13  2  0.0000002915811239  
14  1  0.0001661339629262  
14  2  0.0000002321287400  
15  1  0.0001585645318813  
15  2  0.0000001947651426  
16  1  0.0001518487340421  
16  2  0.0000001869821062  
17  1  0.0001459905355946  
17  2  0.0000001840754909  
18  1  0.0001408755324535  
18  2  0.0000001762442189  
19  1  0.0001363535290828  
19  2  0.0000001621752304  
20  1  0.0001322531823564  
20  2  0.0000001432536722  
21  1  0.0001284039677671  
21  2  0.0000001335272322  
22  1  0.0001246779768094  
22  2  0.0000001336597290  
23  1  0.0001210039448160  
23  2  0.0000001364528591  
24  1  0.0001173649185882  
24  2  0.0000001356389286  
25  1  0.0001137911495716  
25  2  0.0000001283514176  
26  1  0.0001103890140621  
26  2  0.0000001103960770  
27  1  0.0001070268515580  
27  2  0.0000001183024748  
28  1  0.0001039895332078  
28  2  0.0000000860697256  
29  1  0.0001011341991367  
29  2  0.0000000847095806  
30  1  0.0000985471953558  
30  2  0.0000000820062281  
31  1  0.0000961701059118  
31  2  0.0000000784551345  
32  1  0.0000939608475061  
32  2  0.0000000751581597  
33  1  0.0000918779222072  
33  2  0.0000000715240032  
34  1  0.0000898781419100  
34  2  0.0000000698912533  
