Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
1  5  5  1  0.0622243802047902  0  
2  8  3  1  0.0437866381823530  0  
3  11  3  1  0.0436300457213033  0  
4  14  3  1  0.0692633892307935  0  
5  17  3  1  0.1030753479073380  0  
6  20  3  1  0.0985526446040927  0  
7  23  3  1  0.1141047698640077  0  
8  26  3  1  0.0328491777122496  1  
9  28  2  1  0.0391669839727018  0  
10  30  2  1  0.0255798557062442  0  
11  32  2  1  0.0379186024359868  0  
12  34  2  1  0.0406264875805468  0  
13  36  2  1  0.0408792557271515  0  
14  38  2  1  0.0373796512052950  0  
15  40  2  1  0.0350471406693455  0  
16  42  2  1  0.0350908942581433  0  
17  44  2  1  0.0355087703106769  0  
18  46  2  1  0.0353703742351838  0  
19  48  2  1  0.0344872901092560  0  
20  50  2  1  0.0329116621521324  0  
21  52  2  1  0.0322474740155857  0  
22  54  2  1  0.0327420158904058  0  
23  56  2  1  0.0335808399955779  0  
24  58  2  1  0.0339956245619882  0  
25  60  2  1  0.0335850572008319  0  
26  62  2  1  0.0316237882273752  0  
27  64  2  1  0.0332468527510701  0  
28  66  2  1  0.0287693728574878  0  
29  68  2  1  0.0289412474124184  0  
30  70  2  1  0.0288470418157218  0  
31  72  2  1  0.0285621330907342  0  
32  74  2  1  0.0282822922845395  0  
33  76  2  1  0.0279010356657205  0  
34  78  2  1  0.0278858811168909  0  
35  80  2  1  0.0280143456802061  0  
36  82  2  1  0.0281320141645367  0  
37  84  2  1  0.0280599502649683  0  
38  86  2  1  0.0277817306652849  0  
39  88  2  1  0.0272080391457863  0  
40  90  2  1  0.0266358645678792  0  
41  92  2  1  0.0261003689074014  0  
42  94  2  1  0.0257719935973677  0  
43  96  2  1  0.0254387063934016  0  
44  98  2  1  0.0252652152587840  0  
45  100  2  1  0.0251436254371733  0  
46  102  2  1  0.0249995297360439  0  
47  104  2  1  0.0249412246424402  0  
48  106  2  1  0.0249184369028117  0  
49  108  2  1  0.0248791220728900  0  
50  110  2  1  0.0247593148850253  0  
51  112  2  1  0.0245044279660232  0  
52  114  2  1  0.0242763851109308  0  
53  116  2  1  0.0240044184470104  0  
54  118  2  1  0.0237715166156678  0  
55  120  2  1  0.0235070409477756  0  
56  122  2  1  0.0233435568756189  0  
57  124  2  1  0.0232129674055231  0  
58  126  2  1  0.0230616361567999  0  
59  128  2  1  0.0230066932701401  0  
60  130  2  1  0.0229024201592328  0  
61  132  2  1  0.0231193506222520  0  
62  134  2  1  0.0239509868799511  0  
63  136  2  1  0.0227537008541394  0  
64  138  2  1  0.0224672790260269  0  
65  140  2  1  0.0223389367169440  0  
66  142  2  1  0.0221746346716067  0  
67  144  2  1  0.0220193521652917  0  
68  146  2  1  0.0218654856536051  0  
69  148  2  1  0.0217367640957518  0  
70  150  2  1  0.0216524927141088  0  
71  152  2  1  0.0215502434776879  0  
72  154  2  1  0.0214363204371950  0  
73  156  2  1  0.0213486202156370  0  
74  158  2  1  0.0212667596275575  0  
75  160  2  1  0.0211717290523443  0  
76  162  2  1  0.0210758246675753  0  
77  164  2  1  0.0209853961476012  0  
78  166  2  1  0.0208663870606787  0  
79  168  2  1  0.0207680031254241  0  
80  170  2  1  0.0206641077897740  0  
81  172  2  1  0.0205633315436792  0  
82  174  2  1  0.0204798537540555  0  
83  176  2  1  0.0203906584561169  0  
84  178  2  1  0.0203070375605041  0  
85  180  2  1  0.0202229619194759  0  
86  182  2  1  0.0201490650732554  0  
87  184  2  1  0.0200718252225964  0  
88  186  2  1  0.0199954961267808  0  
89  188  2  1  0.0199163982900046  0  
90  190  2  1  0.0198342930593331  0  
91  192  2  1  0.0197585109971010  0  
92  194  2  1  0.0196797200439020  0  
93  196  2  1  0.0196023967479647  0  
94  198  2  1  0.0195258711038675  0  
95  200  2  1  0.0194574755448054  0  
96  202  2  1  0.0193800866897049  0  
97  204  2  1  0.0193159485807056  0  
98  206  2  1  0.0192478254114616  0  
99  208  2  1  0.0191832545598288  0  
100  210  2  1  0.0191177486798095  0  
101  212  2  1  0.0190528453669030  0  
102  214  2  1  0.0189889021266090  0  
103  216  2  1  0.0189238847947739  0  
104  218  2  1  0.0188617514255713  0  
105  220  2  1  0.0187980510030141  0  
106  222  2  1  0.0187359157429289  0  
107  224  2  1  0.0186801479874762  0  
108  226  2  1  0.0186169370233247  0  
109  228  2  1  0.0185611093605706  0  
110  230  2  1  0.0185064413620701  0  
111  232  2  1  0.0184474448743588  0  
112  234  2  1  0.0183906414164332  0  
113  236  2  1  0.0183340937202407  0  
114  238  2  1  0.0182810900629290  0  
115  240  2  1  0.0182247202625791  0  
116  242  2  1  0.0181743637316466  0  
117  244  2  1  0.0181206772658759  0  
118  246  2  1  0.0180668768285170  0  
119  248  2  1  0.0180164551291365  0  
120  250  2  1  0.0179674853206100  0  
121  252  2  1  0.0179180037515805  0  
122  254  2  1  0.0178679475899589  0  
123  256  2  1  0.0178208670727308  0  
124  258  2  1  0.0177723176112294  0  
125  260  2  1  0.0177264960101293  0  
126  262  2  1  0.0176797389280108  0  
127  264  2  1  0.0176344475021717  0  
128  266  2  1  0.0175890147242423  0  
129  268  2  1  0.0175463405585188  0  
130  270  2  1  0.0175021057357549  0  
131  272  2  1  0.0174581865047463  0  
132  274  2  1  0.0174205571486982  0  
133  276  2  1  0.0173724141236961  0  
134  278  2  1  0.0173318326958274  0  
135  280  2  1  0.0172908390312767  0  
136  282  2  1  0.0172531536149538  0  
137  284  2  1  0.0172108954357748  0  
138  286  2  1  0.0171691148143391  0  
139  288  2  1  0.0171307203215539  0  
140  290  2  1  0.0170920149368472  0  
141  292  2  1  0.0170514992043745  0  
142  294  2  1  0.0170132698547505  0  
143  296  2  1  0.0169783022299042  0  
144  298  2  1  0.0169396408167032  0  
145  300  2  1  0.0169026643101068  0  
146  302  2  1  0.0168669056676709  0  
147  304  2  1  0.0168311244361813  0  
148  306  2  1  0.0167962970808256  0  
149  308  2  1  0.0167610434046986  0  
150  310  2  1  0.0167280411509693  0  
151  312  2  1  0.0166949439753123  0  
152  314  2  1  0.0166606402240974  0  
153  316  2  1  0.0166283191535235  0  
154  318  2  1  0.0165959778060897  0  
155  320  2  1  0.0165643394981412  0  
156  322  2  1  0.0165315677668817  0  
157  324  2  1  0.0685918046259989  0  
158  326  2  1  0.0630614060936741  0  
159  328  2  1  0.0296204959882672  0  
160  330  2  1  0.0220940359177771  0  
161  332  2  1  0.0177064045617101  0  
162  334  2  1  0.0166032300576565  0  
163  336  2  1  0.0163225092945665  0  
164  338  2  1  0.0158928685433107  0  
165  340  2  1  0.0157328249458006  0  
166  342  2  1  0.0157149263606417  0  
167  344  2  1  0.0156629432134505  0  
168  346  2  1  0.0156548961790484  0  
169  348  2  1  0.0155833388769960  0  
170  350  2  1  0.0156431730068774  0  
171  352  2  1  0.0155854495847277  0  
172  354  2  1  0.0155523764794255  0  
173  356  2  1  0.0155494450922760  0  
174  358  2  1  0.0155377593035046  0  
175  360  2  1  0.0155178527857887  0  
176  362  2  1  0.0155023532788042  0  
177  364  2  1  0.0154878065260228  0  
178  366  2  1  0.0154740415385384  0  
179  368  2  1  0.0154551470028397  0  
180  370  2  1  0.0154409260268511  0  
181  372  2  1  0.0154267589723344  0  
182  374  2  1  0.0154076485265524  0  
183  376  2  1  0.0153909117642614  0  
184  378  2  1  0.0153777622501425  0  
185  380  2  1  0.0153647652887248  0  
186  382  2  1  0.0153454938870047  0  
187  384  2  1  0.0153309714491041  0  
188  386  2  1  0.0153159577284946  0  
189  388  2  1  0.0153004086744110  0  
190  390  2  1  0.0152852986012208  0  
191  392  2  1  0.0152693122856270  0  
192  394  2  1  0.0152543861975559  0  
193  396  2  1  0.0152395105085905  0  
194  398  2  1  0.0152235147494877  0  
195  400  2  1  0.0152103125186709  0  
196  402  2  1  0.0151963445815158  0  
197  404  2  1  0.0151794858562733  0  
198  406  2  1  0.0151631913765000  0  
199  408  2  1  0.0151522850162048  0  
200  410  2  1  0.0151443955799371  0  
201  412  2  1  0.0151172313088606  0  
202  414  2  1  0.0151073682888849  0  
203  416  2  1  0.0150918786341064  0  
204  418  2  1  0.0150804440406925  0  
205  420  2  1  0.0150648016419427  0  
206  422  2  1  0.0150511618652637  0  
207  424  2  1  0.0150367676408950  0  
208  426  2  1  0.0150241129535563  0  
