Run finished at Thu Aug 13 15:43:37 2020
Global runtime       = 280183ms / 280.183s
Number of processors = 1
# Rank: 0

                                                              Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |          1 |     280183 |     280183 |     280183 |     280183 |          1 |
                                                            advance |        500 |     260765 |        768 |        474 |        521 |      0.931 |
                                            advance/m2n.receiveData |        500 |         63 |          1 |          0 |          0 |   0.000225 |
                                               advance/m2n.sendData |        500 |         82 |          0 |          0 |          0 |   0.000293 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |        212 |        212 |        212 |        212 |   0.000757 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |          1 |         26 |         26 |         26 |         26 |   9.28e-05 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   3.57e-06 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          1 |          2 |          2 |          2 |          2 |   7.14e-06 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |        500 |        502 |          3 |          0 |          1 |    0.00179 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |          1 |         44 |         44 |         44 |         44 |   0.000157 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |          1 |        134 |        134 |        134 |        134 |   0.000478 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |       1500 |        133 |          0 |          0 |          0 |   0.000475 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                          configure |          1 |          1 |          1 |          1 |          1 |   3.57e-06 |
                                                           finalize |          1 |        102 |        102 |        102 |        102 |   0.000364 |
                                                         initialize |          1 |         75 |         75 |         75 |         75 |   0.000268 |
                              initialize/m2n.acceptMasterConnection |          1 |          3 |          3 |          3 |          3 |   1.07e-05 |
                              initialize/m2n.acceptSlavesConnection |          1 |         23 |         23 |         23 |         23 |   8.21e-05 |
                        initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          3 |         10 |          3 |          3 |          3 |   3.57e-05 |
                          initialize/m2n.exchangeVertexDistribution |          3 |         11 |          4 |          3 |          3 |   3.93e-05 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |         42 |         42 |         42 |         42 |    0.00015 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initializeData |          1 |          6 |          6 |          6 |          6 |   2.14e-05 |
                                                     solver.advance |        500 |      19147 |        123 |         20 |         38 |     0.0683 |
                                                  solver.initialize |          1 |         60 |         60 |         60 |         60 |   0.000214 |


                                                               Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
--------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |     280183 |          0 |     280183 |          0 |          1 |
                                                            advance |        768 |          0 |        474 |          0 |   0.617188 |
                                            advance/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |
                                               advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |        212 |          0 |        212 |          0 |          1 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |         26 |          0 |         26 |          0 |          1 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          1 |          0 |          1 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          2 |          0 |          2 |          0 |          1 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |          3 |          0 |          0 |          0 |          0 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |         44 |          0 |         44 |          0 |          1 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |        134 |          0 |        134 |          0 |          1 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                                          configure |          1 |          0 |          1 |          0 |          1 |
                                                           finalize |        102 |          0 |        102 |          0 |          1 |
                                                         initialize |         75 |          0 |         75 |          0 |          1 |
                              initialize/m2n.acceptMasterConnection |          3 |          0 |          3 |          0 |          1 |
                              initialize/m2n.acceptSlavesConnection |         23 |          0 |         23 |          0 |          1 |
                        initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          3 |          0 |          3 |          0 |          1 |
                          initialize/m2n.exchangeVertexDistribution |          4 |          0 |          3 |          0 |       0.75 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |         42 |          0 |         42 |          0 |          1 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          0 |          0 |          0 |          0 |          0 |
                                                     initializeData |          6 |          0 |          6 |          0 |          1 |
                                                     solver.advance |        123 |          0 |         20 |          0 |   0.162602 |
                                                  solver.initialize |         60 |          0 |         60 |          0 |          1 |
