TimeWindow  Iteration  ResRel(Stress)  ResRel(Displacement)  
1  1  inf  inf  
2  1  inf  inf  
3  1  inf  inf  
4  1  inf  inf  
5  1  inf  inf  
6  1  inf  inf  
7  1  inf  inf  
8  1  inf  inf  
9  1  inf  inf  
10  1  inf  inf  
11  1  inf  inf  
12  1  inf  inf  
13  1  inf  inf  
14  1  inf  inf  
15  1  inf  inf  
16  1  inf  inf  
17  1  inf  inf  
18  1  inf  inf  
19  1  inf  inf  
20  1  inf  inf  
21  1  inf  inf  
22  1  inf  inf  
23  1  inf  inf  
24  1  inf  inf  
25  1  inf  inf  
26  1  inf  inf  
27  1  inf  inf  
28  1  inf  inf  
29  1  inf  inf  
30  1  inf  inf  
31  1  inf  inf  
32  1  inf  inf  
33  1  inf  inf  
34  1  inf  inf  
35  1  inf  inf  
36  1  inf  inf  
37  1  inf  inf  
38  1  inf  inf  
39  1  inf  inf  
40  1  inf  inf  
41  1  inf  inf  
42  1  inf  inf  
43  1  inf  inf  
44  1  inf  inf  
45  1  inf  inf  
46  1  inf  inf  
47  1  inf  inf  
48  1  inf  inf  
49  1  inf  inf  
50  1  inf  inf  
51  1  inf  inf  
52  1  inf  inf  
53  1  inf  inf  
54  1  inf  inf  
55  1  inf  inf  
56  1  inf  inf  
57  1  inf  inf  
58  1  inf  inf  
59  1  inf  inf  
60  1  inf  inf  
61  1  inf  inf  
62  1  inf  inf  
63  1  inf  inf  
64  1  inf  inf  
65  1  inf  inf  
66  1  inf  inf  
67  1  inf  inf  
68  1  inf  inf  
69  1  inf  inf  
70  1  inf  inf  
71  1  inf  inf  
72  1  inf  inf  
73  1  inf  inf  
74  1  inf  inf  
75  1  inf  inf  
76  1  inf  inf  
77  1  inf  inf  
78  1  inf  inf  
79  1  inf  inf  
80  1  inf  inf  
81  1  inf  inf  
82  1  inf  inf  
83  1  inf  inf  
84  1  inf  inf  
85  1  inf  inf  
86  1  inf  inf  
87  1  inf  inf  
88  1  inf  inf  
89  1  inf  inf  
90  1  inf  inf  
91  1  inf  inf  
92  1  inf  inf  
93  1  inf  inf  
94  1  inf  inf  
95  1  inf  inf  
96  1  inf  inf  
97  1  inf  inf  
98  1  inf  inf  
99  1  inf  inf  
100  1  inf  inf  
101  1  inf  inf  
102  1  inf  inf  
103  1  inf  inf  
104  1  inf  inf  
105  1  inf  inf  
106  1  inf  inf  
107  1  inf  inf  
108  1  inf  inf  
109  1  inf  inf  
110  1  inf  inf  
111  1  inf  inf  
112  1  inf  inf  
113  1  inf  inf  
114  1  inf  inf  
115  1  inf  inf  
116  1  inf  inf  
117  1  inf  inf  
118  1  inf  inf  
119  1  inf  inf  
120  1  inf  inf  
121  1  inf  inf  
122  1  inf  inf  
123  1  inf  inf  
124  1  inf  inf  
125  1  inf  inf  
126  1  inf  inf  
127  1  inf  inf  
128  1  inf  inf  
129  1  inf  inf  
130  1  inf  inf  
131  1  inf  inf  
132  1  inf  inf  
133  1  inf  inf  
134  1  inf  inf  
135  1  inf  inf  
136  1  inf  inf  
137  1  inf  inf  
138  1  inf  inf  
139  1  inf  inf  
140  1  inf  inf  
141  1  inf  inf  
142  1  inf  inf  
143  1  inf  inf  
144  1  inf  inf  
145  1  inf  inf  
146  1  inf  inf  
147  1  inf  inf  
148  1  inf  inf  
149  1  inf  inf  
150  1  inf  inf  
151  1  inf  inf  
152  1  inf  inf  
153  1  inf  inf  
154  1  inf  inf  
155  1  inf  inf  
156  1  inf  inf  
157  1  inf  inf  
158  1  inf  inf  
159  1  inf  inf  
160  1  inf  inf  
161  1  inf  inf  
162  1  inf  inf  
163  1  inf  inf  
164  1  inf  inf  
165  1  inf  inf  
166  1  inf  inf  
167  1  inf  inf  
168  1  inf  inf  
169  1  inf  inf  
170  1  inf  inf  
171  1  inf  inf  
172  1  inf  inf  
173  1  inf  inf  
174  1  inf  inf  
175  1  inf  inf  
176  1  inf  inf  
177  1  inf  inf  
178  1  inf  inf  
179  1  inf  inf  
180  1  inf  inf  
181  1  inf  inf  
182  1  inf  inf  
183  1  inf  inf  
184  1  inf  inf  
185  1  inf  inf  
186  1  inf  inf  
187  1  inf  inf  
188  1  inf  inf  
189  1  inf  inf  
190  1  inf  inf  
191  1  inf  inf  
192  1  inf  inf  
193  1  inf  inf  
194  1  inf  inf  
195  1  inf  inf  
196  1  inf  inf  
197  1  inf  inf  
198  1  inf  inf  
199  1  inf  inf  
200  1  inf  inf  
201  1  inf  inf  
202  1  inf  inf  
203  1  inf  inf  
204  1  inf  inf  
205  1  inf  inf  
206  1  inf  inf  
207  1  inf  inf  
208  1  inf  inf  
209  1  inf  inf  
210  1  inf  inf  
