TimeWindow  Iteration  ResRel(DisplacementDeltas0)  ResRel(Forces0)  
1  1  inf  1.0000000000000000  
1  2  1.0000000000000000  0.4999999999999230  
1  3  0.4999999999997138  0.0023588812415081  
1  4  0.0030799371993187  0.0004235502474084  
1  5  0.0000030934466499  0.0000165431879586  
2  1  0.6841618003102390  0.0034030509310739  
2  2  0.0021052257478575  0.0039695584862949  
2  3  0.0022516985312441  0.0010193007635590  
2  4  0.0001082373881618  0.0000103727114176  
3  1  0.5039043162192707  0.0026895775588692  
3  2  0.0006371443524422  0.0032291135891045  
3  3  0.0005233370290717  0.0004981841933884  
4  1  0.3516174553833482  0.0037040795985427  
4  2  0.0002970461544152  0.0013916640864701  
4  3  0.0002511680991734  0.0000433514412781  
5  1  0.2034234339404704  0.0036902720529526  
5  2  0.0001120353986903  0.0005628826163195  
6  1  0.2290431421099751  0.0024868540704206  
6  2  0.0001100952002268  0.0010732050894708  
6  3  0.0001032400496707  0.0001219006831599  
7  1  0.1534909074110315  0.0034870118337973  
7  2  0.0001055416687861  0.0007536883331031  
8  1  0.1459435027787568  0.0024719388988837  
8  2  0.0000989278769447  0.0006899229898155  
9  1  0.1245894095234090  0.0028076131096725  
9  2  0.0000658679317136  0.0007848346904538  
10  1  0.1023466090837817  0.0028544701253778  
10  2  0.0000721845000469  0.0008666188810942  
11  1  0.1042532064165505  0.0024628371158286  
11  2  0.0000794654912942  0.0007197131613841  
12  1  0.0902341221946125  0.0028318340745900  
12  2  0.0000599562847367  0.0011213149637012  
12  3  0.0000742547288855  0.0003180453428127  
13  1  0.0873182588320530  0.0025290690337576  
13  2  0.0000434318254924  0.0010642153357391  
13  3  0.0000648143495991  0.0003417308906115  
14  1  0.0790978974481487  0.0026460548955110  
14  2  0.0000410558483695  0.0006707796224203  
15  1  0.0719309469728562  0.0026760808971961  
15  2  0.0000422641509114  0.0007924713005806  
16  1  0.0700138379500878  0.0024944145892903  
16  2  0.0000467675143382  0.0005568717281877  
17  1  0.0640008532221482  0.0026079554185229  
17  2  0.0000477514349956  0.0007907609573459  
18  1  0.0631927477461439  0.0024918280865653  
18  2  0.0000559155212402  0.0005872940926663  
19  1  0.0629306612038819  0.0025001769613217  
19  2  0.0000559384770656  0.0005756252872577  
20  1  0.0554865238948868  0.0026014582231234  
20  2  0.0000448779911909  0.0005376640926421  
21  1  0.0495563774089973  0.0026215460989675  
21  2  0.0000509485535661  0.0003493229070742  
22  1  0.0489706768725378  0.0027084092906566  
22  2  0.0000388125006060  0.0007524093306616  
23  1  0.0508077029284119  0.0027464604763361  
23  2  0.0000364076061582  0.0006556076328713  
24  1  0.0489915363646493  0.0028252430346502  
24  2  0.0000333849359565  0.0005277132773669  
25  1  0.0466302897641528  0.0029175652496853  
25  2  0.0000410963216130  0.0005362272068372  
26  1  0.0485183356461744  0.0030222082361513  
26  2  0.0000305947521315  0.0007836777122772  
27  1  0.0474142364717462  0.0031063005987079  
27  2  0.0000316101759540  0.0005587550332664  
28  1  0.0468951679813329  0.0032048259548037  
28  2  0.0000249787852760  0.0006273787734248  
29  1  0.0472838591856461  0.0034035675957981  
29  2  0.0000331142277609  0.0006594775569225  
30  1  0.0465841645826889  0.0036013157640637  
30  2  0.0000246595928565  0.0004400438460283  
31  1  0.0457870071996230  0.0037539349517472  
31  2  0.0000248043501325  0.0003764870508343  
32  1  0.0444209929789047  0.0039441045658787  
32  2  0.0000196200297889  0.0004948108717846  
33  1  0.0445140246869541  0.0041573325400325  
33  2  0.0000236932710252  0.0003521772795654  
34  1  0.0444778530064950  0.0043697438078931  
34  2  0.0000234944704026  0.0004509558185420  
35  1  0.0430573408401109  0.0045780995608112  
35  2  0.0000209157760497  0.0005541871665977  
36  1  0.0420963887580899  0.0047876049256150  
36  2  0.0000205490478384  0.0003908486616535  
37  1  0.0402849116927616  0.0050177460720429  
37  2  0.0000201350484971  0.0003340809062733  
38  1  0.0377461960858482  0.0052315825448915  
38  2  0.0000294412087625  0.0004180122796516  
39  1  0.0362189049728894  0.0053774657084004  
39  2  0.0000250413516320  0.0004793466670121  
40  1  0.0356759285063156  0.0055410235983840  
40  2  0.0000194368198406  0.0004042464745572  
41  1  0.0339496770998252  0.0069360144030293  
41  2  0.0002735230431220  0.0012115330411714  
41  3  0.0000256378811805  0.0001238819966319  
42  1  0.0313416001751435  0.0024705771086171  
42  2  0.0000802126995611  0.0013859832799158  
42  3  0.0000286466083715  0.0001983556689686  
43  1  0.0293813182220021  0.0024383632137273  
43  2  0.0000232522595863  0.0004063001989590  
44  1  0.0292220203053425  0.0025165620424743  
44  2  0.0000123981257452  0.0003540237687728  
45  1  0.0295600664686458  0.0026155779163769  
45  2  0.0000101421868863  0.0003511176128812  
46  1  0.0286962756507565  0.0027227416594521  
46  2  0.0000104540074774  0.0003737757521155  
47  1  0.0279116570675421  0.0028154773615527  
47  2  0.0000114838680929  0.0004070013433842  
48  1  0.0274478729955080  0.0028758281036489  
48  2  0.0000091228855004  0.0002581531116866  
49  1  0.0267867542220360  0.0029438677403002  
49  2  0.0000120394203663  0.0002630382198728  
50  1  0.0264958387426592  0.0030262142706087  
50  2  0.0000122349936254  0.0002670730987450  
51  1  0.0250935717765409  0.0031410095235898  
51  2  0.0000097339607296  0.0002604056961560  
52  1  0.0228064420600822  0.0032538811043343  
52  2  0.0000095436352969  0.0001808505637331  
53  1  0.0208568659265854  0.0033199379765221  
53  2  0.0000115145593183  0.0002377949348777  
54  1  0.0194358169695197  0.0033316024509172  
54  2  0.0000069870438232  0.0002066191224020  
55  1  0.0180041850794120  0.0032916005172058  
55  2  0.0000081960843542  0.0001955189128556  
56  1  0.0169050101019461  0.0032121157105087  
56  2  0.0000099918935354  0.0001810000824611  
57  1  0.0167502359479548  0.0031426260634792  
57  2  0.0000071613960587  0.0003495610530825  
58  1  0.0178165888169228  0.0031466174894594  
58  2  0.0000121182480891  0.0002088601397416  
59  1  0.0177078488312892  0.0032155273731417  
59  2  0.0000091609137305  0.0002499097085561  
60  1  0.0166675869781013  0.0033123684402012  
60  2  0.0000076018648596  0.0002583835272095  
61  1  0.0166129420166945  0.0034107025455638  
61  2  0.0000113270649442  0.0002069252504800  
62  1  0.0170722170185435  0.0035156098829133  
62  2  0.0000052772281105  0.0001862119460909  
63  1  0.0174106379917870  0.0036486809540157  
63  2  0.0000071458048945  0.0002027096143376  
64  1  0.0169420470823311  0.0037951899034422  
64  2  0.0000096094716093  0.0001515520127776  
65  1  0.0160181072998370  0.0039219745736439  
65  2  0.0000085461375493  0.0002031081939692  
66  1  0.0153711966038230  0.0040225076395871  
66  2  0.0000056952742013  0.0001743789969895  
67  1  0.0146000971658834  0.0041030967617251  
67  2  0.0000083990418280  0.0001796146922497  
68  1  0.0139716143215329  0.0041817075218695  
68  2  0.0000086242536107  0.0001489103458467  
69  1  0.0135702686089959  0.0042680131422691  
69  2  0.0000056199054813  0.0001614814317787  
70  1  0.0124873029012036  0.0043497809501979  
70  2  0.0000064941945372  0.0001759957126793  
71  1  0.0112201065280580  0.0044187396682571  
71  2  0.0000133671082026  0.0001684989114239  
72  1  0.0111596736938462  0.0044757066962171  
72  2  0.0000058285788789  0.0001391424976614  
73  1  0.0110815564156302  0.0045201636394376  
73  2  0.0000041377688672  0.0001157704552049  
74  1  0.0108326418417737  0.0045391810199103  
74  2  0.0000086750432555  0.0001347182037255  
75  1  0.0111010601346358  0.0045268184450320  
75  2  0.0000081506777751  0.0001091459578900  
76  1  0.0113015190603332  0.0044885091848538  
76  2  0.0000038143191843  0.0001312239444375  
77  1  0.0111818432722411  0.0044221124388006  
77  2  0.0000083094676729  0.0001049918709273  
78  1  0.0116349932733191  0.0043309725372335  
78  2  0.0000084049203146  0.0000985696824624  
79  1  0.0128819180128744  0.0042365168886210  
79  2  0.0000056465750918  0.0001116321088939  
80  1  0.0139048740918901  0.0041506566773535  
80  2  0.0000043652747055  0.0001106422492306  
81  1  0.0139811250413024  0.0040738209340019  
81  2  0.0000046370697088  0.0000911581089770  
82  1  0.0137351858306355  0.0040071398034240  
82  2  0.0000038401461571  0.0001168841367800  
83  1  0.0138987446282981  0.0039543501604090  
83  2  0.0000032332220066  0.0000830845101201  
84  1  0.0140102810190938  0.0039120017731626  
84  2  0.0000043728172812  0.0000803263329726  
85  1  0.0139350387579727  0.0038816777202108  
85  2  0.0000054986152143  0.0001146831148996  
86  1  0.0136769835659316  0.0038666080930578  
86  2  0.0000033476580984  0.0000963686976254  
87  1  0.0128642638890882  0.0038670995709502  
87  2  0.0000033070575241  0.0000719584692833  
88  1  0.0121620858273932  0.0038767219939995  
88  2  0.0000054819496195  0.0001004311333823  
89  1  0.0123571442273213  0.0038598152969853  
89  2  0.0000037673930140  0.0001113253676115  
90  1  0.0131190123027047  0.0037969998900454  
90  2  0.0000050231307016  0.0001037649570324  
91  1  0.0131610058009056  0.0037033051983656  
91  2  0.0000034966658516  0.0000660611249252  
92  1  0.0120020307387364  0.0036080055790197  
92  2  0.0000034476912603  0.0000844331925977  
93  1  0.0109849489178700  0.0035357480037867  
93  2  0.0000041785289873  0.0000527392358897  
94  1  0.0105400906142010  0.0034982376026011  
94  2  0.0000045770963114  0.0000947538291759  
95  1  0.0099410754812604  0.0034778758247490  
95  2  0.0000037187801878  0.0000476503738820  
96  1  0.0100846614346875  0.0034618088856244  
96  2  0.0000041043381486  0.0000565558694753  
97  1  0.0108331932670298  0.0034519787758672  
97  2  0.0000034557084643  0.0000924790661754  
98  1  0.0108954531271087  0.0034249795412984  
98  2  0.0000028870206865  0.0001335412844568  
99  1  0.0104470763112333  0.0033882593025047  
99  2  0.0000043606677577  0.0000864409404301  
100  1  0.0100514852992818  0.0033767431973463  
100  2  0.0000048071256768  0.0000909497254944  
101  1  0.0098819576388227  0.0033871328661403  
101  2  0.0000039599496729  0.0000752136405904  
102  1  0.0096202807966222  0.0033941766321422  
102  2  0.0000035930838531  0.0000753118982809  
103  1  0.0086883627372629  0.0033839083259499  
103  2  0.0000040065697721  0.0000802109392465  
104  1  0.0075681061601857  0.0033577024049792  
104  2  0.0000035667331040  0.0000592768525668  
105  1  0.0062882725094113  0.0033314422482166  
105  2  0.0000049344811771  0.0000558633521626  
106  1  0.0042966055189264  0.0033208898116048  
106  2  0.0000045178603777  0.0000602816681782  
107  1  0.0038910424531486  0.0033206383862204  
107  2  0.0000048421775183  0.0000655356868277  
108  1  0.0054135847871693  0.0033110603410723  
108  2  0.0000022873037176  0.0000384573159578  
109  1  0.0059432841476254  0.0032839760923215  
109  2  0.0000030448994897  0.0000398282142158  
110  1  0.0056360661297903  0.0032429447965688  
110  2  0.0000022124562370  0.0000383020848582  
111  1  0.0056372513550192  0.0031989533515424  
111  2  0.0000020626868252  0.0000663728156977  
112  1  0.0062761267186704  0.0031599079610526  
112  2  0.0000050923838121  0.0000915037642965  
113  1  0.0070648403449559  0.0031239849793482  
113  2  0.0000046693920465  0.0001183490926908  
114  1  0.0076603129399066  0.0030891505345794  
114  2  0.0000017145551572  0.0000857664377215  
115  1  0.0084462174650871  0.0030589925482949  
115  2  0.0000054809739965  0.0000786755626526  
116  1  0.0087368573550028  0.0030460099635516  
116  2  0.0000029249796757  0.0001468862555522  
117  1  0.0084279894689721  0.0030584396200257  
117  2  0.0000055874100137  0.0000754094138844  
118  1  0.0090200219323217  0.0030964632998616  
118  2  0.0000034745158255  0.0000863327397839  
119  1  0.0100196982133205  0.0031468269636121  
119  2  0.0000021568674773  0.0000837866744451  
120  1  0.0103357519245519  0.0031865514405786  
120  2  0.0000038495238726  0.0000788639881279  
121  1  0.0103703766791496  0.0032269509903265  
121  2  0.0000029376661754  0.0000660410344977  
122  1  0.0104215500259640  0.0032948433462140  
122  2  0.0000029937769697  0.0000517636882549  
123  1  0.0101473219131704  0.0033931469035883  
123  2  0.0000036411194038  0.0000561739768524  
124  1  0.0095271599867367  0.0034984119262956  
124  2  0.0000027695150530  0.0000517807117096  
125  1  0.0093058169704769  0.0035775894213501  
125  2  0.0000032911161335  0.0000290412280949  
126  1  0.0098439771366701  0.0036095384596146  
126  2  0.0000024976173088  0.0000499513906928  
127  1  0.0102758533878511  0.0036079249170264  
127  2  0.0000024748766813  0.0000470130130569  
128  1  0.0105218042017799  0.0036179186768882  
128  2  0.0000017360410043  0.0000520624454365  
129  1  0.0113767156567737  0.0036764118895372  
129  2  0.0000020687148252  0.0000313187418943  
130  1  0.0122900833211679  0.0037829304243972  
130  2  0.0000032200927285  0.0000435285152783  
131  1  0.0126549950378026  0.0039147688386981  
131  2  0.0000022873932770  0.0000685624032538  
132  1  0.0128068264443313  0.0040580826309475  
132  2  0.0000023456088328  0.0000565133497830  
133  1  0.0128507644631720  0.0042139804473345  
133  2  0.0000036794809061  0.0000535029720622  
