Run finished at Mon Jul 20 20:33:26 2020
Global runtime       = 3.91873e+07ms / 39187.3s
Number of processors = 24
# Rank: 0

                                                              Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
---------------------------------------------------------------------------------------------------------------------------------------------------
                                                            _GLOBAL |          1 |   39187296 |   39187296 |   39187296 |   39187296 |          1 |
                                                            advance |     105727 |    9583590 |        444 |          2 |         90 |      0.245 |
                advance/map.pet.AO.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
    advance/map.pet.computeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |         65 |         65 |         65 |         65 |   1.66e-06 |
  advance/map.pet.computeRescaling.FromSolid_meshToFluid-Mesh-Nodes |          1 |         48 |         48 |         48 |         48 |   1.22e-06 |
    advance/map.pet.createMatrices.FromSolid_meshToFluid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   2.55e-08 |
             advance/map.pet.fillA.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
             advance/map.pet.fillC.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
           advance/map.pet.mapData.FromSolid_meshToFluid-Mesh-Nodes |     105727 |    4209123 |        358 |          1 |         39 |      0.107 |
          advance/map.pet.postFill.FromSolid_meshToFluid-Mesh-Nodes |          1 |          7 |          7 |          7 |          7 |   1.79e-07 |
 advance/map.pet.preComputeMapping.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
         advance/map.pet.preallocA.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
         advance/map.pet.preallocC.FromSolid_meshToFluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
   advance/map.pet.solveConsistent.FromSolid_meshToFluid-Mesh-Nodes |     211454 |    4083462 |        136 |          0 |         19 |      0.104 |
        advance/map.pet.solverInit.FromSolid_meshToFluid-Mesh-Nodes |          1 |          1 |          1 |          1 |          1 |   2.55e-08 |
                                                          configure |          1 |          0 |          0 |          0 |          0 |          0 |
                             configure/com.initializeMasterSlaveCom |          1 |          0 |          0 |          0 |          0 |          0 |
                                                           finalize |          1 |         74 |         74 |         74 |         74 |   1.89e-06 |
                                                         initialize |          1 |        231 |        231 |        231 |        231 |   5.89e-06 |
                        initialize/m2n.broadcastVertexDistributions |          3 |          0 |          0 |          0 |          0 |          0 |
                               initialize/m2n.buildCommunicationMap |          3 |          0 |          0 |          0 |          0 |          0 |
                                initialize/m2n.createCommunications |          3 |          0 |          0 |          0 |          0 |          0 |
                          initialize/m2n.exchangeVertexDistribution |          3 |        143 |         51 |         43 |         47 |   3.65e-06 |
                             initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   2.55e-08 |
                             initialize/m2n.requestSlavesConnection |          1 |        143 |        143 |        143 |        143 |   3.65e-06 |
                      initialize/partition.broadcastMesh.Solid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
             initialize/partition.createOwnerInformation.Solid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                       initialize/partition.feedbackMesh.Solid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.filterMeshMappingsSolid_mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                 initialize/partition.gatherMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                   initialize/partition.gatherMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                initialize/partition.prepareMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.prepareMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                  initialize/partition.receiveGlobalMesh.Solid_mesh |          1 |         84 |         84 |         84 |         84 |   2.14e-06 |
             initialize/partition.sendGlobalMesh.Fluid-Mesh-Centers |          1 |          0 |          0 |          0 |          0 |          0 |
               initialize/partition.sendGlobalMesh.Fluid-Mesh-Nodes |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                                                     solver.advance |     105727 |   29601923 |       1538 |        155 |        279 |      0.755 |
                                                  solver.initialize |          1 |        383 |        383 |        383 |        383 |   9.77e-06 |


