TimeWindow  TotalIterations  Iterations  Convergence  
1  3  3  1  
2  153  150  0  
3  255  102  1  
4  284  29  1  
5  302  18  1  
6  316  14  1  
7  329  13  1  
8  340  11  1  
9  347  7  1  
10  356  9  1  
11  365  9  1  
12  375  10  1  
13  385  10  1  
14  394  9  1  
15  401  7  1  
16  408  7  1  
17  415  7  1  
18  422  7  1  
19  430  8  1  
20  437  7  1  
21  445  8  1  
22  452  7  1  
23  459  7  1  
24  466  7  1  
25  470  4  1  
26  475  5  1  
27  479  4  1  
28  483  4  1  
29  488  5  1  
30  492  4  1  
31  497  5  1  
32  502  5  1  
33  506  4  1  
34  510  4  1  
35  516  6  1  
36  520  4  1  
37  524  4  1  
38  529  5  1  
39  534  5  1  
40  538  4  1  
41  543  5  1  
42  548  5  1  
43  553  5  1  
44  557  4  1  
45  561  4  1  
46  566  5  1  
47  571  5  1  
48  575  4  1  
49  580  5  1  
50  585  5  1  
51  591  6  1  
52  596  5  1  
53  601  5  1  
54  605  4  1  
55  609  4  1  
56  614  5  1  
57  618  4  1  
58  623  5  1  
59  628  5  1  
60  631  3  1  
61  635  4  1  
62  639  4  1  
63  644  5  1  
64  650  6  1  
65  654  4  1  
66  660  6  1  
67  665  5  1  
68  670  5  1  
69  676  6  1  
70  681  5  1  
71  685  4  1  
72  691  6  1  
73  695  4  1  
74  700  5  1  
75  705  5  1  
76  709  4  1  
77  713  4  1  
78  718  5  1  
79  724  6  1  
80  729  5  1  
81  735  6  1  
82  740  5  1  
83  746  6  1  
84  751  5  1  
85  757  6  1  
86  762  5  1  
87  767  5  1  
88  771  4  1  
89  776  5  1  
90  781  5  1  
91  784  3  1  
92  787  3  1  
93  792  5  1  
94  796  4  1  
95  800  4  1  
96  804  4  1  
97  809  5  1  
98  814  5  1  
99  818  4  1  
100  822  4  1  
101  827  5  1  
102  831  4  1  
103  835  4  1  
104  840  5  1  
105  845  5  1  
106  849  4  1  
107  853  4  1  
108  858  5  1  
109  863  5  1  
110  867  4  1  
111  871  4  1  
112  875  4  1  
113  879  4  1  
114  882  3  1  
115  888  6  1  
116  892  4  1  
117  897  5  1  
118  902  5  1  
119  907  5  1  
120  911  4  1  
121  914  3  1  
122  918  4  1  
123  922  4  1  
124  927  5  1  
125  931  4  1  
126  935  4  1  
127  939  4  1  
128  944  5  1  
129  948  4  1  
130  952  4  1  
131  957  5  1  
132  962  5  1  
133  966  4  1  
134  970  4  1  
135  975  5  1  
136  979  4  1  
137  984  5  1  
138  988  4  1  
139  993  5  1  
140  997  4  1  
141  1002  5  1  
142  1006  4  1  
143  1010  4  1  
144  1013  3  1  
145  1018  5  1  
146  1022  4  1  
147  1026  4  1  
148  1030  4  1  
149  1034  4  1  
150  1038  4  1  
151  1042  4  1  
152  1045  3  1  
153  1049  4  1  
154  1055  6  1  
155  1059  4  1  
156  1064  5  1  
157  1069  5  1  
158  1074  5  1  
159  1079  5  1  
160  1084  5  1  
161  1088  4  1  
162  1093  5  1  
163  1097  4  1  
164  1101  4  1  
165  1106  5  1  
166  1111  5  1  
167  1115  4  1  
168  1120  5  1  
169  1125  5  1  
170  1131  6  1  
171  1137  6  1  
172  1142  5  1  
173  1147  5  1  
174  1151  4  1  
175  1157  6  1  
176  1162  5  1  
177  1167  5  1  
178  1173  6  1  
179  1178  5  1  
180  1181  3  1  
181  1185  4  1  
182  1189  4  1  
183  1193  4  1  
184  1197  4  1  
185  1202  5  1  
186  1206  4  1  
187  1210  4  1  
188  1215  5  1  
189  1219  4  1  
190  1223  4  1  
191  1228  5  1  
192  1233  5  1  
193  1239  6  1  
194  1245  6  1  
195  1250  5  1  
196  1256  6  1  
197  1260  4  1  
198  1265  5  1  
199  1271  6  1  
200  1275  4  1  
201  1282  7  1  
202  1288  6  1  
203  1293  5  1  
204  1298  5  1  
205  1303  5  1  
206  1309  6  1  
207  1313  4  1  
208  1318  5  1  
209  1322  4  1  
210  1327  5  1  
211  1331  4  1  
212  1335  4  1  
213  1338  3  1  
214  1341  3  1  
215  1345  4  1  
216  1348  3  1  
217  1353  5  1  
218  1357  4  1  
219  1361  4  1  
220  1365  4  1  
221  1369  4  1  
222  1373  4  1  
223  1377  4  1  
224  1381  4  1  
225  1385  4  1  
226  1389  4  1  
227  1394  5  1  
228  1398  4  1  
229  1401  3  1  
230  1406  5  1  
231  1411  5  1  
232  1416  5  1  
233  1421  5  1  
234  1426  5  1  
235  1430  4  1  
236  1435  5  1  
237  1440  5  1  
238  1443  3  1  
239  1448  5  1  
240  1452  4  1  
241  1456  4  1  
242  1461  5  1  
243  1464  3  1  
244  1469  5  1  
245  1472  3  1  
246  1477  5  1  
247  1481  4  1  
248  1484  3  1  
249  1489  5  1  
250  1493  4  1  
251  1497  4  1  
252  1500  3  1  
253  1505  5  1  
254  1510  5  1  
255  1514  4  1  
256  1519  5  1  
257  1524  5  1  
258  1528  4  1  
259  1532  4  1  
260  1536  4  1  
261  1540  4  1  
262  1544  4  1  
263  1549  5  1  
264  1553  4  1  
265  1557  4  1  
266  1561  4  1  
267  1565  4  1  
268  1569  4  1  
269  1573  4  1  
270  1578  5  1  
271  1582  4  1  
272  1585  3  1  
273  1590  5  1  
274  1594  4  1  
275  1598  4  1  
276  1601  3  1  
277  1605  4  1  
278  1609  4  1  
279  1613  4  1  
280  1618  5  1  
281  1621  3  1  
282  1624  3  1  
283  1628  4  1  
284  1633  5  1  
285  1637  4  1  
286  1641  4  1  
287  1645  4  1  
288  1650  5  1  
289  1655  5  1  
290  1659  4  1  
291  1663  4  1  
292  1669  6  1  
293  1674  5  1  
294  1679  5  1  
295  1684  5  1  
296  1688  4  1  
297  1691  3  1  
298  1694  3  1  
299  1699  5  1  
