Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  21  21  1  0.1900752214880509  0.2011624097046517  1  
2  42  21  1  0.1949552708553507  0.2081819959118286  2  
3  63  21  1  0.2019703636187055  0.2090414313142624  2  
4  84  21  1  0.2043186289140131  0.2186758470349040  2  
5  105  21  1  0.1954127451211233  0.2162558110433340  2  
6  126  21  1  0.1976847664187381  0.2103911606305983  2  
7  147  21  1  0.1983594593711563  0.2169329008764360  2  
8  168  21  1  0.2001765444189804  0.2135491905747352  2  
9  189  21  1  0.2080409888036489  0.2199816589142893  2  
10  210  21  1  0.2061731086091723  0.2209578809075113  2  
