Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  13  13  1  0.0742754922753030  0.1148750718594515  2  
2  27  14  1  0.0904212119116976  0.0962735935395417  4  
3  41  14  1  0.0912174994336843  0.0947005039525742  4  
4  57  16  1  0.1252586257842496  0.1304342536603487  6  
5  71  14  1  0.0873712824839127  0.0992422775324087  4  
6  88  17  1  0.1325600395624587  0.1406146105129808  7  
7  103  15  1  0.1159735899987487  0.1214877537195817  5  
8  119  16  1  0.1233725311840774  0.1357151098800637  7  
9  144  25  1  0.3163885481803519  0.3201013626632205  15  
10  159  15  1  0.1115504618398261  0.1216987373395473  5  
