Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  2  2  1  0.0000000253284927  1.0099937515628457  0  
2  16  14  1  0.0906908798840609  0.0962933619231075  3  
3  29  13  1  0.1176924211376654  0.1115260248240561  4  
4  36  7  1  0.0168611485533594  0.0146882401873066  2  
5  41  5  1  0.0023909672252328  0.0029988289584613  2  
6  46  5  1  0.0024242051506984  0.0029237518208013  2  
7  51  5  1  0.0026623614565104  0.0030152383617630  2  
8  56  5  1  0.0027051959300278  0.0030049210384389  2  
9  61  5  1  0.0026452551523308  0.0029274706406287  2  
10  66  5  1  0.0023269532827099  0.0025346990221508  2  
