Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  avgConvRate(2)  deleted_Columns  
1  22  22  1  0.2084609844687929  0.2071766036294310  0.2262731766599857  1  
2  45  23  1  0.2195976231802798  0.2272151196103314  0.2401211938550478  1  
3  68  23  1  0.2247396838537266  0.2255181627179063  0.2426632420821175  2  
4  80  12  1  0.0705340313125113  0.0748811790940138  0.0838613605507977  0  
5  82  2  1  0.0000001407733534  0.0000002018012438  0.0000004800175106  0  
6  84  2  1  0.0000002000946748  0.0000002853498843  0.0000005289302731  0  
7  86  2  1  0.0000002897921147  0.0000004125671003  0.0000007715009101  0  
8  90  4  1  0.0006071460891683  0.0007234906510824  0.0008747408655953  0  
9  93  3  1  0.0000569141601863  0.0000718927324300  0.0000861725834164  0  
10  98  5  1  0.0020739902986406  0.0023868820953947  0.0024957332700531  0  
