Timestep  Iteration  resNorm(0)  resNorm(1)  resNorm(2)  
1  1  0.2301367040472372  0.3780669796104781  1.0000000000000000  
1  2  0.2866444579153563  0.5893748306172097  1.4150172232587386  
1  3  0.0027653457312435  0.0049272471711214  2.1762288011995641  
1  4  0.0001773491996765  0.0003202118893499  0.0505233113062918  
1  5  0.0000585303296634  0.0001047342770450  0.0048547679834251  
1  6  0.0000077708920784  0.0000137774823782  0.0016373161034214  
1  7  0.0000003913000421  0.0000006934491649  0.0002104990637883  
1  8  0.0000000171083430  0.0000000305920863  0.0000167274210173  
1  9  0.0000000000132132  0.0000000000234428  0.0000001997238021  
1  10  0.0000000000106947  0.0000000000189743  0.0000000005350665  
1  11  0.0000000000004318  0.0000000000007651  0.0000000002366148  
1  12  0.0000000000000161  0.0000000000000286  0.0000000000132450  
1  13  0.0000000000000002  0.0000000000000004  0.0000000000006078  
2  1  0.2096411552259502  0.1898856603366036  1.5203545437182688  
2  2  0.0978632743338516  0.1770537437576021  1.3034216664609461  
2  3  0.2068858958098471  0.4221210747091091  1.1159945574291861  
2  4  0.0012702549863725  0.0023318380811643  2.1960401066591873  
2  5  0.0003638936528767  0.0006786353802136  0.0294556817504574  
2  6  0.0000359218900162  0.0000657443134459  0.0042229942252520  
2  7  0.0000037980422614  0.0000069568278430  0.0012248427403252  
2  8  0.0000001548820801  0.0000002857066036  0.0001045472704064  
2  9  0.0000000198418000  0.0000000363265143  0.0000058113239180  
2  10  0.0000000010769031  0.0000000019757039  0.0000003707872172  
2  11  0.0000000004044339  0.0000000007368408  0.0000000588757490  
2  12  0.0000000000377698  0.0000000000687896  0.0000000182315205  
2  13  0.0000000000012746  0.0000000000023195  0.0000000013183936  
2  14  0.0000000000000004  0.0000000000000010  0.0000000000404567  
2  15  0.0000000000000004  0.0000000000000004  0.0000000000000087  
3  1  0.1735134180380744  0.1597278212974006  1.5203545437182691  
3  2  0.0000071875271409  0.0000152483415513  2.1488347765416433  
3  3  0.0000071140491453  0.0000135095615993  0.0001665452153026  
3  4  0.0000001933181459  0.0000003633712964  0.0000765654609493  
3  5  0.0000000874867207  0.0000001629632276  0.0000065641411718  
3  6  0.0000000079715117  0.0000000148481802  0.0000022482921981  
3  7  0.0000000007293432  0.0000000013604632  0.0000002684958543  
3  8  0.0000000000451226  0.0000000000833589  0.0000000274867166  
3  9  0.0000000000040943  0.0000000000076190  0.0000000018333303  
3  10  0.0000000000002455  0.0000000000004536  0.0000000001808146  
3  11  0.0000000000001377  0.0000000000002545  0.0000000000193643  
3  12  0.0000000000000325  0.0000000000000605  0.0000000000068620  
3  13  0.0000000000000067  0.0000000000000127  0.0000000000011087  
3  14  0.0000000000000002  0.0000000000000003  0.0000000000001054  
4  1  0.1479631432416985  0.1378068471859943  1.5203545437182704  
4  2  0.0000000000053384  0.0000000000076099  2.1489371210694559  
4  3  0.0000000000030525  0.0000000000057393  0.0000000003429052  
4  4  0.0000000000004384  0.0000000000008248  0.0000000001148534  
4  5  0.0000000000001142  0.0000000000002140  0.0000000000200194  
4  6  0.0000000000000166  0.0000000000000311  0.0000000000060066  
4  7  0.0000000000000014  0.0000000000000030  0.0000000000007747  
5  1  0.1289511853715471  0.1211620053815479  1.5203545437182708  
5  2  0.0000000000000011  0.0000000000000025  2.1489371210539252  
5  3  0.0000000000000011  0.0000000000000021  0.0000000000000816  
6  1  0.1142580451404328  0.1080968299698074  1.5203545437182777  
6  2  0.0000000000000007  0.0000000000000015  2.1489371210539305  
6  3  0.0000000000000007  0.0000000000000016  0.0000000000000359  
7  1  0.1025648447233847  0.0975705446133984  1.5203545437182939  
7  2  0.0000000000000009  0.0000000000000021  2.1489371210538986  
7  3  0.0000000000000012  0.0000000000000023  0.0000000000000773  
8  1  0.0930392936795982  0.0889096388411142  1.5203545437183161  
8  2  0.0000000000000013  0.0000000000000026  2.1489371210538897  
8  3  0.0000000000000013  0.0000000000000027  0.0000000000000807  
9  1  0.0851305262645172  0.0816591936086100  1.5203545437183008  
9  2  0.0000000000000011  0.0000000000000017  2.1489371210538413  
9  3  0.0000000000000010  0.0000000000000017  0.0000000000000638  
10  1  0.0784595543590227  0.0755009453827416  1.5203545437182808  
10  2  0.0000000000000010  0.0000000000000019  2.1489371210538732  
10  3  0.0000000000000008  0.0000000000000017  0.0000000000000963  
