Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  avgConvRate(2)  deleted_Columns  
1  13  13  1  0.0698588239423172  0.0705055551032617  0.1148924008702483  1  
2  28  15  1  0.1047238013386796  0.1057783573805379  0.1123161687293934  2  
3  42  14  1  0.0850934417499217  0.0894876704267510  0.1148332310349878  1  
4  49  7  1  0.0099689681462327  0.0111822590499710  0.0175342525495942  0  
5  52  3  1  0.0000204154726815  0.0000260606169616  0.0000377180730295  0  
6  55  3  1  0.0000179083149048  0.0000243226164878  0.0000286785179290  0  
7  58  3  1  0.0000225214825543  0.0000288493894378  0.0000370512828401  0  
8  61  3  1  0.0000241109060976  0.0000312346670908  0.0000375833799727  0  
9  64  3  1  0.0000229699867545  0.0000277265534292  0.0000347479326613  0  
10  67  3  1  0.0000217762146276  0.0000280821128665  0.0000398632874029  0  
