Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  avgConvRate(2)  deleted_Columns  
1  2  2  1  0.0000000501084469  0.0000000674611021  0.9849965591472766  0  
2  16  14  1  0.0000000000000000  0.0856249638228195  0.0972170714152665  3  
3  28  12  1  0.0974050671229977  0.1033681080982845  0.0871487271789194  4  
4  35  7  1  0.0166297677650627  0.0183902128644857  0.0157957517404866  2  
5  40  5  1  0.0017987355884002  0.0020463235305835  0.0025048920328725  2  
6  45  5  1  0.0020292423076596  0.0023245881602640  0.0026801016534466  2  
7  50  5  1  0.0020183887609947  0.0023326869646582  0.0025498061964230  2  
8  55  5  1  0.0022578279594987  0.0026201561403114  0.0028760572113554  2  
9  60  5  1  0.0022724296527931  0.0026132781448249  0.0029161795289106  2  
10  65  5  1  0.0022793690569549  0.0026239769595971  0.0029459672403732  2  
