Run finished at Mon Apr 12 12:03:24 2021
Global runtime       = 43691ms / 43.691s
Number of processors = 1
# Rank: 0

                                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |          1 |      43691 |      43691 |      43691 |      43691 |          1 |
                                                                                        advance |        390 |        185 |          2 |          0 |          0 |    0.00423 |
                                                                        advance/m2n.receiveData |        390 |         10 |          0 |          0 |          0 |   0.000229 |
                                                                           advance/m2n.sendData |        390 |         23 |          1 |          0 |          0 |   0.000526 |
                                  advance/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |        390 |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                     initialize |          1 |         12 |         12 |         12 |         12 |   0.000275 |
                                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          4 |          2 |          2 |          2 |   9.16e-05 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          5 |          2 |          2 |          2 |   0.000114 |
                                                         initialize/m2n.requestMasterConnection |          1 |          1 |          1 |          1 |          1 |   2.29e-05 |
                                                         initialize/m2n.requestSlavesConnection |          1 |          9 |          9 |          9 |          9 |   0.000206 |
                                               initialize/partition.gatherMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |        390 |      43480 |        135 |          1 |        111 |      0.995 |
                                                                              solver.initialize |          1 |          9 |          9 |          9 |          9 |   0.000206 |


                                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |      43691 |          0 |      43691 |          0 |          1 |
                                                                                        advance |          2 |          0 |          0 |          0 |          0 |
                                                                        advance/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                                                                           advance/m2n.sendData |          1 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          0 |          0 |          0 |          0 |          0 |
                                                                                     initialize |         12 |          0 |         12 |          0 |          1 |
                                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                                         initialize/m2n.requestMasterConnection |          1 |          0 |          1 |          0 |          1 |
                                                         initialize/m2n.requestSlavesConnection |          9 |          0 |          9 |          0 |          1 |
                                               initialize/partition.gatherMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |        135 |          0 |          1 |          0 | 0.00740741 |
                                                                              solver.initialize |          9 |          0 |          9 |          0 |          1 |
