TimeWindow  TotalIterations  Iterations  Convergence  
1  5  5  1  
2  9  4  1  
3  13  4  1  
4  17  4  1  
5  21  4  1  
6  24  3  1  
7  27  3  1  
8  30  3  1  
9  34  4  1  
10  39  5  1  
11  43  4  1  
12  47  4  1  
13  51  4  1  
14  55  4  1  
15  59  4  1  
16  63  4  1  
17  66  3  1  
18  70  4  1  
19  74  4  1  
20  78  4  1  
21  82  4  1  
22  86  4  1  
23  90  4  1  
24  94  4  1  
25  98  4  1  
26  101  3  1  
27  104  3  1  
28  107  3  1  
29  111  4  1  
30  115  4  1  
31  119  4  1  
32  123  4  1  
33  127  4  1  
34  131  4  1  
35  135  4  1  
36  138  3  1  
37  141  3  1  
38  145  4  1  
39  149  4  1  
40  153  4  1  
41  158  5  1  
42  162  4  1  
43  166  4  1  
44  170  4  1  
45  173  3  1  
46  176  3  1  
47  179  3  1  
48  182  3  1  
49  186  4  1  
50  192  6  1  
51  197  5  1  
52  201  4  1  
53  205  4  1  
54  209  4  1  
55  214  5  1  
56  219  5  1  
57  223  4  1  
58  227  4  1  
59  231  4  1  
60  235  4  1  
61  239  4  1  
62  243  4  1  
63  247  4  1  
64  251  4  1  
65  255  4  1  
66  259  4  1  
67  262  3  1  
68  265  3  1  
69  269  4  1  
70  274  5  1  
71  278  4  1  
72  282  4  1  
73  286  4  1  
74  291  5  1  
75  296  5  1  
76  300  4  1  
77  303  3  1  
78  307  4  1  
79  311  4  1  
80  315  4  1  
81  319  4  1  
82  323  4  1  
83  327  4  1  
84  331  4  1  
85  335  4  1  
86  338  3  1  
87  341  3  1  
88  344  3  1  
89  348  4  1  
90  352  4  1  
91  356  4  1  
92  360  4  1  
93  364  4  1  
94  368  4  1  
95  372  4  1  
96  375  3  1  
97  378  3  1  
98  382  4  1  
99  386  4  1  
100  390  4  1  
