Run finished at Mon Apr 12 14:09:38 2021
Global runtime       = 43473ms / 43.473s
Number of processors = 1
# Rank: 0

                                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |          1 |      43473 |      43473 |      43473 |      43473 |          1 |
                                                                                        advance |        857 |      19278 |         33 |          0 |         22 |      0.443 |
                                                                        advance/m2n.receiveData |        857 |       2115 |         23 |          0 |          2 |     0.0487 |
                                                                           advance/m2n.sendData |        857 |         23 |          0 |          0 |          0 |   0.000529 |
                                  advance/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |        857 |          1 |          0 |          0 |          0 |    2.3e-05 |
                                                                                      configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                     initialize |          1 |       5360 |       5360 |       5360 |       5360 |      0.123 |
                                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          4 |          2 |          2 |          2 |    9.2e-05 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          5 |          2 |          2 |          2 |   0.000115 |
                                                         initialize/m2n.requestMasterConnection |          1 |       5350 |       5350 |       5350 |       5350 |      0.123 |
                                                         initialize/m2n.requestSlavesConnection |          1 |          9 |          9 |          9 |          9 |   0.000207 |
                                               initialize/partition.gatherMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData/m2n.receiveData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |        857 |      18807 |         55 |          1 |         21 |      0.433 |
                                                                              solver.initialize |          1 |         19 |         19 |         19 |         19 |   0.000437 |


                                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |      43473 |          0 |      43473 |          0 |          1 |
                                                                                        advance |         33 |          0 |          0 |          0 |          0 |
                                                                        advance/m2n.receiveData |         23 |          0 |          0 |          0 |          0 |
                                                                           advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          0 |          0 |          0 |          0 |          0 |
                                                                                     initialize |       5360 |          0 |       5360 |          0 |          1 |
                                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                                         initialize/m2n.requestMasterConnection |       5350 |          0 |       5350 |          0 |          1 |
                                                         initialize/m2n.requestSlavesConnection |          9 |          0 |          9 |          0 |          1 |
                                               initialize/partition.gatherMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          0 |          0 |          0 |          0 |          0 |
                                                                 initializeData/m2n.receiveData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromSolid-Nodes-MeshToFluid-Nodes-Mesh.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromSolid-Nodes-MeshToFluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |         55 |          0 |          1 |          0 |  0.0181818 |
                                                                              solver.initialize |         19 |          0 |         19 |          0 |          1 |
