TimeWindow  TotalIterations  Iterations  Convergence  
1  20  20  1  
2  31  11  1  
3  41  10  1  
4  49  8  1  
5  57  8  1  
6  65  8  1  
7  73  8  1  
8  81  8  1  
9  89  8  1  
10  97  8  1  
11  105  8  1  
12  113  8  1  
13  122  9  1  
14  130  8  1  
15  138  8  1  
16  146  8  1  
17  154  8  1  
18  161  7  1  
19  169  8  1  
20  177  8  1  
21  185  8  1  
22  194  9  1  
23  203  9  1  
24  212  9  1  
25  221  9  1  
26  230  9  1  
27  239  9  1  
28  248  9  1  
29  256  8  1  
30  264  8  1  
31  272  8  1  
32  279  7  1  
33  288  9  1  
34  297  9  1  
35  306  9  1  
36  315  9  1  
37  323  8  1  
38  331  8  1  
39  339  8  1  
40  348  9  1  
41  356  8  1  
42  365  9  1  
43  374  9  1  
44  382  8  1  
45  390  8  1  
46  399  9  1  
47  408  9  1  
48  416  8  1  
49  425  9  1  
50  432  7  1  
51  441  9  1  
52  449  8  1  
53  457  8  1  
54  465  8  1  
55  473  8  1  
56  481  8  1  
57  490  9  1  
58  498  8  1  
59  506  8  1  
60  515  9  1  
61  523  8  1  
62  532  9  1  
63  541  9  1  
64  550  9  1  
65  560  10  1  
66  569  9  1  
67  578  9  1  
68  586  8  1  
69  595  9  1  
70  603  8  1  
71  612  9  1  
72  620  8  1  
73  628  8  1  
74  637  9  1  
75  646  9  1  
76  655  9  1  
77  663  8  1  
78  670  7  1  
79  678  8  1  
80  687  9  1  
81  696  9  1  
82  705  9  1  
83  715  10  1  
84  724  9  1  
85  733  9  1  
86  742  9  1  
87  750  8  1  
88  759  9  1  
89  768  9  1  
90  776  8  1  
91  783  7  1  
92  791  8  1  
93  800  9  1  
94  808  8  1  
95  817  9  1  
96  825  8  1  
97  832  7  1  
98  840  8  1  
99  848  8  1  
100  857  9  1  
