TimeWindow  Iteration  ResRel(Pressure)  ResRel(CrossSectionLength)  
1  1  1.0000000000000000  0.1020681879013072  
1  2  0.0001156091555344  0.1010365607271177  
1  3  0.0103706378225728  0.0001104056120622  
1  4  0.0002116406678203  0.0000220866904170  
1  5  0.0000009210612927  0.0000002238036738  
2  1  0.0935891910439803  0.0111594035343236  
2  2  0.0012166853281311  0.0004879724558150  
2  3  0.0000990008394417  0.0000448234394364  
2  4  0.0000058314401115  0.0000004505891684  
3  1  0.0713748503562353  0.0092422019719808  
3  2  0.0011564400109309  0.0000196383151112  
3  3  0.0000513144398947  0.0000011050533828  
3  4  0.0000000214854575  0.0000001673514415  
4  1  0.0535910515756622  0.0073602611128296  
4  2  0.0010196330531225  0.0017430258464064  
4  3  0.0001137939424309  0.0000050087575628  
4  4  0.0000032674530832  0.0000005444994298  
5  1  0.0333551722730737  0.0047542331729383  
5  2  0.0005420738803383  0.0000125046651294  
5  3  0.0000239105642797  0.0000018812365523  
5  4  0.0000002208283615  0.0000000624793577  
6  1  0.0115334461665500  0.0016659329899156  
6  2  0.0001871618207944  0.0000562883334613  
6  3  0.0000036433627100  0.0000020550454118  
7  1  0.0111528201970057  0.0015994510883596  
7  2  0.0001971060871697  0.0000008150074426  
7  3  0.0000023896245736  0.0000003111124845  
8  1  0.0340172266600584  0.0047147150726875  
8  2  0.0005843451728479  0.0000043698876496  
8  3  0.0000070896038801  0.0000043088402594  
9  1  0.0562042522178889  0.0073660226302986  
9  2  0.0009555968554233  0.0000007782778027  
9  3  0.0000114330552768  0.0000024493162498  
9  4  0.0000000911782492  0.0000000806321268  
10  1  0.0764486801944887  0.0092866711288273  
10  2  0.0012103808040207  0.0004285870861112  
10  3  0.0001063436027738  0.0001308326736511  
10  4  0.0000084299192703  0.0000254671084891  
10  5  0.0000027270557107  0.0000000839045429  
11  1  0.0928221348619996  0.0102864560203501  
11  2  0.0015084980550982  0.0000204647800238  
11  3  0.0000598127600354  0.0000003902512729  
11  4  0.0000012192845410  0.0000001400682768  
12  1  0.1025439638928412  0.0102707338381144  
12  2  0.0016888221201847  0.0000037315048071  
12  3  0.0000270869024307  0.0000031227266751  
12  4  0.0000000349239378  0.0000005662056824  
13  1  0.1021384946601806  0.0092486267565369  
13  2  0.0014058477289139  0.0018235947551694  
13  3  0.0003014314684481  0.0001296624361073  
13  4  0.0000074690415630  0.0000097933191347  
14  1  0.0883934125204343  0.0073292451390297  
14  2  0.0014067287963477  0.0000774616729282  
14  3  0.0000370288802641  0.0000144215548844  
14  4  0.0000060520457975  0.0000007707208072  
15  1  0.0603681023692527  0.0047068852296282  
15  2  0.0009995979417181  0.0004075640917229  
15  3  0.0000227133381766  0.0000015974262649  
15  4  0.0000002239044530  0.0000000820267913  
16  1  0.0215524014072050  0.0016408558754793  
16  2  0.0003251970796941  0.0000091840112184  
16  3  0.0000111493490564  0.0000007964447231  
16  4  0.0000001881285760  0.0000000233425254  
17  1  0.0202331433231284  0.0015721656894231  
17  2  0.0003431794168657  0.0000491327875540  
17  3  0.0000055699285958  0.0000010663170864  
18  1  0.0562192752639156  0.0046250392996367  
18  2  0.0009217384209709  0.0000034359724172  
18  3  0.0000177197771937  0.0000014628296602  
18  4  0.0000002565836711  0.0000005784000396  
19  1  0.0807159593819965  0.0072277129464005  
19  2  0.0012229838428235  0.0005869651548967  
19  3  0.0001247933208255  0.0000975023465591  
19  4  0.0000016103135225  0.0000006005040428  
20  1  0.0924014700118284  0.0091320044287277  
20  2  0.0014855652979116  0.0000188860019547  
20  3  0.0000601839378032  0.0000014189145378  
20  4  0.0000008202966960  0.0000002664528373  
21  1  0.0929451660797624  0.0101541307920903  
21  2  0.0021209061440699  0.0060506929072379  
21  3  0.0005684075015478  0.0000094498205217  
21  4  0.0000018122116430  0.0000002562362327  
22  1  0.0850554181700896  0.0101906861964869  
22  2  0.0013782003459869  0.0000225332988361  
22  3  0.0000572920847692  0.0000063860361717  
22  4  0.0000004178713159  0.0000001463718226  
23  1  0.0712831035911658  0.0092309904737689  
23  2  0.0011770361940656  0.0002161322829411  
23  3  0.0000307419579813  0.0000056067970112  
23  4  0.0000008631481128  0.0000000930860123  
24  1  0.0535900020508844  0.0073601251505768  
24  2  0.0009354367848242  0.0007365213808492  
24  3  0.0000252186143304  0.0000066729763496  
24  4  0.0000000643361272  0.0000001007254507  
25  1  0.0333551994706726  0.0047542377397147  
25  2  0.0005436444506199  0.0000277590672419  
25  3  0.0000228063876238  0.0000021903202016  
25  4  0.0000002632104012  0.0000000808586580  
26  1  0.0115334531595169  0.0016659339835569  
26  2  0.0001866036663586  0.0000489490576870  
26  3  0.0000042428367833  0.0000012455124867  
27  1  0.0111527841392432  0.0015994465548173  
27  2  0.0001971338887546  0.0000011838503097  
27  3  0.0000023633928312  0.0000003208799606  
28  1  0.0340172273621344  0.0047147151686001  
28  2  0.0005848626421474  0.0000021374922964  
28  3  0.0000063102179856  0.0000015056985641  
29  1  0.0562039905425495  0.0073659897163448  
29  2  0.0009551005308189  0.0000046260034918  
29  3  0.0000117860487460  0.0000006827912690  
29  4  0.0000000821442248  0.0000000367125277  
30  1  0.0764486957081346  0.0092866730230946  
30  2  0.0011640724368847  0.0008986117412566  
30  3  0.0001447615450298  0.0000533334363118  
30  4  0.0000016917538393  0.0000060762277791  
31  1  0.0928227884370170  0.0102865260253169  
31  2  0.0015185254267378  0.0000967586870825  
31  3  0.0000490380402012  0.0000075799002899  
31  4  0.0000017901765378  0.0000001104789044  
32  1  0.1025439870240215  0.0102707362330267  
32  2  0.0016359331772204  0.0001463666388375  
32  3  0.0000789638084912  0.0000044993982195  
32  4  0.0000024573015027  0.0000001752953120  
33  1  0.1021385510642568  0.0092486315953751  
33  2  0.0015826926283472  0.0003876397319627  
33  3  0.0001065072471079  0.0000148234423966  
33  4  0.0000049147971417  0.0000002112245803  
34  1  0.0883917443148861  0.0073291088451495  
34  2  0.0013761485309982  0.0001549852209809  
34  3  0.0000687970744283  0.0000109462979786  
34  4  0.0000055778527860  0.0000000533066586  
35  1  0.0603681652799632  0.0047068898787896  
35  2  0.0009293341497258  0.0000876192817243  
35  3  0.0000478857840682  0.0000001860062969  
35  4  0.0000012897853171  0.0000001068412356  
36  1  0.0215524146931491  0.0016408568171781  
36  2  0.0003295996758697  0.0000004533468541  
36  3  0.0000067813442809  0.0000009037966469  
37  1  0.0202331641055438  0.0015721676794258  
37  2  0.0003433062593239  0.0000102401454940  
37  3  0.0000058423391763  0.0000019674556060  
38  1  0.0562196848334944  0.0046250718352104  
38  2  0.0009209231312444  0.0000090986644151  
38  3  0.0000186722962665  0.0000025615747430  
38  4  0.0000001204094882  0.0000005148259107  
39  1  0.0807159595831510  0.0072277129779755  
39  2  0.0011239922923625  0.0013962456527540  
39  3  0.0002196287460215  0.0000463190147054  
39  4  0.0000047530593951  0.0000007083526945  
40  1  0.0924014972215671  0.0091320069871987  
40  2  0.0014876489553081  0.0000249438309741  
40  3  0.0000571030385645  0.0000017268861747  
40  4  0.0000001213282167  0.0000002129862476  
41  1  0.0929451449376791  0.0101541285142984  
41  2  0.0013022867228839  0.0019301207494429  
41  3  0.0002368777311051  0.0002289619167996  
41  4  0.0000251586257441  0.0000006317623118  
41  5  0.0000005540547901  0.0000000543234407  
42  1  0.0850555795564845  0.0101907054332468  
42  2  0.0011961867419756  0.0018854651571707  
42  3  0.0002367468485305  0.0000139857728750  
42  4  0.0000064399084897  0.0000005512136064  
43  1  0.0712830522332604  0.0092309835287761  
43  2  0.0012638111578084  0.0011757405935856  
43  3  0.0000629595215575  0.0000171623446186  
43  4  0.0000058654427725  0.0000045131893372  
44  1  0.0535895335775460  0.0073600637186803  
44  2  0.0008736511185169  0.0000241587777325  
44  3  0.0000368929169274  0.0000023845269688  
44  4  0.0000007218359041  0.0000000791057431  
45  1  0.0333551939623584  0.0047542368403562  
45  2  0.0005554977421892  0.0001744624948743  
45  3  0.0000099409419685  0.0000080951263467  
46  1  0.0115328646782108  0.0016658552230432  
46  2  0.0001888383674089  0.0000006840917960  
46  3  0.0000020545232564  0.0000003107771920  
47  1  0.0111526228848328  0.0015994243475363  
47  2  0.0001970513602442  0.0000001795784256  
47  3  0.0000024441153477  0.0000002866645611  
48  1  0.0340172208851423  0.0047147143005642  
48  2  0.0005847885999385  0.0000007484252069  
48  3  0.0000064228228775  0.0000017967013045  
49  1  0.0562040296034441  0.0073659947585989  
49  2  0.0009556589327321  0.0000014201905100  
49  3  0.0000114454619741  0.0000032180723417  
49  4  0.0000001549432356  0.0000032024277716  
50  1  0.0764490107165261  0.0092867098652567  
50  2  0.0025732477435294  0.0398686418618069  
50  3  0.0009688387080499  0.0290056747503255  
50  4  0.0028009337826637  0.0001116830655244  
50  5  0.0000693877638082  0.0000138677945314  
50  6  0.0000001049370357  0.0000011405498554  
51  1  0.0928222243087872  0.0102864653224840  
51  2  0.0015341664867879  0.0002455467944293  
51  3  0.0000220075634658  0.0001210864646755  
51  4  0.0000131683788424  0.0000002612383803  
51  5  0.0000001867259834  0.0000000642430572  
52  1  0.1025439851284679  0.0102707360477465  
52  2  0.0016513334321449  0.0000214480620539  
52  3  0.0000648835848759  0.0000046887366500  
52  4  0.0000008563462593  0.0000001569858101  
53  1  0.1021385646809514  0.0092486328300980  
53  2  0.0016695048810794  0.0003217739797584  
53  3  0.0000211956739145  0.0000086266400181  
53  4  0.0000017786511809  0.0000000123625680  
54  1  0.0883917529521894  0.0073291096187211  
54  2  0.0013963365337385  0.0000147518496124  
54  3  0.0000524561362994  0.0000004909035616  
54  4  0.0000014812938139  0.0000001073867534  
55  1  0.0603683240119313  0.0047069023980656  
55  2  0.0008238440351809  0.0008562651805124  
55  3  0.0001192574080956  0.0002239120929719  
55  4  0.0000367169678643  0.0000000440544743  
55  5  0.0000010982077954  0.0000000856219009  
56  1  0.0215524157262993  0.0016408569001373  
56  2  0.0004780431398044  0.0010724198952326  
56  3  0.0001329839905047  0.0000571955480336  
56  4  0.0000191436796446  0.0000610882630876  
56  5  0.0000082195175431  0.0000000318334206  
57  1  0.0202333883043641  0.0015721849311851  
57  2  0.0003364984775597  0.0000033080625806  
57  3  0.0000103218006957  0.0000019587265186  
57  4  0.0000022028775871  0.0000002937624861  
58  1  0.0562194368312836  0.0046250522821478  
58  2  0.0008274297246708  0.0005859421184929  
58  3  0.0001136696853264  0.0000015988059990  
58  4  0.0000004855867800  0.0000002778102416  
59  1  0.0807159376222716  0.0072277111191720  
59  2  0.0012903070371405  0.0000458417942803  
59  3  0.0000552267538613  0.0000050371440576  
59  4  0.0000006165434737  0.0000005889861320  
60  1  0.0924024942387657  0.0091321069119971  
60  2  0.0015197297808519  0.0003057005496587  
60  3  0.0000228724385192  0.0000131158715804  
60  4  0.0000017375990492  0.0000000687753811  
61  1  0.0929450934176748  0.0101541228824504  
61  2  0.0014957644301604  0.0000446768834403  
61  3  0.0000639789417631  0.0000017970696573  
61  4  0.0000013975515627  0.0000001528409617  
62  1  0.0850555837870438  0.0101907059003345  
62  2  0.0013061156709248  0.0007603952413136  
62  3  0.0001259494284103  0.0000368638037761  
62  4  0.0000049089559296  0.0000012882531144  
63  1  0.0712829636934163  0.0092309733227125  
63  2  0.0011525823860234  0.0000645782392845  
63  3  0.0000557245629517  0.0000041788332252  
63  4  0.0000006825051888  0.0000001365565686  
64  1  0.0535899963295985  0.0073601243157614  
64  2  0.0008928150322135  0.0002478552204146  
