Run finished at Mon Apr 12 12:03:24 2021
Global runtime       = 46392ms / 46.392s
Number of processors = 1
# Rank: 0

                                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |          1 |      46392 |      46392 |      46392 |      46392 |          1 |
                                                                                        advance |        390 |      43660 |        135 |          0 |        111 |      0.941 |
                                                           advance/cpl.computeQuasiNewtonUpdate |        290 |          7 |          0 |          0 |          0 |   0.000151 |
                                                                        advance/m2n.receiveData |        389 |      43558 |        135 |        101 |        111 |      0.939 |
                                                                           advance/m2n.sendData |        390 |          9 |          0 |          0 |          0 |   0.000194 |
                                  advance/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |        389 |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          1 |          2 |          2 |          2 |          2 |   4.31e-05 |
                                                                                     initialize |          1 |       2713 |       2713 |       2713 |       2713 |     0.0585 |
                                                          initialize/m2n.acceptMasterConnection |          1 |       2703 |       2703 |       2703 |       2703 |     0.0583 |
                                                          initialize/m2n.acceptSlavesConnection |          1 |          9 |          9 |          9 |          9 |   0.000194 |
                                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          4 |          2 |          2 |          2 |   8.62e-05 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          4 |          2 |          2 |          2 |   8.62e-05 |
                                               initialize/partition.gatherMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          1 |          8 |          8 |          8 |          8 |   0.000172 |
                                                                 initializeData/m2n.receiveData |          1 |          8 |          8 |          8 |          8 |   0.000172 |
                                                                    initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |        390 |          5 |          0 |          0 |          0 |   0.000108 |
                                                                              solver.initialize |          1 |          0 |          0 |          0 |          0 |          0 |


                                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |      46392 |          0 |      46392 |          0 |          1 |
                                                                                        advance |        135 |          0 |          0 |          0 |          0 |
                                                           advance/cpl.computeQuasiNewtonUpdate |          0 |          0 |          0 |          0 |          0 |
                                                                        advance/m2n.receiveData |        135 |          0 |        101 |          0 |   0.748148 |
                                                                           advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          2 |          0 |          2 |          0 |          1 |
                                                                                     initialize |       2713 |          0 |       2713 |          0 |          1 |
                                                          initialize/m2n.acceptMasterConnection |       2703 |          0 |       2703 |          0 |          1 |
                                                          initialize/m2n.acceptSlavesConnection |          9 |          0 |          9 |          0 |          1 |
                                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                               initialize/partition.gatherMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          8 |          0 |          8 |          0 |          1 |
                                                                 initializeData/m2n.receiveData |          8 |          0 |          8 |          0 |          1 |
                                                                    initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |          0 |          0 |          0 |          0 |          0 |
                                                                              solver.initialize |          0 |          0 |          0 |          0 |          0 |
