TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
1  5  5  1  3  1  0  
2  9  4  1  3  3  0  
3  13  4  1  3  3  0  
4  17  4  1  4  2  0  
5  21  4  1  3  4  0  
6  24  3  1  4  1  0  
7  27  3  1  4  2  0  
8  30  3  1  4  2  0  
9  34  4  1  3  4  0  
10  39  5  1  3  4  0  
11  43  4  1  3  3  0  
12  47  4  1  4  2  0  
13  51  4  1  4  3  0  
14  55  4  1  3  4  0  
15  59  4  1  4  2  0  
16  63  4  1  3  4  0  
17  66  3  1  4  1  0  
18  70  4  1  4  3  0  
19  74  4  1  3  4  0  
20  78  4  1  3  3  0  
21  82  4  1  4  2  0  
22  86  4  1  3  4  0  
23  90  4  1  4  2  0  
24  94  4  1  4  3  0  
25  98  4  1  3  4  0  
26  101  3  1  4  1  0  
27  104  3  1  4  2  0  
28  107  3  1  3  3  0  
29  111  4  1  4  2  0  
30  115  4  1  4  3  0  
31  119  4  1  3  4  0  
32  123  4  1  4  2  0  
33  127  4  1  3  4  0  
34  131  4  1  3  3  0  
35  135  4  1  3  3  0  
36  138  3  1  4  1  0  
37  141  3  1  4  2  0  
38  145  4  1  4  3  0  
39  149  4  1  3  4  0  
40  153  4  1  3  3  0  
41  158  5  1  3  4  0  
42  162  4  1  3  3  0  
43  166  4  1  4  2  0  
44  170  4  1  3  4  0  
45  173  3  1  4  1  0  
46  176  3  1  4  2  0  
47  179  3  1  4  2  0  
48  182  3  1  4  2  0  
49  186  4  1  4  3  0  
50  192  6  1  4  5  0  
51  197  5  1  3  5  0  
52  201  4  1  3  3  0  
53  205  4  1  4  2  0  
54  209  4  1  3  4  0  
55  214  5  1  3  4  0  
56  219  5  1  3  4  0  
57  223  4  1  3  3  0  
58  227  4  1  4  2  0  
59  231  4  1  4  3  0  
60  235  4  1  4  3  0  
61  239  4  1  3  4  0  
62  243  4  1  4  2  0  
63  247  4  1  3  4  0  
64  251  4  1  4  2  0  
65  255  4  1  3  4  0  
66  259  4  1  4  2  0  
67  262  3  1  4  2  0  
68  265  3  1  3  3  0  
69  269  4  1  4  2  0  
70  274  5  1  3  5  0  
71  278  4  1  3  3  0  
72  282  4  1  4  2  0  
73  286  4  1  3  4  0  
74  291  5  1  3  4  0  
75  296  5  1  3  4  0  
76  300  4  1  3  3  0  
77  303  3  1  4  1  0  
78  307  4  1  4  3  0  
79  311  4  1  3  4  0  
80  315  4  1  3  3  0  
81  319  4  1  4  2  0  
82  323  4  1  3  4  0  
83  327  4  1  4  2  0  
84  331  4  1  4  3  0  
85  335  4  1  3  4  0  
86  338  3  1  4  1  0  
87  341  3  1  4  2  0  
88  344  3  1  3  3  0  
89  348  4  1  4  2  0  
90  352  4  1  4  3  0  
91  356  4  1  3  4  0  
92  360  4  1  4  2  0  
93  364  4  1  3  4  0  
94  368  4  1  3  3  0  
95  372  4  1  3  3  0  
96  375  3  1  4  1  0  
97  378  3  1  4  2  0  
98  382  4  1  3  4  0  
99  386  4  1  3  3  0  
100  390  4  1  3  3  0  
