Run finished at Mon Apr 12 14:09:38 2021
Global runtime       = 38126ms / 38.126s
Number of processors = 1
# Rank: 0

                                                                                          Event |      Count |  Total[ms] |    Max[ms] |    Min[ms] |    Avg[ms] | Time Ratio |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |          1 |      38126 |      38126 |      38126 |      38126 |          1 |
                                                                                        advance |        857 |      37975 |         65 |          0 |         44 |      0.996 |
                                                           advance/cpl.computeQuasiNewtonUpdate |        757 |        208 |          1 |          0 |          0 |    0.00546 |
                                                                        advance/m2n.receiveData |        856 |      37495 |         64 |         15 |         43 |      0.983 |
                                                                           advance/m2n.sendData |        857 |         23 |          0 |          0 |          0 |   0.000603 |
                                  advance/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |        856 |          1 |          0 |          0 |          0 |   2.62e-05 |
                                                                                      configure |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          1 |          1 |          1 |          1 |          1 |   2.62e-05 |
                                                                                     initialize |          1 |         12 |         12 |         12 |         12 |   0.000315 |
                                                          initialize/m2n.acceptMasterConnection |          1 |          2 |          2 |          2 |          2 |   5.25e-05 |
                                                          initialize/m2n.acceptSlavesConnection |          1 |          9 |          9 |          9 |          9 |   0.000236 |
                                                    initialize/m2n.broadcastVertexDistributions |          2 |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          2 |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          4 |          2 |          2 |          2 |   0.000105 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          4 |          2 |          2 |          2 |   0.000105 |
                                               initialize/partition.gatherMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Fluid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Solid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |          1 |         19 |         19 |         19 |         19 |   0.000498 |
                                                                 initializeData/m2n.receiveData |          1 |         19 |         19 |         19 |         19 |   0.000498 |
                                                                    initializeData/m2n.sendData |          1 |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh.getIndexOnVertices |          1 |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          1 |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |        857 |        110 |          0 |          0 |          0 |    0.00289 |
                                                                              solver.initialize |          1 |          0 |          0 |          0 |          0 |          0 |


                                                                                           Name |        Max |  MaxOnRank |        Min |  MinOnRank |    Min/Max |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                        _GLOBAL |      38126 |          0 |      38126 |          0 |          1 |
                                                                                        advance |         65 |          0 |          0 |          0 |          0 |
                                                           advance/cpl.computeQuasiNewtonUpdate |          1 |          0 |          0 |          0 |          0 |
                                                                        advance/m2n.receiveData |         64 |          0 |         15 |          0 |   0.234375 |
                                                                           advance/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                                  advance/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                      configure |          0 |          0 |          0 |          0 |          0 |
                                                                                       finalize |          1 |          0 |          1 |          0 |          1 |
                                                                                     initialize |         12 |          0 |         12 |          0 |          1 |
                                                          initialize/m2n.acceptMasterConnection |          2 |          0 |          2 |          0 |          1 |
                                                          initialize/m2n.acceptSlavesConnection |          9 |          0 |          9 |          0 |          1 |
                                                    initialize/m2n.broadcastVertexDistributions |          0 |          0 |          0 |          0 |          0 |
                                                           initialize/m2n.buildCommunicationMap |          0 |          0 |          0 |          0 |          0 |
                                                            initialize/m2n.createCommunications |          2 |          0 |          2 |          0 |          1 |
                                                      initialize/m2n.exchangeVertexDistribution |          2 |          0 |          2 |          0 |          1 |
                                               initialize/partition.gatherMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                              initialize/partition.prepareMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                        initialize/partition.receiveGlobalMesh.Fluid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                           initialize/partition.sendGlobalMesh.Solid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 initializeData |         19 |          0 |         19 |          0 |          1 |
                                                                 initializeData/m2n.receiveData |         19 |          0 |         19 |          0 |          1 |
                                                                    initializeData/m2n.sendData |          0 |          0 |          0 |          0 |          0 |
                    initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
 initializeData/map.nn.computeMapping.FromFluid-Nodes-MeshToSolid-Nodes-Mesh.getIndexOnVertices |          0 |          0 |          0 |          0 |          0 |
                           initializeData/map.nn.mapData.FromFluid-Nodes-MeshToSolid-Nodes-Mesh |          0 |          0 |          0 |          0 |          0 |
                                                                                 solver.advance |          0 |          0 |          0 |          0 |          0 |
                                                                              solver.initialize |          0 |          0 |          0 |          0 |          0 |
