TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
1  20  20  1  18  1  0  
2  31  11  1  24  4  0  
3  41  10  1  29  4  0  
4  49  8  1  32  4  0  
5  57  8  1  32  7  0  
6  65  8  1  35  4  0  
7  73  8  1  37  5  0  
8  81  8  1  37  7  0  
9  89  8  1  29  8  7  
10  97  8  1  31  5  0  
11  105  8  1  27  4  7  
12  113  8  1  29  5  0  
13  122  9  1  28  7  2  
14  130  8  1  26  7  2  
15  138  8  1  29  3  1  
16  146  8  1  30  4  2  
17  154  8  1  29  8  0  
18  161  7  1  30  5  0  
19  169  8  1  29  7  1  
20  177  8  1  31  4  1  
21  185  8  1  32  4  2  
22  194  9  1  31  7  2  
23  203  9  1  30  6  3  
24  212  9  1  29  9  0  
25  221  9  1  28  9  0  
26  230  9  1  25  9  2  
27  239  9  1  27  4  2  
28  248  9  1  26  9  0  
29  256  8  1  28  5  0  
30  264  8  1  27  7  1  
31  272  8  1  27  4  3  
32  279  7  1  29  4  0  
33  288  9  1  27  10  0  
34  297  9  1  29  5  1  
35  306  9  1  26  10  1  
36  315  9  1  26  6  2  
37  323  8  1  26  7  0  
38  331  8  1  27  6  0  
39  339  8  1  27  7  0  
40  348  9  1  30  5  0  
41  356  8  1  28  9  0  
42  365  9  1  30  6  0  
43  374  9  1  32  6  0  
44  382  8  1  31  8  0  
45  390  8  1  29  8  1  
46  399  9  1  29  7  1  
47  408  9  1  28  7  2  
48  416  8  1  26  5  4  
49  425  9  1  26  8  0  
50  432  7  1  27  5  0  
51  441  9  1  30  5  0  
52  449  8  1  32  5  0  
53  457  8  1  30  8  1  
54  465  8  1  30  6  1  
55  473  8  1  29  8  0  
56  481  8  1  28  6  2  
57  490  9  1  30  6  0  
58  498  8  1  28  5  4  
59  506  8  1  29  6  0  
60  515  9  1  31  6  0  
61  523  8  1  32  5  1  
62  532  9  1  29  10  1  
63  541  9  1  29  7  1  
64  550  9  1  25  10  2  
65  560  10  1  27  7  0  
66  569  9  1  26  8  1  
67  578  9  1  27  6  1  
68  586  8  1  27  7  0  
69  595  9  1  28  7  0  
70  603  8  1  29  5  1  
71  612  9  1  30  5  2  
72  620  8  1  30  6  1  
73  628  8  1  29  8  0  
74  637  9  1  28  8  1  
75  646  9  1  25  10  1  
76  655  9  1  27  4  2  
77  663  8  1  28  5  1  
78  670  7  1  29  5  0  
79  678  8  1  30  6  0  
80  687  9  1  27  11  0  
81  696  9  1  25  10  0  
82  705  9  1  29  4  0  
83  715  10  1  30  8  0  
84  724  9  1  30  7  1  
85  733  9  1  30  8  0  
86  742  9  1  27  8  3  
87  750  8  1  27  6  1  
88  759  9  1  25  8  2  
89  768  9  1  28  5  0  
90  776  8  1  30  5  0  
91  783  7  1  31  4  1  
92  791  8  1  29  8  1  
93  800  9  1  29  7  1  
94  808  8  1  28  6  2  
95  817  9  1  26  7  3  
96  825  8  1  26  7  0  
97  832  7  1  25  6  1  
98  840  8  1  28  4  0  
99  848  8  1  27  6  2  
100  857  9  1  28  7  0  
