  TimeWindow  Iteration  ResRel(Displacement-Left)  ResRel(Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.10176355e-05   1.54325253e-05
     1       3   4.78687840e-10   2.38166399e-10
     1       4   7.39992032e-15   3.77188563e-15
     2       1   3.03292333e-02   7.47525281e-01
     2       2   9.46146326e-05   1.15362478e-05
     2       3   1.46016526e-09   1.78036326e-10
     2       4   2.26398794e-14   2.80086699e-15
     3       1   5.20361863e-02   5.48177049e-01
     3       2   1.61529004e-04   8.45981517e-06
     3       3   2.49283903e-09   1.30558396e-10
     3       4   3.83942015e-14   2.02477645e-15
     4       1   7.58372593e-02   4.24313499e-01
     4       2   2.33603452e-04   6.54828698e-06
     4       3   3.60514692e-09   1.01058039e-10
     4       4   5.56715447e-14   1.51531749e-15
     5       1   1.02851524e-01   3.40502560e-01
     5       2   3.13388778e-04   5.25486785e-06
     5       3   4.83645483e-09   8.10971259e-11
     5       4   7.46335936e-14   1.22996031e-15
     6       1   1.34790487e-01   2.79363634e-01
     6       2   4.04723963e-04   4.31133430e-06
     6       3   6.24600939e-09   6.65356587e-11
     6       4   9.62630831e-14   1.10793789e-15
     7       1   1.74512945e-01   2.32058642e-01
     7       2   5.13919581e-04   3.58129331e-06
     7       3   7.93119957e-09   5.52692945e-11
     7       4   1.22213297e-13   6.80662623e-16
     8       1   2.27305678e-01   1.93688018e-01
     8       2   6.52481035e-04   2.98913243e-06
     8       3   1.00695855e-08   4.61305071e-11
     8       4   1.55307432e-13   6.86030985e-16
     9       1   3.04333161e-01   1.61314190e-01
     9       2   8.44425542e-04   2.48951755e-06
     9       3   1.30318195e-08   3.84200958e-11
     9       4   2.01174898e-13   8.05508228e-16
    10       1   4.34266989e-01   1.33049241e-01
    10       2   1.15090034e-03   2.05331325e-06
    10       3   1.77615725e-08   3.16882264e-11
    10       4   2.74147581e-13   3.99048306e-16
    11       1   7.20603742e-01   1.07596827e-01
    11       2   1.79129361e-03   1.66051362e-06
    11       3   2.76446097e-08   2.56263093e-11
    11       4   4.26523146e-13   3.56111383e-16
    12       1   2.05215158e+00   8.40023507e-02
    12       2   4.63822868e-03   1.29638673e-06
    12       3   7.15806811e-08   2.00067894e-11
    12       4   1.10464683e-12   3.26196767e-16
    13       1   2.18847667e+00   6.15036158e-02
    13       2   4.31908419e-03   9.49169854e-07
    13       3   6.66554091e-08   1.46482151e-11
    13       4   1.02864877e-12   3.06134196e-16
    14       1   6.54861424e-01   3.94297561e-02
    14       2   9.95891948e-04   6.08509729e-07
    14       3   1.53693651e-08   9.39090893e-12
    14       4   2.37392620e-13   2.94063220e-16
    15       1   3.48467047e-01   1.71189451e-02
    15       2   2.86698432e-04   2.64192561e-07
    15       3   4.42454910e-09   4.07718888e-12
    15       4   6.83850432e-14   0.00000000e+00
    16       1   2.07566105e-01   6.16730795e-03
    16       2   8.13395159e-05   9.51786140e-08
    16       3   1.25529343e-09   1.46874424e-12
    16       4   1.92824831e-14   0.00000000e+00
    17       1   1.19060449e-01   3.13589122e-02
    17       2   3.53142335e-04   4.83954909e-07
    17       3   5.44996205e-09   7.46874009e-12
    17       4   8.42586789e-14   1.49965666e-16
    18       1   5.15311828e-02   5.97646362e-02
    18       2   6.01984044e-04   9.22334346e-07
    18       3   9.29027715e-09   1.42342683e-11
    18       4   1.43641268e-13   1.58928457e-16
    19       1   8.50410668e-03   9.34264846e-02
    19       2   8.67204652e-04   1.44183092e-06
    19       3   1.33833641e-08   2.22514285e-11
    19       4   2.06532773e-13   3.47553668e-16
    20       1   6.98251477e-02   1.35879577e-01
    20       2   1.18650632e-03   2.09700177e-06
    20       3   1.83110713e-08   3.23622831e-11
    20       4   2.82336311e-13   5.92169912e-16
    21       1   1.41960117e-01   1.94022999e-01
    21       2   1.61771970e-03   2.99432002e-06
    21       3   2.49658847e-08   4.62106919e-11
    21       4   3.85423879e-13   5.89222176e-16
    22       1   2.41809846e-01   2.83650208e-01
    22       2   2.28269436e-03   4.37752573e-06
    22       3   3.52282807e-08   6.75574857e-11
    22       4   5.43690746e-13   9.07630176e-16
    23       1   4.14607770e-01   4.51094770e-01
    23       2   3.52644062e-03   6.96168735e-06
    23       3   5.44227210e-08   1.07438169e-10
    23       4   8.39782291e-13   1.75608876e-15
    24       1   8.65872783e-01   9.17678807e-01
    24       2   6.93173108e-03   1.41625206e-05
    24       3   1.06975755e-07   2.18566940e-10
    24       4   1.65096701e-12   3.36766190e-15
    25       1   1.00774767e+01   1.73166264e+01
    25       2   7.33060436e-02   2.67314838e-04
    25       3   1.13131355e-06   4.12540651e-09
    25       4   1.74592487e-11   6.36288409e-14
    26       1   1.11939875e+00   1.06114207e+00
    26       2   8.84745991e-03   1.63760864e-05
    26       3   1.36540775e-07   2.52728327e-10
    26       4   2.10713783e-12   3.89033535e-15
    27       1   5.18376166e-01   5.08400636e-01
    27       2   4.17025237e-03   7.84596521e-06
    27       3   6.43585225e-08   1.21084938e-10
    27       4   9.93365559e-13   1.85451770e-15
    28       1   3.18840375e-01   3.24929792e-01
    28       2   2.69661362e-03   5.01453948e-06
    28       3   4.16162019e-08   7.73881128e-11
    28       4   6.42182292e-13   1.25192337e-15
    29       1   2.10647712e-01   2.29551843e-01
    29       2   1.95563642e-03   3.54260675e-06
    29       3   3.01808753e-08   5.46720997e-11
    29       4   4.65672505e-13   7.23403979e-16
    30       1   1.35949528e-01   1.68579020e-01
    30       2   1.49478673e-03   2.60163338e-06
    30       3   2.30686906e-08   4.01503079e-11
    30       4   3.56017411e-13   6.01451680e-16
    31       1   7.49669517e-02   1.24397186e-01
    31       2   1.16665886e-03   1.91978867e-06
    31       3   1.80047705e-08   2.96274258e-11
    31       4   2.78060339e-13   5.26631772e-16
    32       1   1.75833597e-02   8.94742234e-02
    32       2   9.06210220e-04   1.38083262e-06
    32       3   1.39853283e-08   2.13101145e-11
    32       4   2.15726704e-13   3.19674094e-16
    33       1   4.44472067e-02   5.99988677e-02
    33       2   6.75656764e-04   9.25947476e-07
    33       3   1.04272512e-08   1.42899794e-11
    33       4   1.61078900e-13   1.50246866e-16
    34       1   1.22541317e-01   3.37822773e-02
    34       2   4.42172501e-04   5.21353623e-07
    34       3   6.82394373e-09   8.04596356e-12
    34       4   1.05201188e-13   0.00000000e+00
    35       1   2.41608845e-01   9.41901918e-03
    35       2   1.54550582e-04   1.45361474e-07
    35       3   2.38514265e-09   2.24333801e-12
    35       4   3.67891191e-14   0.00000000e+00
    36       1   4.85711649e-01   1.41013088e-02
    36       2   3.38867910e-04   2.17622211e-07
    36       3   5.22966816e-09   3.35864692e-12
    36       4   8.07326500e-14   0.00000000e+00
    37       1   1.50823408e+00   3.76006331e-02
    37       2   2.17949733e-03   5.80282014e-07
