  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       8       4       1
     3      12       4       1
     4      16       4       1
     5      20       4       1
     6      24       4       1
     7      28       4       1
     8      32       4       1
     9      36       4       1
    10      40       4       1
    11      44       4       1
    12      48       4       1
    13      52       4       1
    14      56       4       1
    15      60       4       1
    16      64       4       1
    17      68       4       1
    18      72       4       1
    19      76       4       1
    20      80       4       1
    21      84       4       1
    22      88       4       1
    23      92       4       1
    24      96       4       1
    25     100       4       1
    26     104       4       1
    27     108       4       1
    28     112       4       1
    29     116       4       1
    30     120       4       1
    31     124       4       1
    32     128       4       1
    33     132       4       1
    34     136       4       1
    35     140       4       1
    36     144       4       1
    37     148       4       1
    38     152       4       1
    39     156       4       1
    40     160       4       1
    41     164       4       1
    42     168       4       1
    43     172       4       1
    44     176       4       1
    45     180       4       1
    46     184       4       1
    47     188       4       1
    48     192       4       1
    49     196       4       1
    50     200       4       1
    51     204       4       1
    52     208       4       1
    53     212       4       1
    54     216       4       1
    55     220       4       1
    56     224       4       1
    57     228       4       1
    58     232       4       1
    59     236       4       1
    60     240       4       1
    61     244       4       1
    62     248       4       1
    63     252       4       1
    64     256       4       1
    65     260       4       1
    66     264       4       1
    67     268       4       1
    68     272       4       1
    69     276       4       1
    70     280       4       1
    71     284       4       1
    72     288       4       1
    73     292       4       1
    74     296       4       1
    75     300       4       1
    76     304       4       1
    77     308       4       1
    78     312       4       1
    79     316       4       1
    80     320       4       1
    81     324       4       1
    82     328       4       1
    83     332       4       1
    84     336       4       1
    85     340       4       1
    86     344       4       1
    87     348       4       1
    88     352       4       1
    89     356       4       1
    90     360       4       1
    91     364       4       1
    92     368       4       1
    93     372       4       1
    94     376       4       1
    95     380       4       1
    96     384       4       1
    97     388       4       1
    98     392       4       1
    99     396       4       1
   100     400       4       1
