  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   6.44247967e-05   1.38872155e-06   2.78068000e-08   0.00000000e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.02920922e-04   1.63463130e-06   2.78068000e-08   0.00000000e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.65306315e-04   1.97916021e-06   2.78068000e-08   0.00000000e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.76060785e-04   2.50019405e-06   2.78068000e-08   0.00000000e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.07897630e-04   2.81840904e-06   2.78068000e-08   0.00000000e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   5.82996908e-04   3.19766155e-06   2.78068000e-08   0.00000000e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.90055829e-04   3.13862518e-06   2.78068000e-08   0.00000000e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.02909927e-03   3.17401642e-06   2.78068000e-08   0.00000000e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.31030131e-03   2.72620068e-06   2.78068000e-08   0.00000000e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.62168162e-03   2.56161664e-06   2.78068000e-08   0.00000000e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.97347373e-03   1.99170586e-06   2.78068000e-08   0.00000000e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.36471536e-03   1.90620449e-06   2.78068000e-08   0.00000000e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.78864178e-03   1.49372730e-06   2.78068000e-08   0.00000000e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   3.25812718e-03   1.66286192e-06   2.78068000e-08   0.00000000e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.76008609e-03   1.53993589e-06   2.78068000e-08   0.00000000e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   4.29991291e-03   1.96389626e-06   2.78068000e-08   0.00000000e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.88076735e-03   2.09740788e-06   2.78068000e-08   0.00000000e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   5.48552301e-03   2.61490857e-06   2.78068000e-08   0.00000000e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   6.13508503e-03   2.82062820e-06   2.78068000e-08   0.00000000e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   6.80417037e-03   3.15129386e-06   2.78068000e-08   0.00000000e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   7.50717385e-03   3.17489683e-06   2.78068000e-08   0.00000000e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   8.23802562e-03   3.08042581e-06   2.78068000e-08   0.00000000e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   8.98539812e-03   2.81487182e-06   2.78068000e-08   0.00000000e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   9.76780992e-03   2.33915672e-06   2.78068000e-08   0.00000000e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   1.05594195e-02   1.99869230e-06   2.78068000e-08   0.00000000e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   1.13796281e-02   1.50328183e-06   2.78068000e-08   0.00000000e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   1.22154807e-02   1.47577082e-06   2.78068000e-08   0.00000000e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   1.30651322e-02   1.32351084e-06   2.78068000e-08   0.00000000e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   1.39368642e-02   1.77541064e-06   2.78068000e-08   0.00000000e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   1.48150884e-02   1.96514021e-06   2.78068000e-08   0.00000000e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   1.57090637e-02   2.63903070e-06   2.78068000e-08   0.00000000e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   1.66151445e-02   2.81877784e-06   2.78068000e-08   0.00000000e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   1.75232121e-02   3.27709872e-06   2.78068000e-08   0.00000000e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.84501699e-02   3.12413348e-06   2.78068000e-08   0.00000000e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.93742065e-02   3.16048975e-06   2.78068000e-08   0.00000000e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   2.03124406e-02   2.68894478e-06   2.78068000e-08   0.00000000e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   2.12570703e-02   2.46089656e-06   2.78068000e-08   0.00000000e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   2.22033538e-02   1.95782780e-06   2.78068000e-08   0.00000000e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   2.31664922e-02   1.77335068e-06   2.78068000e-08   0.00000000e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   2.41256902e-02   1.52068208e-06   2.78068000e-08   0.00000000e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   2.50986336e-02   1.57505099e-06   2.78068000e-08   0.00000000e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   2.60745542e-02   1.66729075e-06   2.78068000e-08   0.00000000e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   2.70500182e-02   1.95034060e-06   2.78068000e-08   0.00000000e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   2.80361914e-02   2.28566379e-06   2.78068000e-08   0.00000000e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   2.90122958e-02   2.61876344e-06   2.78068000e-08   0.00000000e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   2.99941357e-02   2.96626904e-06   2.78068000e-08   0.00000000e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   3.09686930e-02   3.09067766e-06   2.78068000e-08   0.00000000e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   3.19342096e-02   3.21008461e-06   2.78068000e-08   0.00000000e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   3.28976632e-02   2.94777932e-06   2.78068000e-08   0.00000000e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   3.38431647e-02   2.77582045e-06   2.78068000e-08   0.00000000e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   3.47807295e-02   2.21192451e-06   2.78068000e-08   0.00000000e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   3.57047720e-02   1.97458008e-06   2.78068000e-08   0.00000000e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   3.66056763e-02   1.45381354e-06   2.78068000e-08   0.00000000e+00
 5.40000000e-01   0.00000000e+00   1.00000000e+00   3.74999227e-02   1.50885740e-06   2.78068000e-08   0.00000000e+00
 5.50000000e-01   0.00000000e+00   1.00000000e+00   3.83615687e-02   1.35096302e-06   2.78068000e-08   0.00000000e+00
 5.60000000e-01   0.00000000e+00   1.00000000e+00   3.92110768e-02   1.83815232e-06   2.78068000e-08   0.00000000e+00
