  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.72097533e-14   1.00000000e+00   9.21482153e-06   7.12551515e-07   1.65870019e-01   0.00000000e+00
 2.00000000e-02  -8.72097533e-14   1.00000000e+00   4.51184420e-05   1.92226209e-06   1.65870019e-01   0.00000000e+00
 3.00000000e-02  -8.72097533e-14   1.00000000e+00   1.14961715e-04   2.48586587e-06   1.65870019e-01   0.00000000e+00
 4.00000000e-02  -8.72097533e-14   1.00000000e+00   2.18336281e-04   2.84365119e-06   1.65870019e-01   0.00000000e+00
 5.00000000e-02  -8.72097533e-14   1.00000000e+00   3.55179484e-04   3.28358079e-06   1.65870019e-01   0.00000000e+00
 6.00000000e-02  -8.72097533e-14   1.00000000e+00   5.25183887e-04   3.81778348e-06   1.65870019e-01   0.00000000e+00
 7.00000000e-02  -8.72097533e-14   1.00000000e+00   7.28449344e-04   3.83148369e-06   1.65870019e-01   0.00000000e+00
 8.00000000e-02  -8.72097533e-14   1.00000000e+00   9.65712273e-04   2.84032838e-06   1.65870019e-01   0.00000000e+00
 9.00000000e-02  -8.72097533e-14   1.00000000e+00   1.23919503e-03   1.67986833e-06   1.65870019e-01   0.00000000e+00
 1.00000000e-01  -8.72097533e-14   1.00000000e+00   1.55164671e-03   1.22545501e-06   1.65870019e-01   0.00000000e+00
 1.10000000e-01  -8.72097533e-14   1.00000000e+00   1.90498562e-03   1.45106656e-06   1.65870019e-01   0.00000000e+00
 1.20000000e-01  -8.72097533e-14   1.00000000e+00   2.29914088e-03   1.34641748e-06   1.65870019e-01   0.00000000e+00
 1.30000000e-01  -8.72097533e-14   1.00000000e+00   2.73351824e-03   1.32172359e-06   1.65870019e-01   0.00000000e+00
 1.40000000e-01  -8.72097533e-14   1.00000000e+00   3.20740366e-03   2.20740261e-06   1.65870019e-01   0.00000000e+00
 1.50000000e-01  -8.72097533e-14   1.00000000e+00   3.71956101e-03   3.58435007e-06   1.65870019e-01   0.00000000e+00
 1.60000000e-01  -8.72097533e-14   1.00000000e+00   4.26739356e-03   3.94570295e-06   1.65870019e-01   0.00000000e+00
 1.70000000e-01  -8.72097533e-14   1.00000000e+00   4.84854114e-03   3.40169254e-06   1.65870019e-01   0.00000000e+00
 1.80000000e-01  -8.72097533e-14   1.00000000e+00   5.46162633e-03   3.07662050e-06   1.65870019e-01   0.00000000e+00
 1.90000000e-01  -8.72097533e-14   1.00000000e+00   6.10629277e-03   2.79206290e-06   1.65870019e-01   0.00000000e+00
 2.00000000e-01  -8.72097533e-14   1.00000000e+00   6.78208641e-03   2.12138398e-06   1.65870019e-01   0.00000000e+00
 2.10000000e-01  -8.72097533e-14   1.00000000e+00   7.48756421e-03   1.19953534e-06   1.65870019e-01   0.00000000e+00
 2.20000000e-01  -8.72097533e-14   1.00000000e+00   8.22104499e-03   6.80692186e-07   1.65870019e-01   0.00000000e+00
