  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   2.82439545e-05   1.63817082e-06   3.27376843e+00   0.00000000e+00
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   8.21300919e-05   3.20721630e-06   3.27376843e+00   0.00000000e+00
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   1.68581779e-04   4.64119774e-06   3.27376843e+00   0.00000000e+00
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   2.88231498e-04   6.11675333e-06   3.27376843e+00   0.00000000e+00
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   4.41324847e-04   7.73385945e-06   3.27376843e+00   0.00000000e+00
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   6.28241243e-04   9.45400004e-06   3.27376843e+00   0.00000000e+00
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   8.49654184e-04   1.11766409e-05   3.27376843e+00   0.00000000e+00
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   1.10662974e-03   1.29277410e-05   3.27376843e+00   0.00000000e+00
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   1.40053847e-03   1.49486684e-05   3.27376843e+00   0.00000000e+00
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   1.73275418e-03   1.75918973e-05   3.27376843e+00   0.00000000e+00
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   2.10425373e-03   2.11327769e-05   3.27376843e+00   0.00000000e+00
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   2.51529634e-03   2.56606411e-05   3.27376843e+00   0.00000000e+00
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   2.96531574e-03   3.10981809e-05   3.27376843e+00   0.00000000e+00
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   3.45303862e-03   3.72782910e-05   3.27376843e+00   0.00000000e+00
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   3.97673657e-03   4.40014025e-05   3.27376843e+00   0.00000000e+00
 1.60000000e-01  -8.33333334e-03   1.00000000e+00   4.53448873e-03   5.10646703e-05   3.27376843e+00   0.00000000e+00
 1.70000000e-01  -8.33333334e-03   1.00000000e+00   5.12437498e-03   5.82943965e-05   3.27376843e+00   0.00000000e+00
 1.80000000e-01  -8.33333334e-03   1.00000000e+00   5.74457786e-03   6.55908065e-05   3.27376843e+00   0.00000000e+00
 1.90000000e-01  -8.33333334e-03   1.00000000e+00   6.39340296e-03   7.29582972e-05   3.27376843e+00   0.00000000e+00
 2.00000000e-01  -8.33333334e-03   1.00000000e+00   7.06923323e-03   8.04938951e-05   3.27376843e+00   0.00000000e+00
 2.10000000e-01  -8.33333334e-03   1.00000000e+00   7.77043428e-03   8.83367614e-05   3.27376843e+00   0.00000000e+00
 2.20000000e-01  -8.33333334e-03   1.00000000e+00   8.49524121e-03   9.66059959e-05   3.27376843e+00   0.00000000e+00
 2.30000000e-01  -8.33333334e-03   1.00000000e+00   9.24167093e-03   1.05353209e-04   3.27376843e+00   0.00000000e+00
 2.40000000e-01  -8.33333334e-03   1.00000000e+00   1.00075050e-02   1.14541148e-04   3.27376843e+00   0.00000000e+00
 2.50000000e-01  -8.33333334e-03   1.00000000e+00   1.07903663e-02   1.24048006e-04   3.27376843e+00   0.00000000e+00
 2.60000000e-01  -8.33333334e-03   1.00000000e+00   1.15878804e-02   1.33693867e-04   3.27376843e+00   0.00000000e+00
 2.70000000e-01  -8.33333334e-03   1.00000000e+00   1.23978812e-02   1.43284256e-04   3.27376843e+00   0.00000000e+00
 2.80000000e-01  -8.33333334e-03   1.00000000e+00   1.32186030e-02   1.52660769e-04   3.27376843e+00   0.00000000e+00
 2.90000000e-01  -8.33333334e-03   1.00000000e+00   1.40488043e-02   1.61743831e-04   3.27376843e+00   0.00000000e+00
 3.00000000e-01  -8.33333334e-03   1.00000000e+00   1.48877834e-02   1.70553099e-04   3.27376843e+00   0.00000000e+00
 3.10000000e-01  -8.33333334e-03   1.00000000e+00   1.57352793e-02   1.79198796e-04   3.27376843e+00   0.00000000e+00
 3.20000000e-01  -8.33333334e-03   1.00000000e+00   1.65912824e-02   1.87847738e-04   3.27376843e+00   0.00000000e+00
 3.30000000e-01  -8.33333334e-03   1.00000000e+00   1.74558074e-02   1.96675655e-04   3.27376843e+00   0.00000000e+00
 3.40000000e-01  -8.33333334e-03   1.00000000e+00   1.83286888e-02   2.05820292e-04   3.27376843e+00   0.00000000e+00
 3.50000000e-01  -8.33333334e-03   1.00000000e+00   1.92094487e-02   2.15348049e-04   3.27376843e+00   0.00000000e+00
 3.60000000e-01  -8.33333334e-03   1.00000000e+00   2.00972577e-02   2.25242261e-04   3.27376843e+00   0.00000000e+00
 3.70000000e-01  -8.33333334e-03   1.00000000e+00   2.09909814e-02   2.35415077e-04   3.27376843e+00   0.00000000e+00
 3.80000000e-01  -8.33333334e-03   1.00000000e+00   2.18892788e-02   2.45738211e-04   3.27376843e+00   0.00000000e+00
 3.90000000e-01  -8.33333334e-03   1.00000000e+00   2.27907080e-02   2.56082551e-04   3.27376843e+00   0.00000000e+00
