  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.18340418e-03  -2.83026487e-04   3.62562101e+01  -2.95441406e+02
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.62173554e-03   1.64186816e-04   1.69192413e+01   1.31568869e+02
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.69791153e-03   2.77762533e-05   8.51826752e+00   2.23684997e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   4.22927487e-03   6.17570802e-05   1.25432897e+01   1.52952128e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   5.82158028e-03   1.06475699e-04   9.31117270e+00   1.70799163e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   7.43866631e-03   1.83638410e-04   1.05481057e+01   1.62832237e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   9.48802860e-03   2.11814460e-04   8.54956599e+00   1.54343265e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.15092262e-02   2.71869684e-04   9.67547786e+00   1.53473932e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.39152084e-02   2.39310926e-04   8.19665016e+00   1.45820632e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.66548784e-02   2.55801192e-04   9.04799587e+00   1.46531060e+01
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.94391729e-02   1.58636343e-04   8.02622912e+00   1.39819486e+01
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.29910643e-02   1.51019306e-04   8.62946552e+00   1.40636048e+01
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.62610296e-02   3.01336095e-05   7.92441418e+00   1.35758502e+01
 1.40000000e-01   0.00000000e+00   1.00000000e+00   3.03152666e-02   4.02511603e-05   8.44169704e+00   1.35964008e+01
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.41156339e-02  -5.31619183e-05   7.82424471e+00   1.32894846e+01
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.81707252e-02   4.14099696e-06   8.45197750e+00   1.32775355e+01
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.23259765e-02  -3.35377874e-05   7.73581323e+00   1.30614244e+01
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.60566874e-02   6.36692707e-05   8.52779649e+00   1.30953411e+01
 1.90000000e-01   0.00000000e+00   1.00000000e+00   5.02195229e-02   7.28637132e-05   7.71051535e+00   1.28585618e+01
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.36475542e-02   1.66847876e-04   8.52621921e+00   1.29866948e+01
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.75517313e-02   1.86525439e-04   7.76536404e+00   1.26758177e+01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   6.09142522e-02   2.24101761e-04   8.40624670e+00   1.28776421e+01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.45602054e-02   2.19974664e-04   7.85966192e+00   1.25129103e+01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.80640593e-02   1.74739733e-04   8.23702156e+00   1.27274996e+01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.16245072e-02   1.46724254e-04   7.94436788e+00   1.23654823e+01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.53204527e-02   4.29965509e-05   8.10548488e+00   1.25385458e+01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.88784894e-02   3.08726336e-05   8.01596521e+00   1.22308194e+01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.26974970e-02  -7.21522098e-05   8.03069037e+00   1.23400588e+01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.61505344e-02  -2.28971410e-05   8.09431361e+00   1.21122581e+01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.99841288e-02  -7.97099775e-05   7.98481886e+00   1.21644541e+01
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.32360852e-02   3.64186497e-05   8.15684802e+00   1.20077463e+01
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.69874875e-02   2.08132612e-05   7.95642565e+00   1.20306367e+01
 3.30000000e-01   0.00000000e+00   1.00000000e+00   1.00182948e-01   1.58483147e-04   8.13807802e+00   1.18974819e+01
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.03806355e-01   1.38682230e-04   7.96954558e+00   1.19413769e+01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.07284188e-01   2.37418795e-04   8.00797877e+00   1.17624169e+01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.10841460e-01   1.74270643e-04   8.03109497e+00   1.18773869e+01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.14829878e-01   2.06887957e-04   7.83394381e+00   1.16141679e+01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.18498885e-01   1.03336360e-04   8.09430193e+00   1.17993060e+01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.22887287e-01   9.30462223e-05   7.74107294e+00   1.14971276e+01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.26844097e-01  -1.13211762e-05   8.09989362e+00   1.16782506e+01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.31276065e-01  -1.55113077e-05   7.79810105e+00   1.14504737e+01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.35505657e-01  -7.64876739e-05   8.04756886e+00   1.15245862e+01
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.39660927e-01  -3.95791697e-05   7.95507411e+00   1.14660589e+01
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.43887666e-01  -4.12313662e-05   8.00123077e+00   1.13928555e+01
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.47645867e-01   3.27943310e-05   8.09719498e+00   1.14821198e+01
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.51503370e-01   6.93793913e-05   8.01301033e+00   1.13371475e+01
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.54883030e-01   1.39935073e-04   8.15355719e+00   1.14392126e+01
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.58191091e-01   1.72756039e-04   8.05980956e+00   1.13569942e+01
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.61225185e-01   1.92148283e-04   8.14642354e+00   1.13336295e+01
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.64090603e-01   1.89376591e-04   8.07958506e+00   1.14005472e+01
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.66795457e-01   1.37166285e-04   8.13940641e+00   1.12092542e+01
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.69424107e-01   1.06106391e-04   8.05909082e+00   1.14184288e+01
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.71823882e-01   9.12178228e-06   8.16005871e+00   1.11117245e+01
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.74248727e-01  -6.08193419e-06   8.05592651e+00   1.14068694e+01
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.76347524e-01  -9.25866684e-05   8.18350198e+00   1.10597872e+01
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.78389510e-01  -4.79082427e-05   8.11804098e+00   1.13918432e+01
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.80121684e-01  -8.58050801e-05   8.18293571e+00   1.10532190e+01
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.81625603e-01   2.09003140e-05   8.20929542e+00   1.13816288e+01
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.82910807e-01   2.29395904e-05   8.16448229e+00   1.10904725e+01
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.83973870e-01   1.41935173e-04   8.24396978e+00   1.13576397e+01
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.84873771e-01   1.42008287e-04   8.14783139e+00   1.11563979e+01
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.85791458e-01   2.09901666e-04   8.19614153e+00   1.13145467e+01
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.86572713e-01   1.74758379e-04   8.13070612e+00   1.12112279e+01
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.87569877e-01   1.63982764e-04   8.13498397e+00   1.12800707e+01
