  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.72097533e-14   1.00000000e+00   3.80919651e-04  -1.09903802e-04   3.30931093e+01  -1.58927102e+02
 2.00000000e-02  -8.72097533e-14   1.00000000e+00   1.41455229e-03  -1.07799036e-04   9.92030453e+00   7.35963719e+01
 3.00000000e-02  -8.72097533e-14   1.00000000e+00   2.70311680e-03   2.74294954e-07   8.13704344e+00   1.15694010e+01
 4.00000000e-02  -8.72097533e-14   1.00000000e+00   4.07541453e-03   7.30763711e-05   9.27114415e+00   1.02185049e+01
 5.00000000e-02  -8.72097533e-14   1.00000000e+00   5.53957737e-03   1.53940837e-04   7.53814254e+00   1.03716179e+01
 6.00000000e-02  -8.72097533e-14   1.00000000e+00   6.99980575e-03   2.65910406e-04   7.96698389e+00   9.82210044e+00
 7.00000000e-02  -8.72097533e-14   1.00000000e+00   8.45622106e-03   3.71111337e-04   7.01228488e+00   9.48570630e+00
 8.00000000e-02  -8.72097533e-14   1.00000000e+00   1.01208700e-02   3.97935227e-04   7.27855053e+00   9.37748610e+00
 9.00000000e-02  -8.72097533e-14   1.00000000e+00   1.25063033e-02   3.01400901e-04   6.52026834e+00   8.96664086e+00
 1.00000000e-01  -8.72097533e-14   1.00000000e+00   1.58829109e-02   9.98414645e-05   6.68858069e+00   8.93639164e+00
 1.10000000e-01  -8.72097533e-14   1.00000000e+00   1.97878774e-02  -3.41206352e-05   6.26933129e+00   8.51797661e+00
 1.20000000e-01  -8.72097533e-14   1.00000000e+00   2.35587044e-02  -7.03716957e-05   6.61433969e+00   8.49206464e+00
 1.30000000e-01  -8.72097533e-14   1.00000000e+00   2.72545738e-02  -7.88915957e-05   6.26830665e+00   8.29973020e+00
 1.40000000e-01  -8.72097533e-14   1.00000000e+00   3.12504234e-02  -1.43175745e-04   6.40978931e+00   8.22255807e+00
 1.50000000e-01  -8.72097533e-14   1.00000000e+00   3.52962247e-02  -1.78636626e-05   6.19529946e+00   8.10433572e+00
 1.60000000e-01  -8.72097533e-14   1.00000000e+00   3.89860694e-02   2.16782059e-04   6.45734028e+00   7.94795590e+00
 1.70000000e-01  -8.72097533e-14   1.00000000e+00   4.25109658e-02   3.26613425e-04   6.22804719e+00   8.11789323e+00
 1.80000000e-01  -8.72097533e-14   1.00000000e+00   4.60043139e-02   2.98561026e-04   6.32562977e+00   7.85634841e+00
 1.90000000e-01  -8.72097533e-14   1.00000000e+00   4.94845588e-02   2.84589096e-04   6.15687448e+00   7.95480182e+00
 2.00000000e-01  -8.72097533e-14   1.00000000e+00   5.31665687e-02   2.30697034e-04   6.22813939e+00   7.69760499e+00
 2.10000000e-01  -8.72097533e-14   1.00000000e+00   5.70865838e-02   9.71336891e-05   6.09445509e+00   7.81705020e+00
 2.20000000e-01  -8.72097533e-14   1.00000000e+00   6.11268229e-02  -3.70953504e-05   6.18578138e+00   7.62374887e+00
 2.30000000e-01  -8.72097533e-14   1.00000000e+00   6.54181065e-02  -1.90805723e-04   6.06212526e+00   7.63976935e+00
