  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   4.02601943e-04  -1.17229882e-04  -4.59498727e+00  -1.04744950e+02
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.42229912e-03  -9.87384109e-05   8.84426274e-01   4.62440526e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.69901989e-03  -4.57972790e-06  -2.33737937e+00   5.42849480e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   4.07375428e-03   7.53183135e-05   3.35000519e-01   4.47973643e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   5.52896414e-03   1.55954811e-04  -1.63668048e+00   4.70835506e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   6.99561319e-03   2.64247046e-04   8.71240332e-02   4.29645781e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   8.48061706e-03   3.63119203e-04  -1.31247514e+00   4.18106994e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.01946775e-02   3.89418131e-04  -1.02333655e-01   4.01923506e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.25606160e-02   3.00653507e-04  -1.07221556e+00   3.91315819e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.58263795e-02   1.21410734e-04  -1.41767621e-01   3.83506921e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.96761588e-02  -2.78809658e-05  -8.04766538e-01   3.78353508e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.35468750e-02  -8.19760964e-05  -1.81214580e-01   3.73889729e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.72991881e-02  -9.00815123e-05  -6.82171536e-01   3.70859477e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   3.11805074e-02  -1.00607003e-04  -2.34578010e-01   3.69685708e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.51789616e-02  -2.55636331e-05  -5.44079224e-01   3.66201039e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.89861630e-02   1.65902314e-04  -2.71982277e-01   3.67892859e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.25282089e-02   3.18603520e-04  -4.88291916e-01   3.65329779e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.59917348e-02   3.32618047e-04  -3.28832210e-01   3.68122633e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.95080168e-02   2.78668206e-04  -4.30435220e-01   3.60694523e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.31628453e-02   2.14645701e-04  -3.61226999e-01   3.62462129e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.70362634e-02   1.11248604e-04  -3.70923891e-01   3.56596391e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   6.11074545e-02  -2.91710903e-05  -3.66990351e-01   3.60796251e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.52931019e-02  -1.48996775e-04  -3.09160700e-01   3.55552528e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.94227570e-02  -1.77166226e-04  -3.67303646e-01   3.59678243e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.31576098e-02  -8.09012601e-05  -2.84141057e-01   3.55090635e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.62919615e-02   6.70951770e-05  -4.41628350e-01   3.58659612e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.90772870e-02   1.69428327e-04  -3.30497318e-01   3.52662423e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.19523652e-02   2.41418582e-04  -4.92031047e-01   3.52757547e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.50824894e-02   3.17422950e-04  -3.07798399e-01   3.47077128e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.83483033e-02   3.19507485e-04  -5.03063969e-01   3.49161278e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.16856792e-02   1.92030113e-04  -3.09526840e-01   3.44503850e+00
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.52626001e-02   2.02481730e-05  -5.27840974e-01   3.43000552e+00
 3.30000000e-01   0.00000000e+00   1.00000000e+00   9.92570755e-02  -9.39856733e-05  -2.83304239e-01   3.37892496e+00
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.03570083e-01  -1.36600812e-04  -5.04317143e-01   3.39725852e+00
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.07908953e-01  -1.32753541e-04  -2.59451643e-01   3.38940886e+00
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.12087719e-01  -8.39466585e-05  -5.22434234e-01   3.41114611e+00
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.16093770e-01   2.83554429e-05  -2.70299217e-01   3.39439497e+00
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.19925315e-01   1.86368608e-04  -5.46250000e-01   3.40155124e+00
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.23594370e-01   3.06702812e-04  -2.94331886e-01   3.38562998e+00
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.27292820e-01   3.14668270e-04  -5.79303848e-01   3.37996279e+00
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.31315859e-01   2.33189478e-04  -2.87439735e-01   3.35372699e+00
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.35748717e-01   1.34348016e-04  -5.45242123e-01   3.34211518e+00
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.40365884e-01   3.01095279e-05  -2.48123129e-01   3.34099753e+00
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.44841233e-01  -9.55632763e-05  -5.40525787e-01   3.34518895e+00
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.48992075e-01  -1.87164068e-04  -2.71226659e-01   3.34122418e+00
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.52841655e-01  -1.67803250e-04  -5.74550611e-01   3.32694169e+00
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.56450800e-01  -5.02343145e-05  -2.88577127e-01   3.33416654e+00
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.59710017e-01   8.76694119e-05  -5.89789067e-01   3.34014456e+00
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.62434738e-01   1.94460197e-04  -3.27268946e-01   3.35874808e+00
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.64667191e-01   2.63575781e-04  -6.52407127e-01   3.33492406e+00
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.66704419e-01   2.91187511e-04  -3.73648632e-01   3.32292737e+00
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.68801495e-01   2.48201988e-04  -6.65501827e-01   3.28598322e+00
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.71009186e-01   1.18514864e-04  -3.71481666e-01   3.29199052e+00
