  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333333e-03   1.00000000e+00   1.25623249e-03  -1.74005166e-04  -4.99363209e+01  -1.07922070e+02
 2.00000000e-02  -8.33333333e-03   1.00000000e+00   2.47779548e-03   3.22947431e-06   2.33426442e+01   4.08643096e+01
 3.00000000e-02  -8.33333333e-03   1.00000000e+00   3.81908764e-03   8.70812523e-05   1.64460902e+00   2.89428641e+00
 4.00000000e-02  -8.33333333e-03   1.00000000e+00   5.30599759e-03   1.67550122e-04   2.68562143e+00   2.74509465e+00
 5.00000000e-02  -8.33333333e-03   1.00000000e+00   7.02999561e-03   2.35994216e-04   1.42851969e+00   2.59212683e+00
 6.00000000e-02  -8.33333333e-03   1.00000000e+00   9.05150045e-03   2.79885302e-04   2.21043370e+00   2.76518536e+00
 7.00000000e-02  -8.33333333e-03   1.00000000e+00   1.14243930e-02   3.01821844e-04   1.29897085e+00   2.46856734e+00
 8.00000000e-02  -8.33333333e-03   1.00000000e+00   1.41226904e-02   3.07251020e-04   1.90799392e+00   2.65378992e+00
 9.00000000e-02  -8.33333333e-03   1.00000000e+00   1.71075509e-02   3.09376787e-04   1.25886994e+00   2.39264107e+00
 1.00000000e-01  -8.33333333e-03   1.00000000e+00   2.02995209e-02   3.17495058e-04   1.72192400e+00   2.55780176e+00
 1.10000000e-01  -8.33333333e-03   1.00000000e+00   2.36407505e-02   3.39585942e-04   1.25587409e+00   2.33402458e+00
 1.20000000e-01  -8.33333333e-03   1.00000000e+00   2.70669518e-02   3.76898630e-04   1.59953316e+00   2.48205780e+00
 1.30000000e-01  -8.33333333e-03   1.00000000e+00   3.05457194e-02   4.27848225e-04   1.26591682e+00   2.29066261e+00
 1.40000000e-01  -8.33333333e-03   1.00000000e+00   3.40437778e-02   4.86820760e-04   1.51215888e+00   2.42425613e+00
 1.50000000e-01  -8.33333333e-03   1.00000000e+00   3.75517485e-02   5.48101765e-04   1.27712900e+00   2.25933554e+00
 1.60000000e-01  -8.33333333e-03   1.00000000e+00   4.10538301e-02   6.06049304e-04   1.44453202e+00   2.37897003e+00
 1.70000000e-01  -8.33333333e-03   1.00000000e+00   4.45482357e-02   6.57317644e-04   1.28460993e+00   2.23505750e+00
 1.80000000e-01  -8.33333333e-03   1.00000000e+00   4.80232962e-02   7.00399481e-04   1.38842692e+00   2.34030911e+00
 1.90000000e-01  -8.33333333e-03   1.00000000e+00   5.14778197e-02   7.35985045e-04   1.28659123e+00   2.21281867e+00
 2.00000000e-01  -8.33333333e-03   1.00000000e+00   5.49034202e-02   7.65886035e-04   1.33886515e+00   2.30370652e+00
 2.10000000e-01  -8.33333333e-03   1.00000000e+00   5.83031118e-02   7.92563731e-04   1.28207369e+00   2.18954970e+00
 2.20000000e-01  -8.33333333e-03   1.00000000e+00   6.16762430e-02   8.18243104e-04   1.29237727e+00   2.26695054e+00
 2.30000000e-01  -8.33333333e-03   1.00000000e+00   6.50335777e-02   8.44597515e-04   1.27067100e+00   2.16447049e+00
 2.40000000e-01  -8.33333333e-03   1.00000000e+00   6.83825671e-02   8.72572751e-04   1.24686556e+00   2.22998448e+00
 2.50000000e-01  -8.33333333e-03   1.00000000e+00   7.17389111e-02   9.02401215e-04   1.25289927e+00   2.13839824e+00
 2.60000000e-01  -8.33333333e-03   1.00000000e+00   7.51125222e-02   9.33977310e-04   1.20163522e+00   2.19383430e+00
 2.70000000e-01  -8.33333333e-03   1.00000000e+00   7.85172732e-02   9.66908657e-04   1.23001731e+00   2.11262355e+00
 2.80000000e-01  -8.33333333e-03   1.00000000e+00   8.19588294e-02   1.00105338e-03   1.15688395e+00   2.15960575e+00
 2.90000000e-01  -8.33333333e-03   1.00000000e+00   8.54439624e-02   1.03625082e-03   1.20348065e+00   2.08822362e+00
 3.00000000e-01  -8.33333333e-03   1.00000000e+00   8.89705499e-02   1.07267847e-03   1.11302613e+00   2.12805668e+00
 3.10000000e-01  -8.33333333e-03   1.00000000e+00   9.25367961e-02   1.11048295e-03   1.17447680e+00   2.06583076e+00
