  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   9.88039778e-04  -1.44811909e-04   9.92806702e+01  -9.18023917e+01
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   2.16303632e-03  -7.90276731e-05  -2.04802208e+01   5.02877550e+01
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   3.81725925e-03  -1.73790394e-05   4.94573978e+00   1.18363062e+01
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   5.58534644e-03   6.59410680e-05   6.46990124e+00   9.02237224e+00
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   7.46502734e-03   1.58348700e-04   5.19913489e+00   9.96630574e+00
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   9.48731462e-03   2.51584996e-04   5.67374206e+00   8.52158726e+00
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   1.17601639e-02   3.31020304e-04   5.03397014e+00   8.95355686e+00
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   1.44524782e-02   3.73193526e-04   5.27509157e+00   8.06391145e+00
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   1.77383062e-02   3.70073733e-04   4.87867314e+00   8.30255322e+00
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   2.16966691e-02   3.33734230e-04   5.02734861e+00   7.67841092e+00
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   2.62624921e-02   2.96610825e-04   4.83328307e+00   7.81409752e+00
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   3.12348313e-02   2.88288044e-04   4.96974450e+00   7.39190412e+00
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   3.63644308e-02   3.25971053e-04   4.92200000e+00   7.50209336e+00
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   4.14375512e-02   4.11220422e-04   5.02897085e+00   7.23837113e+00
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   4.63318171e-02   5.37518756e-04   5.03887414e+00   7.33171410e+00
 1.60000000e-01  -8.33333334e-03   1.00000000e+00   5.10054408e-02   6.90387669e-04   5.08684077e+00   7.15721969e+00
 1.70000000e-01  -8.33333334e-03   1.00000000e+00   5.54755910e-02   8.48825713e-04   5.11768389e+00   7.22491727e+00
