  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -3.46944695e-18   1.00000000e+00   2.24204450e-04  -7.87108426e-07   8.77685766e+00  -7.72967420e+00
 2.00000000e-02  -3.46944695e-18   1.00000000e+00   9.37870045e-04   3.36185525e-05   6.94438992e+00   1.60375428e+01
 3.00000000e-02  -3.46944695e-18   1.00000000e+00   2.01226478e-03   9.93704791e-05   5.09604576e+00   1.17154838e+01
 4.00000000e-02  -3.46944695e-18   1.00000000e+00   3.27062692e-03   1.69822138e-04   4.55130021e+00   1.02345653e+01
 5.00000000e-02  -3.46944695e-18   1.00000000e+00   4.65831661e-03   2.30228030e-04   4.24122678e+00   9.45612212e+00
 6.00000000e-02  -3.46944695e-18   1.00000000e+00   6.09829692e-03   2.70116513e-04   4.03990461e+00   8.97303968e+00
 7.00000000e-02  -3.46944695e-18   1.00000000e+00   7.55694399e-03   2.71029772e-04   3.88928069e+00   8.61437548e+00
 8.00000000e-02  -3.46944695e-18   1.00000000e+00   9.14582532e-03   2.21367350e-04   3.76291663e+00   8.35065422e+00
 9.00000000e-02  -3.46944695e-18   1.00000000e+00   1.12213515e-02   1.28535301e-04   3.65214606e+00   8.11789751e+00
 1.00000000e-01  -3.46944695e-18   1.00000000e+00   1.40985505e-02   3.13729468e-05   3.56555505e+00   7.93406568e+00
 1.10000000e-01  -3.46944695e-18   1.00000000e+00   1.76227353e-02  -2.45771314e-05   3.52253358e+00   7.76340406e+00
 1.20000000e-01  -3.46944695e-18   1.00000000e+00   2.13080979e-02  -3.34976233e-05   3.51401006e+00   7.63158010e+00
 1.30000000e-01  -3.46944695e-18   1.00000000e+00   2.49846311e-02  -6.60256254e-06   3.51528316e+00   7.51104674e+00
 1.40000000e-01  -3.46944695e-18   1.00000000e+00   2.88387485e-02   4.73151774e-05   3.51320488e+00   7.42001492e+00
 1.50000000e-01  -3.46944695e-18   1.00000000e+00   3.28076842e-02   1.38137847e-04   3.52610354e+00   7.33995155e+00
 1.60000000e-01  -3.46944695e-18   1.00000000e+00   3.66210091e-02   2.20482428e-04   3.54603080e+00   7.27845063e+00
 1.70000000e-01  -3.46944695e-18   1.00000000e+00   4.03031026e-02   2.47770624e-04   3.55762011e+00   7.23108094e+00
 1.80000000e-01  -3.46944695e-18   1.00000000e+00   4.39603607e-02   2.15652277e-04   3.56186986e+00   7.18385472e+00
 1.90000000e-01  -3.46944695e-18   1.00000000e+00   4.75842304e-02   1.57274063e-04   3.56376712e+00   7.13074015e+00
 2.00000000e-01  -3.46944695e-18   1.00000000e+00   5.12880411e-02   8.13376585e-05   3.56127771e+00   7.06807125e+00
 2.10000000e-01  -3.46944695e-18   1.00000000e+00   5.51727428e-02  -6.34783993e-07   3.56385494e+00   7.01301596e+00
 2.20000000e-01  -3.46944695e-18   1.00000000e+00   5.92079279e-02  -5.79464500e-05   3.57520087e+00   6.95865727e+00
 2.30000000e-01  -3.46944695e-18   1.00000000e+00   6.34413723e-02  -6.94569502e-05   3.59176872e+00   6.91400941e+00
 2.40000000e-01  -3.46944695e-18   1.00000000e+00   6.77309207e-02  -1.66219137e-05   3.62581954e+00   6.87478002e+00
 2.50000000e-01  -3.46944695e-18   1.00000000e+00   7.16199881e-02   7.11794109e-05   3.67197388e+00   6.84434722e+00
 2.60000000e-01  -3.46944695e-18   1.00000000e+00   7.49584012e-02   1.46217761e-04   3.70270154e+00   6.82369259e+00
