  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333333e-03   1.00000000e+00   7.78464685e-04   1.14059190e-05   6.82438462e+00  -2.84665134e+00
 2.00000000e-02  -8.33333333e-03   1.00000000e+00   1.83524734e-03   8.20354857e-05   2.56620031e+00   5.68804351e+00
 3.00000000e-02  -8.33333333e-03   1.00000000e+00   3.06400896e-03   1.47608343e-04   2.29670961e+00   3.46113364e+00
 4.00000000e-02  -8.33333333e-03   1.00000000e+00   4.45545909e-03   1.96890268e-04   2.12682539e+00   3.02139434e+00
 5.00000000e-02  -8.33333333e-03   1.00000000e+00   6.05232981e-03   2.24724220e-04   2.01339887e+00   2.82931246e+00
 6.00000000e-02  -8.33333333e-03   1.00000000e+00   7.91813501e-03   2.33788773e-04   1.93169940e+00   2.72282140e+00
 7.00000000e-02  -8.33333333e-03   1.00000000e+00   1.01002250e-02   2.32530145e-04   1.86867617e+00   2.64469964e+00
 8.00000000e-02  -8.33333333e-03   1.00000000e+00   1.26083850e-02   2.31209210e-04   1.81796532e+00   2.57801547e+00
 9.00000000e-02  -8.33333333e-03   1.00000000e+00   1.54146168e-02   2.38603284e-04   1.77665287e+00   2.51686110e+00
 1.00000000e-01  -8.33333333e-03   1.00000000e+00   1.84666519e-02   2.59884466e-04   1.74306056e+00   2.45956234e+00
 1.10000000e-01  -8.33333333e-03   1.00000000e+00   2.17044046e-02   2.96113660e-04   1.71606196e+00   2.40616161e+00
 1.20000000e-01  -8.33333333e-03   1.00000000e+00   2.50723298e-02   3.44882127e-04   1.69463642e+00   2.35679038e+00
 1.30000000e-01  -8.33333333e-03   1.00000000e+00   2.85257151e-02   4.01665150e-04   1.67734544e+00   2.31151003e+00
 1.40000000e-01  -8.33333333e-03   1.00000000e+00   3.20318699e-02   4.61303969e-04   1.66330201e+00   2.26997259e+00
 1.50000000e-01  -8.33333333e-03   1.00000000e+00   3.55681928e-02   5.19298082e-04   1.65190842e+00   2.23170945e+00
 1.60000000e-01  -8.33333333e-03   1.00000000e+00   3.91189970e-02   5.72598276e-04   1.64286665e+00   2.19640055e+00
 1.70000000e-01  -8.33333333e-03   1.00000000e+00   4.26724789e-02   6.19860355e-04   1.63570830e+00   2.16345257e+00
 1.80000000e-01  -8.33333333e-03   1.00000000e+00   4.62187655e-02   6.61229250e-04   1.63020561e+00   2.13251033e+00
 1.90000000e-01  -8.33333333e-03   1.00000000e+00   4.97493131e-02   6.97837704e-04   1.62616253e+00   2.10336483e+00
 2.00000000e-01  -8.33333333e-03   1.00000000e+00   5.32573975e-02   7.31232025e-04   1.62336680e+00   2.07583283e+00
 2.10000000e-01  -8.33333333e-03   1.00000000e+00   5.67391699e-02   7.62883153e-04   1.62161258e+00   2.04982284e+00
 2.20000000e-01  -8.33333333e-03   1.00000000e+00   6.01946067e-02   7.93892235e-04   1.62065900e+00   2.02524966e+00
 2.30000000e-01  -8.33333333e-03   1.00000000e+00   6.36279013e-02   8.24897998e-04   1.62026700e+00   2.00196255e+00
 2.40000000e-01  -8.33333333e-03   1.00000000e+00   6.70470730e-02   8.56149804e-04   1.62019050e+00   1.97984459e+00
 2.50000000e-01  -8.33333333e-03   1.00000000e+00   7.04628778e-02   8.87670817e-04   1.62024910e+00   1.95868318e+00
 2.60000000e-01  -8.33333333e-03   1.00000000e+00   7.38872712e-02   9.19438770e-04   1.62030294e+00   1.93828705e+00
 2.70000000e-01  -8.33333333e-03   1.00000000e+00   7.73317670e-02   9.51521683e-04   1.62030625e+00   1.91841946e+00
 2.80000000e-01  -8.33333333e-03   1.00000000e+00   8.08059778e-02   9.84139291e-04   1.62020254e+00   1.89891323e+00
