  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -2.50000000e-03   1.00000000e+00   7.44974655e-04   2.40499379e-06   5.45575874e+00  -4.85307969e+00
 2.00000000e-02  -2.50000000e-03   1.00000000e+00   1.76777850e-03   7.16905749e-05   4.39147741e+00   1.00411795e+01
 3.00000000e-02  -2.50000000e-03   1.00000000e+00   2.98415749e-03   1.33472938e-04   3.21509446e+00   7.38966882e+00
 4.00000000e-02  -2.50000000e-03   1.00000000e+00   4.37816447e-03   1.82398761e-04   2.87982842e+00   6.47523200e+00
 5.00000000e-02  -2.50000000e-03   1.00000000e+00   5.95048998e-03   2.04031992e-04   2.66590270e+00   5.97910768e+00
 6.00000000e-02  -2.50000000e-03   1.00000000e+00   7.70504685e-03   2.07215612e-04   2.53225741e+00   5.66700210e+00
 7.00000000e-02  -2.50000000e-03   1.00000000e+00   9.64036827e-03   2.01525452e-04   2.45134552e+00   5.43395090e+00
 8.00000000e-02  -2.50000000e-03   1.00000000e+00   1.17453832e-02   1.93054450e-04   2.38493171e+00   5.25480709e+00
 9.00000000e-02  -2.50000000e-03   1.00000000e+00   1.40007981e-02   1.85657520e-04   2.34800657e+00   5.12961105e+00
 1.00000000e-01  -2.50000000e-03   1.00000000e+00   1.63833690e-02   1.81199079e-04   2.29802894e+00   5.01292909e+00
 1.10000000e-01  -2.50000000e-03   1.00000000e+00   1.88693662e-02   1.80059922e-04   2.26957831e+00   4.92189771e+00
 1.20000000e-01  -2.50000000e-03   1.00000000e+00   2.14376824e-02   1.81815567e-04   2.25822553e+00   4.83010703e+00
 1.30000000e-01  -2.50000000e-03   1.00000000e+00   2.40711670e-02   1.85752613e-04   2.23552264e+00   4.77988598e+00
 1.40000000e-01  -2.50000000e-03   1.00000000e+00   2.67565449e-02   1.91200834e-04   2.22277839e+00   4.71107696e+00
 1.50000000e-01  -2.50000000e-03   1.00000000e+00   2.94837678e-02   1.97606538e-04   2.20461619e+00   4.65810504e+00
 1.60000000e-01  -2.50000000e-03   1.00000000e+00   3.22457988e-02   2.04591014e-04   2.19703943e+00   4.62349890e+00
