  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   7.53192850e-04   8.10601147e-06   1.79709957e+00  -3.30784893e+00
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   1.78234832e-03   7.25948967e-05   1.69968579e+00   3.08027053e+00
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   3.02353922e-03   1.35539080e-04   1.46949248e+00   1.16994237e+00
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   4.49645475e-03   1.86977296e-04   1.25059555e+00   1.00846175e+00
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   6.22374191e-03   2.20442653e-04   1.13627349e+00   9.92512767e-01
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   8.19674211e-03   2.35638358e-04   1.06189809e+00   1.00763426e+00
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   1.03762759e-02   2.38127196e-04   1.00888203e+00   1.01817978e+00
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   1.27071917e-02   2.35205507e-04   9.68685767e-01   1.01989280e+00
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   1.51377514e-02   2.33960263e-04   9.36898402e-01   1.01402891e+00
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   1.76277234e-02   2.39408699e-04   9.10990838e-01   1.00294130e+00
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   2.01478532e-02   2.53625421e-04   8.89607880e-01   9.88830000e-01
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   2.26805912e-02   2.76119995e-04   8.71897678e-01   9.73172290e-01
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   2.52152729e-02   3.04668796e-04   8.56724076e-01   9.56724658e-01
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   2.77465851e-02   3.36355969e-04   8.43430642e-01   9.39923405e-01
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   3.02723327e-02   3.68513936e-04   8.31634590e-01   9.22997932e-01
 1.60000000e-01  -8.33333334e-03   1.00000000e+00   3.27910838e-02   3.99250433e-04   8.21131678e-01   9.06145344e-01
 1.70000000e-01  -8.33333334e-03   1.00000000e+00   3.53012273e-02   4.27633698e-04   8.11624560e-01   8.89323146e-01
 1.80000000e-01  -8.33333334e-03   1.00000000e+00   3.78003534e-02   4.53602248e-04   8.02891639e-01   8.72461114e-01
 1.90000000e-01  -8.33333334e-03   1.00000000e+00   4.02849510e-02   4.77696740e-04   7.94789062e-01   8.55560590e-01
 2.00000000e-01  -8.33333334e-03   1.00000000e+00   4.27502980e-02   5.00733307e-04   7.87218197e-01   8.38616461e-01
 2.10000000e-01  -8.33333334e-03   1.00000000e+00   4.51905243e-02   5.23510267e-04   7.80094729e-01   8.21631574e-01
 2.20000000e-01  -8.33333334e-03   1.00000000e+00   4.75993943e-02   5.46608449e-04   7.73337936e-01   8.04648893e-01
 2.30000000e-01  -8.33333334e-03   1.00000000e+00   4.99692287e-02   5.70319441e-04   7.66920795e-01   7.87700969e-01
 2.40000000e-01  -8.33333334e-03   1.00000000e+00   5.22923347e-02   5.94666156e-04   7.60792386e-01   7.70836438e-01
 2.50000000e-01  -8.33333334e-03   1.00000000e+00   5.45602763e-02   6.19408379e-04   7.54941213e-01   7.54133174e-01
 2.60000000e-01  -8.33333334e-03   1.00000000e+00   5.67651167e-02   6.44203416e-04   7.49353852e-01   7.37676320e-01
 2.70000000e-01  -8.33333334e-03   1.00000000e+00   5.88993205e-02   6.68684714e-04   7.44016084e-01   7.21498237e-01
 2.80000000e-01  -8.33333334e-03   1.00000000e+00   6.09560553e-02   6.92542431e-04   7.38925234e-01   7.05699908e-01
 2.90000000e-01  -8.33333334e-03   1.00000000e+00   6.29292072e-02   7.15553378e-04   7.34069314e-01   6.90335742e-01
 3.00000000e-01  -8.33333334e-03   1.00000000e+00   6.48133888e-02   7.37585422e-04   7.29454725e-01   6.75469360e-01
 3.10000000e-01  -8.33333334e-03   1.00000000e+00   6.66036281e-02   7.58572794e-04   7.25077454e-01   6.61128344e-01
 3.20000000e-01  -8.33333334e-03   1.00000000e+00   6.82960790e-02   7.78515904e-04   7.20928829e-01   6.47370020e-01
 3.30000000e-01  -8.33333334e-03   1.00000000e+00   6.98873897e-02   7.97426845e-04   7.17012221e-01   6.34221162e-01
 3.40000000e-01  -8.33333334e-03   1.00000000e+00   7.13751138e-02   8.15343875e-04   7.13320523e-01   6.21707335e-01
 3.50000000e-01  -8.33333334e-03   1.00000000e+00   7.27565059e-02   8.32245002e-04   7.09858985e-01   6.09831504e-01
 3.60000000e-01  -8.33333334e-03   1.00000000e+00   7.40295209e-02   8.48115745e-04   7.06628829e-01   5.98617929e-01
 3.70000000e-01  -8.33333334e-03   1.00000000e+00   7.51925690e-02   8.62931620e-04   7.03631564e-01   5.88084662e-01
 3.80000000e-01  -8.33333334e-03   1.00000000e+00   7.62444826e-02   8.76670632e-04   7.00856860e-01   5.78208294e-01
 3.90000000e-01  -8.33333334e-03   1.00000000e+00   7.71842064e-02   8.89284412e-04   6.98311869e-01   5.68990694e-01
 4.00000000e-01  -8.33333334e-03   1.00000000e+00   7.80111304e-02   9.00741748e-04   6.95995494e-01   5.60436691e-01
 4.10000000e-01  -8.33333334e-03   1.00000000e+00   7.87250266e-02   9.11028463e-04   6.93902699e-01   5.52535878e-01
 4.20000000e-01  -8.33333334e-03   1.00000000e+00   7.93261374e-02   9.20127301e-04   6.92029464e-01   5.45279226e-01
 4.30000000e-01  -8.33333334e-03   1.00000000e+00   7.98146251e-02   9.28030289e-04   6.90387763e-01   5.38653899e-01
 4.40000000e-01  -8.33333334e-03   1.00000000e+00   8.01910132e-02   9.34744487e-04   6.88966144e-01   5.32652290e-01
 4.50000000e-01  -8.33333334e-03   1.00000000e+00   8.04564966e-02   9.40284189e-04   6.87761044e-01   5.27267236e-01
 4.60000000e-01  -8.33333334e-03   1.00000000e+00   8.06123314e-02   9.44664713e-04   6.88518246e-01   5.21629766e-01
 4.70000000e-01  -8.33333334e-03   1.00000000e+00   8.06598955e-02   9.47880472e-04   6.85685396e-01   5.21560593e-01
 4.80000000e-01  -8.33333334e-03   1.00000000e+00   8.06013127e-02   9.49919462e-04   6.85015931e-01   5.14448377e-01
 4.90000000e-01  -8.33333334e-03   1.00000000e+00   8.04402776e-02   9.50851727e-04   6.84216992e-01   5.09983003e-01
 5.00000000e-01  -8.33333334e-03   1.00000000e+00   8.01777477e-02   9.50631403e-04   6.86327862e-01   5.11140665e-01
 5.10000000e-01  -8.33333334e-03   1.00000000e+00   7.98164519e-02   9.49327788e-04   6.84612493e-01   5.06472809e-01
 5.20000000e-01  -8.33333334e-03   1.00000000e+00   7.93594084e-02   9.46953453e-04   6.85209564e-01   5.05622587e-01
 5.30000000e-01  -8.33333334e-03   1.00000000e+00   7.88100764e-02   9.43526567e-04   6.85632731e-01   5.04566071e-01
 5.40000000e-01  -8.33333334e-03   1.00000000e+00   7.81720550e-02   9.39074317e-04   6.86249390e-01   5.04012598e-01
 5.50000000e-01  -8.33333334e-03   1.00000000e+00   7.74496725e-02   9.33643698e-04   6.87029188e-01   5.03921972e-01
 5.60000000e-01  -8.33333334e-03   1.00000000e+00   7.66469597e-02   9.27266147e-04   6.87975014e-01   5.04263425e-01
 5.70000000e-01  -8.33333334e-03   1.00000000e+00   7.57681204e-02   9.19986197e-04   6.89077739e-01   5.05014133e-01
 5.80000000e-01  -8.33333334e-03   1.00000000e+00   7.48174382e-02   9.11841505e-04   6.90337704e-01   5.06155829e-01
 5.90000000e-01  -8.33333334e-03   1.00000000e+00   7.37994546e-02   9.02882979e-04   6.91738797e-01   5.07668112e-01
 6.00000000e-01  -8.33333334e-03   1.00000000e+00   7.27187542e-02   8.93157178e-04   6.93279134e-01   5.09523634e-01
 6.10000000e-01  -8.33333334e-03   1.00000000e+00   7.15799990e-02   8.82710556e-04   6.94946482e-01   5.11705198e-01
 6.20000000e-01  -8.33333334e-03   1.00000000e+00   7.03879346e-02   8.71589958e-04   6.96735348e-01   5.14191086e-01
 6.30000000e-01  -8.33333334e-03   1.00000000e+00   6.91474321e-02   8.59843152e-04   6.98634305e-01   5.16959372e-01
 6.40000000e-01  -8.33333334e-03   1.00000000e+00   6.78631159e-02   8.47503296e-04   7.00645505e-01   5.19986567e-01
 6.50000000e-01  -8.33333334e-03   1.00000000e+00   6.65401014e-02   8.34635302e-04   7.02749672e-01   5.23263793e-01
 6.60000000e-01  -8.33333334e-03   1.00000000e+00   6.51833872e-02   8.21290038e-04   7.04939170e-01   5.26758110e-01
 6.70000000e-01  -8.33333334e-03   1.00000000e+00   6.37979531e-02   8.07518228e-04   7.07205857e-01   5.30452470e-01
 6.80000000e-01  -8.33333334e-03   1.00000000e+00   6.23887670e-02   7.93370994e-04   7.09540723e-01   5.34322827e-01
 6.90000000e-01  -8.33333334e-03   1.00000000e+00   6.09610116e-02   7.78906301e-04   7.11933831e-01   5.38348941e-01
 7.00000000e-01  -8.33333334e-03   1.00000000e+00   5.95194885e-02   7.64170527e-04   7.14374539e-01   5.42505405e-01
 7.10000000e-01  -8.33333334e-03   1.00000000e+00   5.80690173e-02   7.49217368e-04   7.16859495e-01   5.46777140e-01
 7.20000000e-01  -8.33333334e-03   1.00000000e+00   5.66140279e-02   7.34079394e-04   7.19378990e-01   5.51140119e-01
 7.30000000e-01  -8.33333334e-03   1.00000000e+00   5.51591322e-02   7.18828202e-04   7.21924817e-01   5.55583266e-01
 7.40000000e-01  -8.33333334e-03   1.00000000e+00   5.37090803e-02   7.03509613e-04   7.24481232e-01   5.60080582e-01
