  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -3.46944695e-18   1.00000000e+00   1.02872007e-05   1.59217888e-05   4.36061168e-04   1.97231314e+01
 2.00000000e-02  -3.46944695e-18   1.00000000e+00   5.55737876e-05   3.90802597e-05   9.59541875e-04   2.31703275e+01
 3.00000000e-02  -3.46944695e-18   1.00000000e+00   1.49436914e-04   6.28586115e-05   1.10443598e-03   2.45622456e+01
 4.00000000e-02  -3.46944695e-18   1.00000000e+00   2.89247004e-04   8.88410242e-05   6.49892737e-05   2.53850049e+01
 5.00000000e-02  -3.46944695e-18   1.00000000e+00   4.75384239e-04   1.11424293e-04  -2.34688945e-03   2.65091169e+01
 6.00000000e-02  -3.46944695e-18   1.00000000e+00   7.05492360e-04   1.27951584e-04  -6.10715660e-03   2.79248083e+01
 7.00000000e-02  -3.46944695e-18   1.00000000e+00   9.73612505e-04   1.28913752e-04  -1.76499942e-02   2.94040901e+01
 8.00000000e-02  -3.46944695e-18   1.00000000e+00   1.28517013e-03   1.13360317e-04  -3.64962207e-02   3.08264757e+01
 9.00000000e-02  -3.46944695e-18   1.00000000e+00   1.66836780e-03   8.91030550e-05  -6.02647442e-02   3.21757186e+01
 1.00000000e-01  -3.46944695e-18   1.00000000e+00   2.17205098e-03   7.12659581e-05  -7.46643306e-02   3.34639568e+01
 1.10000000e-01  -3.46944695e-18   1.00000000e+00   2.83146476e-03   6.64790043e-05  -6.97136034e-02   3.47004072e+01
 1.20000000e-01  -3.46944695e-18   1.00000000e+00   3.64635491e-03   6.97638882e-05  -4.66235536e-02   3.58829165e+01
 1.30000000e-01  -3.46944695e-18   1.00000000e+00   4.60548277e-03   8.17574803e-05  -1.05236899e-02   3.70067442e+01
 1.40000000e-01  -3.46944695e-18   1.00000000e+00   5.71175524e-03   1.08242782e-04   4.13084812e-02   3.80694635e+01
 1.50000000e-01  -3.46944695e-18   1.00000000e+00   6.96672082e-03   1.41012383e-04   1.11735800e-01   3.90791963e+01
 1.60000000e-01  -3.46944695e-18   1.00000000e+00   8.35690077e-03   1.60846425e-04   1.96015732e-01   4.00359216e+01
 1.70000000e-01  -3.46944695e-18   1.00000000e+00   9.87288644e-03   1.62601951e-04   2.91597435e-01   4.09373184e+01
 1.80000000e-01  -3.46944695e-18   1.00000000e+00   1.15127416e-02   1.55670604e-04   4.00992455e-01   4.17853857e+01
 1.90000000e-01  -3.46944695e-18   1.00000000e+00   1.32706471e-02   1.39664589e-04   5.19528879e-01   4.25808348e+01
 2.00000000e-01  -3.46944695e-18   1.00000000e+00   1.51436751e-02   1.17903012e-04   6.48710424e-01   4.33300184e+01
 2.10000000e-01  -3.46944695e-18   1.00000000e+00   1.71368674e-02   9.61282268e-05   7.91363868e-01   4.40293436e+01
 2.20000000e-01  -3.46944695e-18   1.00000000e+00   1.92552324e-02   8.43921358e-05   9.50185018e-01   4.46871405e+01
 2.30000000e-01  -3.46944695e-18   1.00000000e+00   2.15044285e-02   9.08681020e-05   1.13042627e+00   4.53008286e+01
 2.40000000e-01  -3.46944695e-18   1.00000000e+00   2.38772587e-02   1.14491300e-04   1.33165934e+00   4.58858103e+01
