  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   9.92036873e-06   7.23549992e-07  -2.44594545e-02   0.00000000e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   4.61888151e-05   1.88090591e-06  -2.44594545e-02   0.00000000e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.15924642e-04   2.48295464e-06  -2.44594545e-02   0.00000000e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.19322173e-04   2.84670480e-06  -2.44594545e-02   0.00000000e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   3.56139205e-04   3.27682530e-06  -2.44594545e-02   0.00000000e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   5.26179183e-04   3.75571003e-06  -2.44594545e-02   0.00000000e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.29537774e-04   3.78118969e-06  -2.44594545e-02   0.00000000e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   9.67027946e-04   2.94568965e-06  -2.44594545e-02   0.00000000e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.24064975e-03   1.81709799e-06  -2.44594545e-02   0.00000000e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.55302102e-03   1.24493456e-06  -2.44594545e-02   0.00000000e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.90604638e-03   1.33633450e-06  -2.44594545e-02   0.00000000e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.30004088e-03   1.44909724e-06  -2.44594545e-02   0.00000000e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.73430741e-03   1.51675663e-06  -2.44594545e-02   0.00000000e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   3.20795844e-03   2.15470143e-06  -2.44594545e-02   0.00000000e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.71971314e-03   3.31265283e-06  -2.44594545e-02   0.00000000e+00
