  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333333e-03   1.00000000e+00   3.54228249e-05   1.64847588e-06   9.76530955e-01   0.00000000e+00
 2.00000000e-02  -8.33333333e-03   1.00000000e+00   1.04744682e-04   3.12681354e-06   9.76530955e-01   0.00000000e+00
 3.00000000e-02  -8.33333333e-03   1.00000000e+00   2.07781405e-04   4.58381672e-06   9.76530955e-01   0.00000000e+00
 4.00000000e-02  -8.33333333e-03   1.00000000e+00   3.44740192e-04   6.12138300e-06   9.76530955e-01   0.00000000e+00
 5.00000000e-02  -8.33333333e-03   1.00000000e+00   5.16192392e-04   7.77236522e-06   9.76530955e-01   0.00000000e+00
 6.00000000e-02  -8.33333333e-03   1.00000000e+00   7.23008001e-04   9.58951412e-06   9.76530955e-01   0.00000000e+00
 7.00000000e-02  -8.33333333e-03   1.00000000e+00   9.66165556e-04   1.16784334e-05   9.76530955e-01   0.00000000e+00
 8.00000000e-02  -8.33333333e-03   1.00000000e+00   1.24651715e-03   1.41742124e-05   9.76530955e-01   0.00000000e+00
 9.00000000e-02  -8.33333333e-03   1.00000000e+00   1.56459789e-03   1.71984864e-05   9.76530955e-01   0.00000000e+00
 1.00000000e-01  -8.33333333e-03   1.00000000e+00   1.92052596e-03   2.08286499e-05   9.76530955e-01   0.00000000e+00
 1.10000000e-01  -8.33333333e-03   1.00000000e+00   2.31399180e-03   2.50889062e-05   9.76530955e-01   0.00000000e+00
 1.20000000e-01  -8.33333333e-03   1.00000000e+00   2.74430793e-03   2.99582261e-05   9.76530955e-01   0.00000000e+00
 1.30000000e-01  -8.33333333e-03   1.00000000e+00   3.21048473e-03   3.53865237e-05   9.76530955e-01   0.00000000e+00
 1.40000000e-01  -8.33333333e-03   1.00000000e+00   3.71130536e-03   4.13118545e-05   9.76530955e-01   0.00000000e+00
 1.50000000e-01  -8.33333333e-03   1.00000000e+00   4.24538454e-03   4.76740411e-05   9.76530955e-01   0.00000000e+00
 1.60000000e-01  -8.33333333e-03   1.00000000e+00   4.81120795e-03   5.44225518e-05   9.76530955e-01   0.00000000e+00
 1.70000000e-01  -8.33333333e-03   1.00000000e+00   5.40715749e-03   6.15185507e-05   9.76530955e-01   0.00000000e+00
 1.80000000e-01  -8.33333333e-03   1.00000000e+00   6.03153091e-03   6.89325833e-05   9.76530955e-01   0.00000000e+00
 1.90000000e-01  -8.33333333e-03   1.00000000e+00   6.68256379e-03   7.66401327e-05   9.76530955e-01   0.00000000e+00
 2.00000000e-01  -8.33333333e-03   1.00000000e+00   7.35845830e-03   8.46172274e-05   9.76530955e-01   0.00000000e+00
 2.10000000e-01  -8.33333333e-03   1.00000000e+00   8.05741869e-03   9.28376230e-05   9.76530955e-01   0.00000000e+00
 2.20000000e-01  -8.33333333e-03   1.00000000e+00   8.77768975e-03   1.01272173e-04   9.76530955e-01   0.00000000e+00
 2.30000000e-01  -8.33333333e-03   1.00000000e+00   9.51759294e-03   1.09890164e-04   9.76530955e-01   0.00000000e+00
 2.40000000e-01  -8.33333333e-03   1.00000000e+00   1.02755546e-02   1.18661853e-04   9.76530955e-01   0.00000000e+00
 2.50000000e-01  -8.33333333e-03   1.00000000e+00   1.10501228e-02   1.27561236e-04   9.76530955e-01   0.00000000e+00
 2.60000000e-01  -8.33333333e-03   1.00000000e+00   1.18399709e-02   1.36568241e-04   9.76530955e-01   0.00000000e+00
 2.70000000e-01  -8.33333333e-03   1.00000000e+00   1.26438890e-02   1.45669807e-04   9.76530955e-01   0.00000000e+00
 2.80000000e-01  -8.33333333e-03   1.00000000e+00   1.34607657e-02   1.54859735e-04   9.76530955e-01   0.00000000e+00
 2.90000000e-01  -8.33333333e-03   1.00000000e+00   1.42895626e-02   1.64137479e-04   9.76530955e-01   0.00000000e+00
 3.00000000e-01  -8.33333333e-03   1.00000000e+00   1.51292858e-02   1.73506271e-04   9.76530955e-01   0.00000000e+00
 3.10000000e-01  -8.33333333e-03   1.00000000e+00   1.59789560e-02   1.82970998e-04   9.76530955e-01   0.00000000e+00
 3.20000000e-01  -8.33333333e-03   1.00000000e+00   1.68375802e-02   1.92536222e-04   9.76530955e-01   0.00000000e+00
 3.30000000e-01  -8.33333333e-03   1.00000000e+00   1.77041262e-02   2.02204576e-04   9.76530955e-01   0.00000000e+00
 3.40000000e-01  -8.33333333e-03   1.00000000e+00   1.85775004e-02   2.11975645e-04   9.76530955e-01   0.00000000e+00
 3.50000000e-01  -8.33333333e-03   1.00000000e+00   1.94565302e-02   2.21845327e-04   9.76530955e-01   0.00000000e+00
 3.60000000e-01  -8.33333333e-03   1.00000000e+00   2.03399520e-02   2.31805560e-04   9.76530955e-01   0.00000000e+00
 3.70000000e-01  -8.33333333e-03   1.00000000e+00   2.12264032e-02   2.41844334e-04   9.76530955e-01   0.00000000e+00
 3.80000000e-01  -8.33333333e-03   1.00000000e+00   2.21144218e-02   2.51945865e-04   9.76530955e-01   0.00000000e+00
 3.90000000e-01  -8.33333333e-03   1.00000000e+00   2.30024501e-02   2.62090879e-04   9.76530955e-01   0.00000000e+00
 4.00000000e-01  -8.33333333e-03   1.00000000e+00   2.38888452e-02   2.72256980e-04   9.76530955e-01   0.00000000e+00
 4.10000000e-01  -8.33333333e-03   1.00000000e+00   2.47718939e-02   2.82419096e-04   9.76530955e-01   0.00000000e+00
 4.20000000e-01  -8.33333333e-03   1.00000000e+00   2.56498313e-02   2.92550024e-04   9.76530955e-01   0.00000000e+00
 4.30000000e-01  -8.33333333e-03   1.00000000e+00   2.65208628e-02   3.02621067e-04   9.76530955e-01   0.00000000e+00
 4.40000000e-01  -8.33333333e-03   1.00000000e+00   2.73831872e-02   3.12602768e-04   9.76530955e-01   0.00000000e+00
 4.50000000e-01  -8.33333333e-03   1.00000000e+00   2.82350204e-02   3.22465686e-04   9.76530955e-01   0.00000000e+00
 4.60000000e-01  -8.33333333e-03   1.00000000e+00   2.90746170e-02   3.32181193e-04   9.76530955e-01   0.00000000e+00
 4.70000000e-01  -8.33333333e-03   1.00000000e+00   2.99002903e-02   3.41722215e-04   9.76530955e-01   0.00000000e+00
 4.80000000e-01  -8.33333333e-03   1.00000000e+00   3.07104292e-02   3.51063868e-04   9.76530955e-01   0.00000000e+00
 4.90000000e-01  -8.33333333e-03   1.00000000e+00   3.15035104e-02   3.60183951e-04   9.76530955e-01   0.00000000e+00
 5.00000000e-01  -8.33333333e-03   1.00000000e+00   3.22781074e-02   3.69063257e-04   9.76530955e-01   0.00000000e+00
 5.10000000e-01  -8.33333333e-03   1.00000000e+00   3.30328943e-02   3.77685698e-04   9.76530955e-01   0.00000000e+00
 5.20000000e-01  -8.33333333e-03   1.00000000e+00   3.37666461e-02   3.86038240e-04   9.76530955e-01   0.00000000e+00
 5.30000000e-01  -8.33333333e-03   1.00000000e+00   3.44782348e-02   3.94110689e-04   9.76530955e-01   0.00000000e+00
 5.40000000e-01  -8.33333333e-03   1.00000000e+00   3.51666221e-02   4.01895328e-04   9.76530955e-01   0.00000000e+00
 5.50000000e-01  -8.33333333e-03   1.00000000e+00   3.58308506e-02   4.09386470e-04   9.76530955e-01   0.00000000e+00
 5.60000000e-01  -8.33333333e-03   1.00000000e+00   3.64700316e-02   4.16579950e-04   9.76530955e-01   0.00000000e+00
 5.70000000e-01  -8.33333333e-03   1.00000000e+00   3.70833335e-02   4.23472584e-04   9.76530955e-01   0.00000000e+00
 5.80000000e-01  -8.33333333e-03   1.00000000e+00   3.76699694e-02   4.30061648e-04   9.76530955e-01   0.00000000e+00
 5.90000000e-01  -8.33333333e-03   1.00000000e+00   3.82291858e-02   4.36344394e-04   9.76530955e-01   0.00000000e+00
 6.00000000e-01  -8.33333333e-03   1.00000000e+00   3.87602524e-02   4.42317619e-04   9.76530955e-01   0.00000000e+00
 6.10000000e-01  -8.33333333e-03   1.00000000e+00   3.92624545e-02   4.47977330e-04   9.76530955e-01   0.00000000e+00
 6.20000000e-01  -8.33333333e-03   1.00000000e+00   3.97350876e-02   4.53318500e-04   9.76530955e-01   0.00000000e+00
 6.30000000e-01  -8.33333333e-03   1.00000000e+00   4.01774548e-02   4.58334930e-04   9.76530955e-01   0.00000000e+00
 6.40000000e-01  -8.33333333e-03   1.00000000e+00   4.05888667e-02   4.63019222e-04   9.76530955e-01   0.00000000e+00
 6.50000000e-01  -8.33333333e-03   1.00000000e+00   4.09686447e-02   4.67362856e-04   9.76530955e-01   0.00000000e+00
 6.60000000e-01  -8.33333333e-03   1.00000000e+00   4.13161262e-02   4.71356370e-04   9.76530955e-01   0.00000000e+00
 6.70000000e-01  -8.33333333e-03   1.00000000e+00   4.16306717e-02   4.74989611e-04   9.76530955e-01   0.00000000e+00
 6.80000000e-01  -8.33333333e-03   1.00000000e+00   4.19116736e-02   4.78252064e-04   9.76530955e-01   0.00000000e+00
 6.90000000e-01  -8.33333333e-03   1.00000000e+00   4.21585665e-02   4.81133211e-04   9.76530955e-01   0.00000000e+00
 7.00000000e-01  -8.33333333e-03   1.00000000e+00   4.23708368e-02   4.83622915e-04   9.76530955e-01   0.00000000e+00
 7.10000000e-01  -8.33333333e-03   1.00000000e+00   4.25480329e-02   4.85711797e-04   9.76530955e-01   0.00000000e+00
 7.20000000e-01  -8.33333333e-03   1.00000000e+00   4.26897744e-02   4.87391584e-04   9.76530955e-01   0.00000000e+00
 7.30000000e-01  -8.33333333e-03   1.00000000e+00   4.27957599e-02   4.88655414e-04   9.76530955e-01   0.00000000e+00
 7.40000000e-01  -8.33333333e-03   1.00000000e+00   4.28657735e-02   4.89498079e-04   9.76530955e-01   0.00000000e+00
 7.50000000e-01  -8.33333333e-03   1.00000000e+00   4.28996889e-02   4.89916197e-04   9.76530955e-01   0.00000000e+00
 7.60000000e-01  -8.33333333e-03   1.00000000e+00   4.28974724e-02   4.89908303e-04   9.76530955e-01   0.00000000e+00
 7.70000000e-01  -8.33333333e-03   1.00000000e+00   4.28591825e-02   4.89474869e-04   9.76530955e-01   0.00000000e+00
 7.80000000e-01  -8.33333333e-03   1.00000000e+00   4.27849689e-02   4.88618239e-04   9.76530955e-01   0.00000000e+00
 7.90000000e-01  -8.33333333e-03   1.00000000e+00   4.26750685e-02   4.87342511e-04   9.76530955e-01   0.00000000e+00
 8.00000000e-01  -8.33333333e-03   1.00000000e+00   4.25298011e-02   4.85653348e-04   9.76530955e-01   0.00000000e+00
 8.10000000e-01  -8.33333333e-03   1.00000000e+00   4.23495626e-02   4.83557759e-04   9.76530955e-01   0.00000000e+00
 8.20000000e-01  -8.33333333e-03   1.00000000e+00   4.21348190e-02   4.81063846e-04   9.76530955e-01   0.00000000e+00
 8.30000000e-01  -8.33333333e-03   1.00000000e+00   4.18860982e-02   4.78180540e-04   9.76530955e-01   0.00000000e+00
 8.40000000e-01  -8.33333333e-03   1.00000000e+00   4.16039838e-02   4.74917348e-04   9.76530955e-01   0.00000000e+00
 8.50000000e-01  -8.33333333e-03   1.00000000e+00   4.12891075e-02   4.71284105e-04   9.76530955e-01   0.00000000e+00
 8.60000000e-01  -8.33333333e-03   1.00000000e+00   4.09421436e-02   4.67290769e-04   9.76530955e-01   0.00000000e+00
