  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.18340322e-03  -2.83026512e-04   3.62562047e+01  -2.95441422e+02
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.62173506e-03   1.64186978e-04   1.69192146e+01   1.31568868e+02
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.69792671e-03   2.77767796e-05   8.51833196e+00   2.23684817e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   4.22922493e-03   6.17503893e-05   1.25432370e+01   1.52952657e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   5.82149139e-03   1.06468020e-04   9.31128195e+00   1.70799919e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   7.43869910e-03   1.83630566e-04   1.05479735e+01   1.62831147e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   9.48799136e-03   2.11808480e-04   8.54968446e+00   1.54342986e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.15091804e-02   2.71862388e-04   9.67545234e+00   1.53474763e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.39152075e-02   2.39301449e-04   8.19658924e+00   1.45820445e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.66548313e-02   2.55800233e-04   9.04807322e+00   1.46530687e+01
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.94392098e-02   1.58644792e-04   8.02617801e+00   1.39819960e+01
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.29906153e-02   1.51047994e-04   8.62960905e+00   1.40635057e+01
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.62608468e-02   3.01508011e-05   7.92420658e+00   1.35760585e+01
 1.40000000e-01   0.00000000e+00   1.00000000e+00   3.03148777e-02   4.03615633e-05   8.44184974e+00   1.35961325e+01
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.41148732e-02  -5.31263432e-05   7.82426575e+00   1.32898011e+01
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.81706675e-02   4.18938008e-06   8.45172708e+00   1.32773870e+01
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.23252918e-02  -3.35103526e-05   7.73613432e+00   1.30614365e+01
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.60561569e-02   6.36794395e-05   8.52758644e+00   1.30954561e+01
 1.90000000e-01   0.00000000e+00   1.00000000e+00   5.02194288e-02   7.28454459e-05   7.71045590e+00   1.28584799e+01
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.36467948e-02   1.66839856e-04   8.52651081e+00   1.29868336e+01
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.75516998e-02   1.86460587e-04   7.76505344e+00   1.26757572e+01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   6.09136129e-02   2.24078332e-04   8.40649950e+00   1.28776548e+01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.45595252e-02   2.19971769e-04   7.85960411e+00   1.25129099e+01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.80634064e-02   1.74740242e-04   8.23704688e+00   1.27276024e+01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.16227526e-02   1.46737910e-04   7.94462035e+00   1.23655007e+01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.53192980e-02   4.30397755e-05   8.10516893e+00   1.25384519e+01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.88761731e-02   3.09738495e-05   8.01634821e+00   1.22310140e+01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.26951728e-02  -7.20643007e-05   8.03047326e+00   1.23399789e+01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.61480149e-02  -2.28502228e-05   8.09434530e+00   1.21122880e+01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.99807630e-02  -7.96538277e-05   7.98502433e+00   1.21645536e+01
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.32334255e-02   3.64387066e-05   8.15640383e+00   1.20075967e+01
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.69837884e-02   2.07940315e-05   7.95685439e+00   1.20308333e+01
 3.30000000e-01   0.00000000e+00   1.00000000e+00   1.00179624e-01   1.58448377e-04   8.13782474e+00   1.18973394e+01
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.03802889e-01   1.38619352e-04   7.96952460e+00   1.19414906e+01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.07280284e-01   2.37334207e-04   8.00807788e+00   1.17623521e+01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.10838114e-01   1.74227657e-04   8.03091406e+00   1.18773256e+01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.14825709e-01   2.06915289e-04   7.83421652e+00   1.16142810e+01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.18495049e-01   1.03655367e-04   8.09406232e+00   1.17991349e+01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.22883211e-01   9.30999025e-05   7.74114344e+00   1.14974979e+01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.26839646e-01  -1.05590569e-05   8.10004567e+00   1.16776895e+01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.31272053e-01  -1.47510590e-05   7.79776530e+00   1.14508562e+01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.35501154e-01  -7.54834777e-05   8.04785444e+00   1.15245761e+01
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.39656703e-01  -3.84338991e-05   7.95490887e+00   1.14660264e+01
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.43883738e-01  -4.05019203e-05   8.00118328e+00   1.13931178e+01
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.47641964e-01   3.33401396e-05   8.09715542e+00   1.14820068e+01
 4.60000000e-01   0.00000000e+00   1.00000000e+00   1.51500345e-01   6.96542027e-05   8.01277316e+00   1.13370644e+01
 4.70000000e-01   0.00000000e+00   1.00000000e+00   1.54879864e-01   1.39763200e-04   8.15375142e+00   1.14394443e+01
 4.80000000e-01   0.00000000e+00   1.00000000e+00   1.58188721e-01   1.72014976e-04   8.05945957e+00   1.13568039e+01
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.61222943e-01   1.90920825e-04   8.14658921e+00   1.13336289e+01
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.64088423e-01   1.87951896e-04   8.07931087e+00   1.14004773e+01
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.66794231e-01   1.35585173e-04   8.13934221e+00   1.12089665e+01
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.69422028e-01   1.04780910e-04   8.05954842e+00   1.14184904e+01
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.71822542e-01   8.42582513e-06   8.15952128e+00   1.11114091e+01
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.74247223e-01  -5.99707889e-06   8.05628478e+00   1.14069176e+01
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.76345827e-01  -9.18219493e-05   8.18353102e+00   1.10597761e+01
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.78388897e-01  -4.68617020e-05   8.11789354e+00   1.13919885e+01
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.80120273e-01  -8.41997118e-05   8.18325151e+00   1.10532205e+01
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.81625369e-01   2.22182563e-05   8.20888295e+00   1.13818043e+01
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.82910366e-01   2.46347656e-05   8.16477817e+00   1.10902756e+01
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.83973525e-01   1.42435075e-04   8.24386930e+00   1.13583414e+01
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.84874568e-01   1.41720075e-04   8.14752251e+00   1.11559196e+01
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.85791177e-01   2.09067909e-04   8.19654168e+00   1.13146182e+01
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.86573238e-01   1.73273167e-04   8.13022602e+00   1.12110319e+01
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.87570283e-01   1.62119354e-04   8.13503551e+00   1.12801239e+01
 6.50000000e-01   0.00000000e+00   1.00000000e+00   1.88529788e-01   1.02002231e-04   8.10118606e+00   1.12145544e+01
 6.60000000e-01   0.00000000e+00   1.00000000e+00   1.89589945e-01   3.59216948e-05   8.13927287e+00   1.12851364e+01
 6.70000000e-01   0.00000000e+00   1.00000000e+00   1.90779350e-01  -2.88605303e-06   8.07819271e+00   1.11729246e+01
 6.80000000e-01   0.00000000e+00   1.00000000e+00   1.91731160e-01  -7.37849247e-05   8.20384166e+00   1.13223798e+01
 6.90000000e-01   0.00000000e+00   1.00000000e+00   1.92868865e-01  -4.85711624e-05   8.11050791e+00   1.11436228e+01
 7.00000000e-01   0.00000000e+00   1.00000000e+00   1.93586549e-01  -8.92465784e-05   8.24610041e+00   1.13490370e+01
