  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -3.46944695e-18   1.00000000e+00   3.79197830e-04  -9.85446623e-05   2.60817764e+00  -1.26463100e+01
 2.00000000e-02  -3.46944695e-18   1.00000000e+00   1.41405180e-03  -1.13012971e-04   8.77886000e-01   5.75888019e+00
 3.00000000e-02  -3.46944695e-18   1.00000000e+00   2.70292073e-03   8.48300900e-08   7.13270985e-01   9.25175568e-01
 4.00000000e-02  -3.46944695e-18   1.00000000e+00   4.07476364e-03   7.40766736e-05   7.76338280e-01   7.84502733e-01
 5.00000000e-02  -3.46944695e-18   1.00000000e+00   5.54004899e-03   1.53847705e-04   6.45469536e-01   8.09426924e-01
 6.00000000e-02  -3.46944695e-18   1.00000000e+00   7.00083857e-03   2.64359365e-04   6.70096408e-01   7.66710429e-01
 7.00000000e-02  -3.46944695e-18   1.00000000e+00   8.45956578e-03   3.68695381e-04   5.94762725e-01   7.38313244e-01
 8.00000000e-02  -3.46944695e-18   1.00000000e+00   1.01204570e-02   3.97604866e-04   6.15477345e-01   7.33882562e-01
 9.00000000e-02  -3.46944695e-18   1.00000000e+00   1.24938761e-02   3.00155755e-04   5.50500417e-01   6.98670521e-01
 1.00000000e-01  -3.46944695e-18   1.00000000e+00   1.58557453e-02   9.78707874e-05   5.67212531e-01   7.00332447e-01
 1.10000000e-01  -3.46944695e-18   1.00000000e+00   1.97608753e-02  -3.54207544e-05   5.24079778e-01   6.62153862e-01
 1.20000000e-01  -3.46944695e-18   1.00000000e+00   2.35435040e-02  -6.91697414e-05   5.61577286e-01   6.64231271e-01
 1.30000000e-01  -3.46944695e-18   1.00000000e+00   2.72378727e-02  -7.96455022e-05   5.24835472e-01   6.44902784e-01
 1.40000000e-01  -3.46944695e-18   1.00000000e+00   3.12263041e-02  -1.41618682e-04   5.45505495e-01   6.41471587e-01
 1.50000000e-01  -3.46944695e-18   1.00000000e+00   3.52822776e-02  -2.00545101e-05   5.14877512e-01   6.28860071e-01
 1.60000000e-01  -3.46944695e-18   1.00000000e+00   3.89887606e-02   2.16039895e-04   5.49831813e-01   6.19188740e-01
 1.70000000e-01  -3.46944695e-18   1.00000000e+00   4.25142701e-02   3.25909184e-04   5.18299305e-01   6.29295775e-01
 1.80000000e-01  -3.46944695e-18   1.00000000e+00   4.60142374e-02   2.98466460e-04   5.40822981e-01   6.10896434e-01
 1.90000000e-01  -3.46944695e-18   1.00000000e+00   4.94975871e-02   2.80463935e-04   5.12148627e-01   6.16073324e-01
 2.00000000e-01  -3.46944695e-18   1.00000000e+00   5.31707371e-02   2.31065156e-04   5.31636141e-01   5.98660952e-01
 2.10000000e-01  -3.46944695e-18   1.00000000e+00   5.70897068e-02   9.69752791e-05   5.05463288e-01   6.04892653e-01
 2.20000000e-01  -3.46944695e-18   1.00000000e+00   6.11311441e-02  -3.58788698e-05   5.29156353e-01   5.91930071e-01
 2.30000000e-01  -3.46944695e-18   1.00000000e+00   6.54078123e-02  -1.90885884e-04   5.02623375e-01   5.89863741e-01
 2.40000000e-01  -3.46944695e-18   1.00000000e+00   6.96740546e-02  -1.85074279e-04   5.30414523e-01   5.85348438e-01
 2.50000000e-01  -3.46944695e-18   1.00000000e+00   7.32666617e-02  -2.47004900e-05   5.19817318e-01   5.73173165e-01
 2.60000000e-01  -3.46944695e-18   1.00000000e+00   7.62094670e-02   8.96593540e-05   5.46805823e-01   5.88822897e-01
 2.70000000e-01  -3.46944695e-18   1.00000000e+00   7.90149462e-02   1.07297664e-04   5.16606572e-01   5.68587951e-01
 2.80000000e-01  -3.46944695e-18   1.00000000e+00   8.20349500e-02   2.63759248e-04   5.34361126e-01   5.80461755e-01
 2.90000000e-01  -3.46944695e-18   1.00000000e+00   8.52439409e-02   3.87658889e-04   5.11550780e-01   5.59779710e-01
 3.00000000e-01  -3.46944695e-18   1.00000000e+00   8.83973349e-02   2.89428128e-04   5.34629872e-01   5.82660623e-01
 3.10000000e-01  -3.46944695e-18   1.00000000e+00   9.15995387e-02   1.42308420e-04   5.09922652e-01   5.54340274e-01
 3.20000000e-01  -3.46944695e-18   1.00000000e+00   9.52696204e-02  -3.99046308e-06   5.23215292e-01   5.65983599e-01
 3.30000000e-01  -3.46944695e-18   1.00000000e+00   9.94374391e-02  -8.59731001e-05   4.97917907e-01   5.48726457e-01
 3.40000000e-01  -3.46944695e-18   1.00000000e+00   1.03764983e-01  -1.19707975e-04   5.23454057e-01   5.51391315e-01
 3.50000000e-01  -3.46944695e-18   1.00000000e+00   1.07978048e-01  -1.51180574e-04   5.07646198e-01   5.49717240e-01
 3.60000000e-01  -3.46944695e-18   1.00000000e+00   1.12156377e-01  -1.11567558e-04   5.27348539e-01   5.40998231e-01
 3.70000000e-01  -3.46944695e-18   1.00000000e+00   1.16274179e-01   5.66452536e-05   5.10118075e-01   5.49184017e-01
 3.80000000e-01  -3.46944695e-18   1.00000000e+00   1.19981947e-01   2.61626232e-04   5.35466080e-01   5.33648398e-01
 3.90000000e-01  -3.46944695e-18   1.00000000e+00   1.23451639e-01   3.17409080e-04   5.16972613e-01   5.53351112e-01
 4.00000000e-01  -3.46944695e-18   1.00000000e+00   1.27221485e-01   2.37401394e-04   5.24893828e-01   5.31829353e-01
 4.10000000e-01  -3.46944695e-18   1.00000000e+00   1.31417484e-01   2.20516134e-04   5.04768623e-01   5.43403364e-01
 4.20000000e-01  -3.46944695e-18   1.00000000e+00   1.35984547e-01   2.02209121e-04   5.18467517e-01   5.26578350e-01
 4.30000000e-01  -3.46944695e-18   1.00000000e+00   1.40658414e-01  -2.80070136e-05   5.05249386e-01   5.41074374e-01
