  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333333e-03   1.00000000e+00   1.25623248e-03  -1.74005166e-04  -4.99363358e+01  -1.07922079e+02
 2.00000000e-02  -8.33333333e-03   1.00000000e+00   2.47779516e-03   3.22943638e-06   2.33426330e+01   4.08643033e+01
 3.00000000e-02  -8.33333333e-03   1.00000000e+00   3.81908707e-03   8.70812007e-05   1.64460930e+00   2.89428687e+00
 4.00000000e-02  -8.33333333e-03   1.00000000e+00   5.30599681e-03   1.67550092e-04   2.68562778e+00   2.74509655e+00
 5.00000000e-02  -8.33333333e-03   1.00000000e+00   7.02999503e-03   2.35994218e-04   1.42852220e+00   2.59212499e+00
 6.00000000e-02  -8.33333333e-03   1.00000000e+00   9.05149985e-03   2.79885269e-04   2.21043936e+00   2.76518809e+00
 7.00000000e-02  -8.33333333e-03   1.00000000e+00   1.14243924e-02   3.01821795e-04   1.29896775e+00   2.46856622e+00
 8.00000000e-02  -8.33333333e-03   1.00000000e+00   1.41226907e-02   3.07251107e-04   1.90799157e+00   2.65378834e+00
 9.00000000e-02  -8.33333333e-03   1.00000000e+00   1.71075519e-02   3.09376981e-04   1.25887305e+00   2.39264107e+00
 1.00000000e-01  -8.33333333e-03   1.00000000e+00   2.02995220e-02   3.17495920e-04   1.72192191e+00   2.55779666e+00
 1.10000000e-01  -8.33333333e-03   1.00000000e+00   2.36407506e-02   3.39587435e-04   1.25587572e+00   2.33402135e+00
 1.20000000e-01  -8.33333333e-03   1.00000000e+00   2.70669511e-02   3.76899840e-04   1.59953797e+00   2.48205717e+00
 1.30000000e-01  -8.33333333e-03   1.00000000e+00   3.05457182e-02   4.27849914e-04   1.26591767e+00   2.29066206e+00
 1.40000000e-01  -8.33333333e-03   1.00000000e+00   3.40437760e-02   4.86822224e-04   1.51216035e+00   2.42425276e+00
 1.50000000e-01  -8.33333333e-03   1.00000000e+00   3.75517471e-02   5.48103570e-04   1.27712703e+00   2.25933826e+00
 1.60000000e-01  -8.33333333e-03   1.00000000e+00   4.10538289e-02   6.06050916e-04   1.44453508e+00   2.37897325e+00
