  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   1.40208926e-03   2.53734422e-06   2.03655843e+01  -1.52019984e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.45349475e-03   9.20233909e-05   1.39715029e+01   3.19717634e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.24703330e-03   1.04482015e-04   1.06942440e+01   2.48602021e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.46697953e-03   1.34304742e-04   9.60776112e+00   2.14353558e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.90511286e-03   1.69088331e-04   8.99905239e+00   1.97315646e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   6.47430409e-03   2.01749917e-04   8.56189679e+00   1.87627014e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   8.33249006e-03   2.16279216e-04   8.27742064e+00   1.79543491e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.02949516e-02   2.16118402e-04   8.02360815e+00   1.74675289e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.25459873e-02   1.91362249e-04   7.86152663e+00   1.69478431e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.51072081e-02   1.56690020e-04   7.68828184e+00   1.66323786e+01
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.78076499e-02   1.08175346e-04   7.60668329e+00   1.62718105e+01
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.10632708e-02   6.69144614e-05   7.49082394e+00   1.60247710e+01
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.43090144e-02   2.88172834e-05   7.46996814e+00   1.57822034e+01
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.80939379e-02   1.33737342e-05   7.41486698e+00   1.55751580e+01
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.18823778e-02   1.06923610e-05   7.42459060e+00   1.54187999e+01
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.58586296e-02   3.28258810e-05   7.43762751e+00   1.52547276e+01
 1.70000000e-01   0.00000000e+00   1.00000000e+00   3.99853436e-02   6.30896663e-05   7.44875124e+00   1.51470627e+01
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.38686053e-02   1.05451261e-04   7.51243212e+00   1.50320014e+01
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.80027469e-02   1.41299416e-04   7.51006035e+00   1.49368304e+01
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.17102649e-02   1.70205889e-04   7.58469868e+00   1.48620583e+01
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.56172286e-02   1.80043539e-04   7.57428659e+00   1.47617349e+01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   5.92365978e-02   1.71120631e-04   7.62461755e+00   1.47050124e+01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.29259969e-02   1.44209257e-04   7.62086491e+00   1.46007917e+01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.65805936e-02   1.02203384e-04   7.63984032e+00   1.45422189e+01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.02149769e-02   5.88884435e-05   7.65480401e+00   1.44451104e+01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.39602560e-02   1.57187546e-05   7.65886174e+00   1.43787471e+01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.76275034e-02  -7.55030652e-06   7.69707288e+00   1.43000263e+01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.14329859e-02  -1.85677235e-05   7.69933380e+00   1.42304590e+01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.50506237e-02  -3.11986465e-07   7.75823560e+00   1.41754517e+01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.88353728e-02   2.66189949e-05   7.75465123e+00   1.41100991e+01
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.22976339e-02   7.34862483e-05   7.82250454e+00   1.40740565e+01
 3.20000000e-01   0.00000000e+00   1.00000000e+00   9.59863683e-02   1.11175379e-04   7.80592515e+00   1.40180804e+01
 3.30000000e-01   0.00000000e+00   1.00000000e+00   9.93628848e-02   1.49890032e-04   7.86283353e+00   1.39851560e+01
 3.40000000e-01   0.00000000e+00   1.00000000e+00   1.02947889e-01   1.62204091e-04   7.84342155e+00   1.39455221e+01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   1.06480418e-01   1.63731992e-04   7.87194845e+00   1.38954478e+01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   1.10062176e-01   1.36650632e-04   7.87517071e+00   1.38800635e+01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   1.13950644e-01   1.03511300e-04   7.87555436e+00   1.38052030e+01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   1.17705062e-01   5.59558473e-05   7.91839244e+00   1.38119848e+01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   1.21923810e-01   1.81772448e-05   7.91370778e+00   1.37297354e+01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   1.25978721e-01  -1.50072569e-05   7.98797223e+00   1.37424644e+01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   1.30311803e-01  -2.54320174e-05   8.00924058e+00   1.36857202e+01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   1.34611187e-01  -2.15916340e-05   8.09147155e+00   1.36849257e+01
 4.30000000e-01   0.00000000e+00   1.00000000e+00   1.38829275e-01   4.43144711e-06   8.15222238e+00   1.36768640e+01
 4.40000000e-01   0.00000000e+00   1.00000000e+00   1.43116942e-01   3.91376998e-05   8.22507436e+00   1.36566570e+01
 4.50000000e-01   0.00000000e+00   1.00000000e+00   1.47086922e-01   8.16256342e-05   8.31069795e+00   1.36885625e+01
