  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -3.46944695e-18   1.00000000e+00   2.24204048e-04  -7.87245482e-07   8.78981980e+00  -7.72993176e+00
 2.00000000e-02  -3.46944695e-18   1.00000000e+00   9.37870607e-04   3.36188523e-05   6.94543385e+00   1.60381771e+01
 3.00000000e-02  -3.46944695e-18   1.00000000e+00   2.01226650e-03   9.93710535e-05   5.09136161e+00   1.17159938e+01
 4.00000000e-02  -3.46944695e-18   1.00000000e+00   3.27063230e-03   1.69824730e-04   4.55195075e+00   1.02336572e+01
 5.00000000e-02  -3.46944695e-18   1.00000000e+00   4.65832481e-03   2.30229675e-04   4.24148504e+00   9.45605530e+00
 6.00000000e-02  -3.46944695e-18   1.00000000e+00   6.09829062e-03   2.70122775e-04   4.04010919e+00   8.97405901e+00
 7.00000000e-02  -3.46944695e-18   1.00000000e+00   7.55691996e-03   2.71042148e-04   3.88999835e+00   8.61510263e+00
 8.00000000e-02  -3.46944695e-18   1.00000000e+00   9.14578333e-03   2.21381220e-04   3.76500815e+00   8.35154793e+00
 9.00000000e-02  -3.46944695e-18   1.00000000e+00   1.12212654e-02   1.28543547e-04   3.65285181e+00   8.11847016e+00
 1.00000000e-01  -3.46944695e-18   1.00000000e+00   1.40984253e-02   3.13780167e-05   3.56704747e+00   7.93399189e+00
 1.10000000e-01  -3.46944695e-18   1.00000000e+00   1.76225457e-02  -2.45760721e-05   3.52312131e+00   7.76265440e+00
 1.20000000e-01  -3.46944695e-18   1.00000000e+00   2.13077482e-02  -3.35168234e-05   3.51690613e+00   7.63125749e+00
 1.30000000e-01  -3.46944695e-18   1.00000000e+00   2.49840993e-02  -6.62917486e-06   3.51463248e+00   7.51157295e+00
 1.40000000e-01  -3.46944695e-18   1.00000000e+00   2.88381115e-02   4.72932849e-05   3.51483331e+00   7.42037845e+00
 1.50000000e-01  -3.46944695e-18   1.00000000e+00   3.28069795e-02   1.38121448e-04   3.52529077e+00   7.34009945e+00
 1.60000000e-01  -3.46944695e-18   1.00000000e+00   3.66201391e-02   2.20490486e-04   3.54621597e+00   7.27907787e+00
 1.70000000e-01  -3.46944695e-18   1.00000000e+00   4.03019341e-02   2.47806165e-04   3.55873175e+00   7.23154340e+00
 1.80000000e-01  -3.46944695e-18   1.00000000e+00   4.39588218e-02   2.15687180e-04   3.56067007e+00   7.18282990e+00
 1.90000000e-01  -3.46944695e-18   1.00000000e+00   4.75822678e-02   1.57308351e-04   3.56271143e+00   7.13118581e+00
 2.00000000e-01  -3.46944695e-18   1.00000000e+00   5.12856093e-02   8.13866111e-05   3.56134705e+00   7.06859368e+00
 2.10000000e-01  -3.46944695e-18   1.00000000e+00   5.51698503e-02  -5.71006978e-07   3.56482256e+00   7.01312244e+00
 2.20000000e-01  -3.46944695e-18   1.00000000e+00   5.92046604e-02  -5.78599976e-05   3.57693540e+00   6.95864554e+00
 2.30000000e-01  -3.46944695e-18   1.00000000e+00   6.34378416e-02  -6.93483031e-05   3.59228368e+00   6.91355159e+00
 2.40000000e-01  -3.46944695e-18   1.00000000e+00   6.77271539e-02  -1.65281908e-05   3.62496485e+00   6.87472574e+00
 2.50000000e-01  -3.46944695e-18   1.00000000e+00   7.16159601e-02   7.12352727e-05   3.67066380e+00   6.84421571e+00
 2.60000000e-01  -3.46944695e-18   1.00000000e+00   7.49541206e-02   1.46209572e-04   3.70317594e+00   6.82396013e+00
 2.70000000e-01  -3.46944695e-18   1.00000000e+00   7.79927056e-02   1.94280592e-04   3.70870875e+00   6.79670547e+00
 2.80000000e-01  -3.46944695e-18   1.00000000e+00   8.10536270e-02   2.25624390e-04   3.70026702e+00   6.76794136e+00
 2.90000000e-01  -3.46944695e-18   1.00000000e+00   8.42754250e-02   2.06522061e-04   3.69037117e+00   6.74059427e+00
 3.00000000e-01  -3.46944695e-18   1.00000000e+00   8.75288172e-02   1.27318436e-04   3.68763569e+00   6.71831282e+00
 3.10000000e-01  -3.46944695e-18   1.00000000e+00   9.08010468e-02   3.30479723e-05   3.68307660e+00   6.68017665e+00
 3.20000000e-01  -3.46944695e-18   1.00000000e+00   9.43614724e-02  -3.93896019e-05   3.67050940e+00   6.63960654e+00
 3.30000000e-01  -3.46944695e-18   1.00000000e+00   9.83089964e-02  -6.80190348e-05   3.67147975e+00   6.59917764e+00
 3.40000000e-01  -3.46944695e-18   1.00000000e+00   1.02473821e-01  -5.79020616e-05   3.69085174e+00   6.56995352e+00
 3.50000000e-01  -3.46944695e-18   1.00000000e+00   1.06660985e-01  -1.35119970e-05   3.72179035e+00   6.55016842e+00
 3.60000000e-01  -3.46944695e-18   1.00000000e+00   1.10861220e-01   6.35694797e-05   3.75325792e+00   6.53882969e+00
 3.70000000e-01  -3.46944695e-18   1.00000000e+00   1.15036669e-01   1.54589585e-04   3.78485111e+00   6.53612041e+00
 3.80000000e-01  -3.46944695e-18   1.00000000e+00   1.18940186e-01   2.13046534e-04   3.81987110e+00   6.53155282e+00
 3.90000000e-01  -3.46944695e-18   1.00000000e+00   1.22598658e-01   2.09084510e-04   3.83887124e+00   6.52410443e+00
 4.00000000e-01  -3.46944695e-18   1.00000000e+00   1.26376622e-01   1.57672577e-04   3.84125868e+00   6.50920977e+00
 4.10000000e-01  -3.46944695e-18   1.00000000e+00   1.30483378e-01   9.38756509e-05   3.84374406e+00   6.49166623e+00
 4.20000000e-01  -3.46944695e-18   1.00000000e+00   1.34940593e-01   1.97369918e-05   3.85955350e+00   6.47467281e+00
 4.30000000e-01  -3.46944695e-18   1.00000000e+00   1.39590169e-01  -6.09911110e-05   3.89619727e+00   6.46078460e+00
 4.40000000e-01  -3.46944695e-18   1.00000000e+00   1.44078172e-01  -9.33707078e-05   3.94830446e+00   6.44952336e+00
 4.50000000e-01  -3.46944695e-18   1.00000000e+00   1.48299770e-01  -6.42237646e-05   3.99635182e+00   6.43632362e+00
 4.60000000e-01  -3.46944695e-18   1.00000000e+00   1.52422321e-01   4.70453465e-06   4.03838307e+00   6.43258586e+00
 4.70000000e-01  -3.46944695e-18   1.00000000e+00   1.56407021e-01   8.77475090e-05   4.08689708e+00   6.43233740e+00
 4.80000000e-01  -3.46944695e-18   1.00000000e+00   1.59906790e-01   1.51094838e-04   4.14234577e+00   6.45360344e+00
 4.90000000e-01  -3.46944695e-18   1.00000000e+00   1.62838195e-01   1.89040014e-04   4.18011011e+00   6.46129976e+00
 5.00000000e-01  -3.46944695e-18   1.00000000e+00   1.65450080e-01   1.96541660e-04   4.19343470e+00   6.46571677e+00
 5.10000000e-01  -3.46944695e-18   1.00000000e+00   1.67884049e-01   1.49601696e-04   4.19536763e+00   6.45898390e+00
 5.20000000e-01  -3.46944695e-18   1.00000000e+00   1.70186366e-01   5.44613758e-05   4.19569699e+00   6.45293341e+00
