  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.72097533e-14   1.00000000e+00   2.23113560e-04  -1.99790954e-07   8.82492998e+00  -7.73339876e+00
 2.00000000e-02  -8.72097533e-14   1.00000000e+00   9.37012575e-04   3.22008526e-05   6.96347721e+00   1.60501944e+01
 3.00000000e-02  -8.72097533e-14   1.00000000e+00   2.01164920e-03   9.84038857e-05   5.10772344e+00   1.17097695e+01
 4.00000000e-02  -8.72097533e-14   1.00000000e+00   3.27002332e-03   1.68846779e-04   4.56347827e+00   1.02358996e+01
 5.00000000e-02  -8.72097533e-14   1.00000000e+00   4.65736803e-03   2.29403947e-04   4.25162854e+00   9.45928141e+00
 6.00000000e-02  -8.72097533e-14   1.00000000e+00   6.09639556e-03   2.69201243e-04   4.04992886e+00   8.97417013e+00
 7.00000000e-02  -8.72097533e-14   1.00000000e+00   7.55340710e-03   2.70118405e-04   3.89945756e+00   8.61833584e+00
 8.00000000e-02  -8.72097533e-14   1.00000000e+00   9.14355541e-03   2.20368922e-04   3.77285276e+00   8.35147891e+00
 9.00000000e-02  -8.72097533e-14   1.00000000e+00   1.12275551e-02   1.27440963e-04   3.66119969e+00   8.12143038e+00
 1.00000000e-01  -8.72097533e-14   1.00000000e+00   1.41177882e-02   3.05142880e-05   3.57467458e+00   7.93463584e+00
 1.10000000e-01  -8.72097533e-14   1.00000000e+00   1.76470507e-02  -2.55170748e-05   3.53188377e+00   7.76695937e+00
 1.20000000e-01  -8.72097533e-14   1.00000000e+00   2.13272088e-02  -3.40382337e-05   3.52414582e+00   7.63160189e+00
 1.30000000e-01  -8.72097533e-14   1.00000000e+00   2.50025411e-02  -7.33267968e-06   3.52362869e+00   7.51501832e+00
 1.40000000e-01  -8.72097533e-14   1.00000000e+00   2.88611526e-02   4.71043407e-05   3.52262791e+00   7.42081613e+00
 1.50000000e-01  -8.72097533e-14   1.00000000e+00   3.28251804e-02   1.37706329e-04   3.53464347e+00   7.34329164e+00
 1.60000000e-01  -8.72097533e-14   1.00000000e+00   3.66279977e-02   2.20260505e-04   3.55458673e+00   7.28005555e+00
 1.70000000e-01  -8.72097533e-14   1.00000000e+00   4.03070836e-02   2.46995393e-04   3.56606175e+00   7.23451666e+00
 1.80000000e-01  -8.72097533e-14   1.00000000e+00   4.39593803e-02   2.14852047e-04   3.57009539e+00   7.18497973e+00
 1.90000000e-01  -8.72097533e-14   1.00000000e+00   4.75774396e-02   1.56266000e-04   3.57142136e+00   7.13256841e+00
 2.00000000e-01  -8.72097533e-14   1.00000000e+00   5.12844445e-02   8.02290691e-05   3.56939934e+00   7.06977492e+00
 2.10000000e-01  -8.72097533e-14   1.00000000e+00   5.51699332e-02  -1.74753774e-06   3.57271335e+00   7.01427873e+00
 2.20000000e-01  -8.72097533e-14   1.00000000e+00   5.92052660e-02  -5.89214496e-05   3.58300294e+00   6.96067284e+00
 2.30000000e-01  -8.72097533e-14   1.00000000e+00   6.34469432e-02  -6.98514022e-05   3.59992503e+00   6.91478641e+00
 2.40000000e-01  -8.72097533e-14   1.00000000e+00   6.77240716e-02  -1.67259216e-05   3.63422323e+00   6.87720069e+00
 2.50000000e-01  -8.72097533e-14   1.00000000e+00   7.15795042e-02   7.13327248e-05   3.67966442e+00   6.84529068e+00
 2.60000000e-01  -8.72097533e-14   1.00000000e+00   7.48922256e-02   1.46071970e-04   3.71052744e+00   6.82627658e+00
 2.70000000e-01  -8.72097533e-14   1.00000000e+00   7.79215258e-02   1.94236973e-04   3.71517236e+00   6.79710537e+00
 2.80000000e-01  -8.72097533e-14   1.00000000e+00   8.09882710e-02   2.25202266e-04   3.70573401e+00   6.77034862e+00
 2.90000000e-01  -8.72097533e-14   1.00000000e+00   8.42145550e-02   2.05585426e-04   3.69758197e+00   6.74182326e+00
 3.00000000e-01  -8.72097533e-14   1.00000000e+00   8.74562790e-02   1.25746326e-04   3.69545357e+00   6.72062623e+00
 3.10000000e-01  -8.72097533e-14   1.00000000e+00   9.07328376e-02   3.15733512e-05   3.68844536e+00   6.68123790e+00
 3.20000000e-01  -8.72097533e-14   1.00000000e+00   9.43146119e-02  -4.06535525e-05   3.67794198e+00   6.64062242e+00
 3.30000000e-01  -8.72097533e-14   1.00000000e+00   9.82774937e-02  -6.87902309e-05   3.67919764e+00   6.60046967e+00
 3.40000000e-01  -8.72097533e-14   1.00000000e+00   1.02443159e-01  -5.83841286e-05   3.69969294e+00   6.57112878e+00
 3.50000000e-01  -8.72097533e-14   1.00000000e+00   1.06622265e-01  -1.34005830e-05   3.73089491e+00   6.55350977e+00
 3.60000000e-01  -8.72097533e-14   1.00000000e+00   1.10826025e-01   6.40561939e-05   3.76100244e+00   6.54089405e+00
