  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   2.38595207e-04   3.49008844e-07   1.16505298e-01  -2.79266285e+00
 2.00000000e-02   0.00000000e+00   1.00000000e+00   9.49873985e-04   3.21176746e-05   2.10586091e+00   5.27224570e+00
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.01484313e-03   9.69146437e-05   1.14184818e+00   3.27949989e+00
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.27240207e-03   1.67558886e-04   9.61121126e-01   2.83436716e+00
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.65419810e-03   2.27772148e-04   8.81463081e-01   2.59735299e+00
 6.00000000e-02   0.00000000e+00   1.00000000e+00   6.09471685e-03   2.66875883e-04   8.36581854e-01   2.45658016e+00
 7.00000000e-02   0.00000000e+00   1.00000000e+00   7.57014514e-03   2.67819212e-04   8.02591988e-01   2.35628362e+00
 8.00000000e-02   0.00000000e+00   1.00000000e+00   9.19783622e-03   2.20019780e-04   7.74796917e-01   2.28063447e+00
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.12851308e-02   1.31376002e-04   7.51312868e-01   2.21601461e+00
 1.00000000e-01   0.00000000e+00   1.00000000e+00   1.41072413e-02   3.62505682e-05   7.35654074e-01   2.15839232e+00
 1.10000000e-01   0.00000000e+00   1.00000000e+00   1.75748767e-02  -2.44387572e-05   7.31697759e-01   2.10585977e+00
 1.20000000e-01   0.00000000e+00   1.00000000e+00   2.12950211e-02  -3.60091456e-05   7.37589449e-01   2.06053167e+00
 1.30000000e-01   0.00000000e+00   1.00000000e+00   2.50253381e-02  -8.51538154e-06   7.46152665e-01   2.02302658e+00
 1.40000000e-01   0.00000000e+00   1.00000000e+00   2.88345980e-02   4.77909330e-05   7.53530015e-01   1.99158143e+00
 1.50000000e-01   0.00000000e+00   1.00000000e+00   3.27534695e-02   1.28840927e-04   7.62123970e-01   1.96520349e+00
 1.60000000e-01   0.00000000e+00   1.00000000e+00   3.66134524e-02   2.09199691e-04   7.72886456e-01   1.94355199e+00
 1.70000000e-01   0.00000000e+00   1.00000000e+00   4.03190787e-02   2.45878273e-04   7.82416024e-01   1.92626854e+00
 1.80000000e-01   0.00000000e+00   1.00000000e+00   4.39509124e-02   2.22602566e-04   7.88856081e-01   1.91046497e+00
 1.90000000e-01   0.00000000e+00   1.00000000e+00   4.75927120e-02   1.60215756e-04   7.93480616e-01   1.89347210e+00
 2.00000000e-01   0.00000000e+00   1.00000000e+00   5.13024658e-02   8.33712287e-05   7.97415149e-01   1.87500892e+00
 2.10000000e-01   0.00000000e+00   1.00000000e+00   5.51583777e-02   6.29400874e-06   8.01914651e-01   1.85647877e+00
 2.20000000e-01   0.00000000e+00   1.00000000e+00   5.91950602e-02  -5.16967719e-05   8.09029314e-01   1.83913962e+00
 2.30000000e-01   0.00000000e+00   1.00000000e+00   6.33736354e-02  -6.63390410e-05   8.19533980e-01   1.82309824e+00
 2.40000000e-01   0.00000000e+00   1.00000000e+00   6.75633567e-02  -2.60715688e-05   8.33009176e-01   1.80865902e+00
 2.50000000e-01   0.00000000e+00   1.00000000e+00   7.15036985e-02   5.43999198e-05   8.47838623e-01   1.79663238e+00
 2.60000000e-01   0.00000000e+00   1.00000000e+00   7.49758678e-02   1.38626843e-04   8.59612607e-01   1.78771248e+00
 2.70000000e-01   0.00000000e+00   1.00000000e+00   7.80567133e-02   1.95883921e-04   8.64062929e-01   1.78078276e+00
 2.80000000e-01   0.00000000e+00   1.00000000e+00   8.10498583e-02   2.18042373e-04   8.62233708e-01   1.77388015e+00
 2.90000000e-01   0.00000000e+00   1.00000000e+00   8.41809297e-02   2.02220165e-04   8.59230287e-01   1.76627659e+00
 3.00000000e-01   0.00000000e+00   1.00000000e+00   8.74620156e-02   1.42163213e-04   8.58563455e-01   1.75801955e+00
 3.10000000e-01   0.00000000e+00   1.00000000e+00   9.08392812e-02   5.18316082e-05   8.59613160e-01   1.74838181e+00
