  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333333e-03   1.00000000e+00   7.78464678e-04   1.14059183e-05   6.82432137e+00  -2.84665270e+00
 2.00000000e-02  -8.33333333e-03   1.00000000e+00   1.83524733e-03   8.20354858e-05   2.56619869e+00   5.68803225e+00
 3.00000000e-02  -8.33333333e-03   1.00000000e+00   3.06400894e-03   1.47608344e-04   2.29671598e+00   3.46113666e+00
 4.00000000e-02  -8.33333333e-03   1.00000000e+00   4.45545906e-03   1.96890267e-04   2.12683638e+00   3.02139337e+00
 5.00000000e-02  -8.33333333e-03   1.00000000e+00   6.05232976e-03   2.24724225e-04   2.01340685e+00   2.82931316e+00
 6.00000000e-02  -8.33333333e-03   1.00000000e+00   7.91813507e-03   2.33788924e-04   1.93169666e+00   2.72282513e+00
 7.00000000e-02  -8.33333333e-03   1.00000000e+00   1.01002250e-02   2.32530271e-04   1.86867452e+00   2.64469856e+00
 8.00000000e-02  -8.33333333e-03   1.00000000e+00   1.26083849e-02   2.31209308e-04   1.81797201e+00   2.57801971e+00
 9.00000000e-02  -8.33333333e-03   1.00000000e+00   1.54146168e-02   2.38603212e-04   1.77664556e+00   2.51686342e+00
 1.00000000e-01  -8.33333333e-03   1.00000000e+00   1.84666520e-02   2.59884242e-04   1.74305015e+00   2.45956574e+00
 1.10000000e-01  -8.33333333e-03   1.00000000e+00   2.17044049e-02   2.96113270e-04   1.71605858e+00   2.40616088e+00
 1.20000000e-01  -8.33333333e-03   1.00000000e+00   2.50723301e-02   3.44881943e-04   1.69463599e+00   2.35678895e+00
 1.30000000e-01  -8.33333333e-03   1.00000000e+00   2.85257159e-02   4.01665036e-04   1.67734440e+00   2.31151064e+00
 1.40000000e-01  -8.33333333e-03   1.00000000e+00   3.20318709e-02   4.61304059e-04   1.66330251e+00   2.26997385e+00
 1.50000000e-01  -8.33333333e-03   1.00000000e+00   3.55681941e-02   5.19298412e-04   1.65191168e+00   2.23171217e+00
 1.60000000e-01  -8.33333333e-03   1.00000000e+00   3.91189986e-02   5.72598667e-04   1.64287243e+00   2.19639922e+00
 1.70000000e-01  -8.33333333e-03   1.00000000e+00   4.26724806e-02   6.19860517e-04   1.63570962e+00   2.16344954e+00
 1.80000000e-01  -8.33333333e-03   1.00000000e+00   4.62187672e-02   6.61229101e-04   1.63020382e+00   2.13250959e+00
 1.90000000e-01  -8.33333333e-03   1.00000000e+00   4.97493148e-02   6.97837344e-04   1.62616840e+00   2.10335734e+00
 2.00000000e-01  -8.33333333e-03   1.00000000e+00   5.32573993e-02   7.31231694e-04   1.62336657e+00   2.07583332e+00
 2.10000000e-01  -8.33333333e-03   1.00000000e+00   5.67391716e-02   7.62882855e-04   1.62161601e+00   2.04982640e+00
 2.20000000e-01  -8.33333333e-03   1.00000000e+00   6.01946085e-02   7.93892052e-04   1.62065534e+00   2.02524868e+00
 2.30000000e-01  -8.33333333e-03   1.00000000e+00   6.36279031e-02   8.24897963e-04   1.62025457e+00   2.00196516e+00
 2.40000000e-01  -8.33333333e-03   1.00000000e+00   6.70470747e-02   8.56149946e-04   1.62018496e+00   1.97984559e+00
 2.50000000e-01  -8.33333333e-03   1.00000000e+00   7.04628794e-02   8.87671088e-04   1.62024324e+00   1.95868513e+00
 2.60000000e-01  -8.33333333e-03   1.00000000e+00   7.38872728e-02   9.19439096e-04   1.62030347e+00   1.93828853e+00
 2.70000000e-01  -8.33333333e-03   1.00000000e+00   7.73317686e-02   9.51521964e-04   1.62029941e+00   1.91842125e+00
 2.80000000e-01  -8.33333333e-03   1.00000000e+00   8.08059795e-02   9.84139492e-04   1.62020037e+00   1.89891550e+00
 2.90000000e-01  -8.33333333e-03   1.00000000e+00   8.43165334e-02   1.01764774e-03   1.62002743e+00   1.87962744e+00
 3.00000000e-01  -8.33333333e-03   1.00000000e+00   8.78664315e-02   1.05246765e-03   1.61982350e+00   1.86049098e+00
 3.10000000e-01  -8.33333333e-03   1.00000000e+00   9.14548262e-02   1.08899526e-03   1.61964676e+00   1.84142716e+00
 3.20000000e-01  -8.33333333e-03   1.00000000e+00   9.50771050e-02   1.12748945e-03   1.61956022e+00   1.82244077e+00
 3.30000000e-01  -8.33333333e-03   1.00000000e+00   9.87251787e-02   1.16802336e-03   1.61965742e+00   1.80355382e+00
 3.40000000e-01  -8.33333333e-03   1.00000000e+00   1.02387977e-01   1.21045533e-03   1.61999171e+00   1.78483346e+00
 3.50000000e-01  -8.33333333e-03   1.00000000e+00   1.06051937e-01   1.25444217e-03   1.62061573e+00   1.76634775e+00
 3.60000000e-01  -8.33333333e-03   1.00000000e+00   1.09701596e-01   1.29948251e-03   1.62157169e+00   1.74811563e+00
 3.70000000e-01  -8.33333333e-03   1.00000000e+00   1.13320196e-01   1.34498219e-03   1.62290589e+00   1.73036755e+00
 3.80000000e-01  -8.33333333e-03   1.00000000e+00   1.16890346e-01   1.39031819e-03   1.62461648e+00   1.71311892e+00
 3.90000000e-01  -8.33333333e-03   1.00000000e+00   1.20394685e-01   1.43489408e-03   1.62667819e+00   1.69646502e+00
 4.00000000e-01  -8.33333333e-03   1.00000000e+00   1.23816549e-01   1.47817900e-03   1.62912923e+00   1.68053653e+00
 4.10000000e-01  -8.33333333e-03   1.00000000e+00   1.27140583e-01   1.51973018e-03   1.63191298e+00   1.66540558e+00
 4.20000000e-01  -8.33333333e-03   1.00000000e+00   1.30353281e-01   1.55920232e-03   1.63499800e+00   1.65111701e+00
 4.30000000e-01  -8.33333333e-03   1.00000000e+00   1.33443398e-01   1.59634480e-03   1.63832410e+00   1.63774770e+00
 4.40000000e-01  -8.33333333e-03   1.00000000e+00   1.36402214e-01   1.63099801e-03   1.64181499e+00   1.62533396e+00
 4.50000000e-01  -8.33333333e-03   1.00000000e+00   1.39223646e-01   1.66308581e-03   1.64542106e+00   1.61388293e+00
 4.60000000e-01  -8.33333333e-03   1.00000000e+00   1.41904182e-01   1.69261607e-03   1.64906619e+00   1.60339616e+00
 4.70000000e-01  -8.33333333e-03   1.00000000e+00   1.44442705e-01   1.71967280e-03   1.65269849e+00   1.59385437e+00
 4.80000000e-01  -8.33333333e-03   1.00000000e+00   1.46840158e-01   1.74438770e-03   1.65628615e+00   1.58521958e+00
 4.90000000e-01  -8.33333333e-03   1.00000000e+00   1.49099133e-01   1.76693907e-03   1.65976253e+00   1.57742961e+00
 5.00000000e-01  -8.33333333e-03   1.00000000e+00   1.51223401e-01   1.78752376e-03   1.66309685e+00   1.57042010e+00
 5.10000000e-01  -8.33333333e-03   1.00000000e+00   1.53217419e-01   1.80640232e-03   1.66630260e+00   1.56410245e+00
 5.20000000e-01  -8.33333333e-03   1.00000000e+00   1.55085848e-01   1.82382025e-03   1.66935895e+00   1.55841513e+00
 5.30000000e-01  -8.33333333e-03   1.00000000e+00   1.56833093e-01   1.84003224e-03   1.67227249e+00   1.55328568e+00
 5.40000000e-01  -8.33333333e-03   1.00000000e+00   1.58462911e-01   1.85527124e-03   1.67504705e+00   1.54864016e+00
 5.50000000e-01  -8.33333333e-03   1.00000000e+00   1.59978082e-01   1.86973414e-03   1.67770561e+00   1.54439741e+00
 5.60000000e-01  -8.33333333e-03   1.00000000e+00   1.61380177e-01   1.88356873e-03   1.68030375e+00   1.54052320e+00
 5.70000000e-01  -8.33333333e-03   1.00000000e+00   1.62669414e-01   1.89686552e-03   1.68283614e+00   1.53698342e+00
 5.80000000e-01  -8.33333333e-03   1.00000000e+00   1.63844618e-01   1.90968054e-03   1.68534761e+00   1.53372429e+00
 5.90000000e-01  -8.33333333e-03   1.00000000e+00   1.64903286e-01   1.92178271e-03   1.68787433e+00   1.53076301e+00
 6.00000000e-01  -8.33333333e-03   1.00000000e+00   1.65841690e-01   1.93311661e-03   1.69043513e+00   1.52808213e+00
 6.10000000e-01  -8.33333333e-03   1.00000000e+00   1.66655177e-01   1.94360328e-03   1.69304611e+00   1.52569028e+00
 6.20000000e-01  -8.33333333e-03   1.00000000e+00   1.67338410e-01   1.95309839e-03   1.69573998e+00   1.52361603e+00
 6.30000000e-01  -8.33333333e-03   1.00000000e+00   1.67885672e-01   1.96141370e-03   1.69851277e+00   1.52188362e+00
