  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -4.16666667e-03   1.00000000e+00   7.36604781e-04   5.04041493e-06   1.21090963e+01  -3.04760298e+00
 2.00000000e-02  -4.16666667e-03   1.00000000e+00   1.71967985e-03   6.84951515e-05   4.09718727e+00   9.90862016e+00
 3.00000000e-02  -4.16666667e-03   1.00000000e+00   2.91566212e-03   1.27219443e-04   3.52250625e+00   7.16395351e+00
 4.00000000e-02  -4.16666667e-03   1.00000000e+00   4.30768092e-03   1.76438710e-04   3.32917573e+00   6.27221562e+00
 5.00000000e-02  -4.16666667e-03   1.00000000e+00   5.90372290e-03   2.06941812e-04   3.17492065e+00   5.79571339e+00
 6.00000000e-02  -4.16666667e-03   1.00000000e+00   7.71275000e-03   2.15766120e-04   3.06439307e+00   5.49221306e+00
 7.00000000e-02  -4.16666667e-03   1.00000000e+00   9.72855879e-03   2.09672004e-04   2.98022104e+00   5.27514330e+00
 8.00000000e-02  -4.16666667e-03   1.00000000e+00   1.19276019e-02   1.96557553e-04   2.91611924e+00   5.10560422e+00
 9.00000000e-02  -4.16666667e-03   1.00000000e+00   1.42776988e-02   1.83799021e-04   2.86583433e+00   4.96937349e+00
 1.00000000e-01  -4.16666667e-03   1.00000000e+00   1.67446835e-02   1.76273104e-04   2.82939474e+00   4.85662066e+00
 1.10000000e-01  -4.16666667e-03   1.00000000e+00   1.92988746e-02   1.75990645e-04   2.79950562e+00   4.76169033e+00
 1.20000000e-01  -4.16666667e-03   1.00000000e+00   2.19158313e-02   1.82608673e-04   2.77788825e+00   4.68096263e+00
 1.30000000e-01  -4.16666667e-03   1.00000000e+00   2.45796075e-02   1.94581399e-04   2.76330686e+00   4.61165112e+00
 1.40000000e-01  -4.16666667e-03   1.00000000e+00   2.72790284e-02   2.09885179e-04   2.74936894e+00   4.55097575e+00
 1.50000000e-01  -4.16666667e-03   1.00000000e+00   3.00052876e-02   2.26633187e-04   2.74196006e+00   4.49679817e+00
 1.60000000e-01  -4.16666667e-03   1.00000000e+00   3.27525863e-02   2.43438535e-04   2.73615584e+00   4.45063881e+00
 1.70000000e-01  -4.16666667e-03   1.00000000e+00   3.55165239e-02   2.59496092e-04   2.73260219e+00   4.40840567e+00
 1.80000000e-01  -4.16666667e-03   1.00000000e+00   3.82935967e-02   2.74525140e-04   2.73292632e+00   4.37062389e+00
 1.90000000e-01  -4.16666667e-03   1.00000000e+00   4.10805240e-02   2.88610204e-04   2.73423538e+00   4.33626298e+00
