  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   7.53192876e-04   8.10601111e-06   1.79711376e+00  -3.30784891e+00
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   1.78234833e-03   7.25948970e-05   1.69968917e+00   3.08026978e+00
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   3.02353922e-03   1.35539080e-04   1.46949486e+00   1.16994190e+00
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   4.49645475e-03   1.86977296e-04   1.25059532e+00   1.00846327e+00
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   6.22374190e-03   2.20442655e-04   1.13627364e+00   9.92514987e-01
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   8.19674210e-03   2.35638365e-04   1.06189858e+00   1.00763433e+00
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   1.03762758e-02   2.38127203e-04   1.00888606e+00   1.01817936e+00
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   1.27071917e-02   2.35205517e-04   9.68685632e-01   1.01989338e+00
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   1.51377514e-02   2.33960281e-04   9.36899981e-01   1.01402937e+00
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   1.76277233e-02   2.39408710e-04   9.10993655e-01   1.00294044e+00
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   2.01478531e-02   2.53625420e-04   8.89613402e-01   9.88830485e-01
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   2.26805912e-02   2.76119983e-04   8.71898254e-01   9.73170026e-01
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   2.52152729e-02   3.04668789e-04   8.56722540e-01   9.56726182e-01
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   2.77465850e-02   3.36355963e-04   8.43431587e-01   9.39923817e-01
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   3.02723327e-02   3.68513940e-04   8.31640061e-01   9.22998176e-01
 1.60000000e-01  -8.33333334e-03   1.00000000e+00   3.27910839e-02   3.99250444e-04   8.21130170e-01   9.06144552e-01
 1.70000000e-01  -8.33333334e-03   1.00000000e+00   3.53012274e-02   4.27633708e-04   8.11623514e-01   8.89323189e-01
 1.80000000e-01  -8.33333334e-03   1.00000000e+00   3.78003535e-02   4.53602260e-04   8.02888939e-01   8.72460599e-01
 1.90000000e-01  -8.33333334e-03   1.00000000e+00   4.02849511e-02   4.77696752e-04   7.94790701e-01   8.55560541e-01
 2.00000000e-01  -8.33333334e-03   1.00000000e+00   4.27502981e-02   5.00733310e-04   7.87218130e-01   8.38616040e-01
 2.10000000e-01  -8.33333334e-03   1.00000000e+00   4.51905245e-02   5.23510264e-04   7.80092658e-01   8.21631159e-01
 2.20000000e-01  -8.33333334e-03   1.00000000e+00   4.75993944e-02   5.46608451e-04   7.73338476e-01   8.04649548e-01
 2.30000000e-01  -8.33333334e-03   1.00000000e+00   4.99692288e-02   5.70319445e-04   7.66919913e-01   7.87701648e-01
 2.40000000e-01  -8.33333334e-03   1.00000000e+00   5.22923349e-02   5.94666166e-04   7.60790867e-01   7.70835128e-01
 2.50000000e-01  -8.33333334e-03   1.00000000e+00   5.45602765e-02   6.19408394e-04   7.54940860e-01   7.54133016e-01
 2.60000000e-01  -8.33333334e-03   1.00000000e+00   5.67651169e-02   6.44203437e-04   7.49356305e-01   7.37676608e-01
