  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   5.43246012e-04   9.00914113e-06   1.79806898e+00  -3.30615804e+00
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   1.55072826e-03   5.79354912e-05   1.69891394e+00   3.08825668e+00
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   2.86216530e-03   1.23567340e-04   1.46537291e+00   1.15804656e+00
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   4.37302982e-03   1.89358369e-04   1.24633436e+00   9.93628638e-01
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   6.02936964e-03   2.40614548e-04   1.13578135e+00   9.79730147e-01
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   7.83028539e-03   2.66393122e-04   1.06710194e+00   1.00091534e+00
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   9.83677715e-03   2.60999367e-04   1.01943001e+00   1.02115041e+00
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   1.21673274e-02   2.29274615e-04   9.81286249e-01   1.03389114e+00
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   1.49595548e-02   1.88389957e-04   9.45947047e-01   1.03609907e+00
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   1.83040999e-02   1.62564284e-04   9.10558207e-01   1.02582988e+00
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   2.21886113e-02   1.72772867e-04   8.75746779e-01   1.00248149e+00
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   2.64902169e-02   2.28035430e-04   8.44041343e-01   9.67902445e-01
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   3.10220422e-02   3.23520087e-04   8.17035978e-01   9.26567669e-01
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   3.56024655e-02   4.44781978e-04   7.95464009e-01   8.83818417e-01
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   4.01059364e-02   5.73745933e-04   7.78664546e-01   8.43921956e-01
 1.60000000e-01  -8.33333334e-03   1.00000000e+00   4.44754710e-02   6.92974461e-04   7.65345578e-01   8.09137595e-01
 1.70000000e-01  -8.33333334e-03   1.00000000e+00   4.87063468e-02   7.88199705e-04   7.54110374e-01   7.79476952e-01
 1.80000000e-01  -8.33333334e-03   1.00000000e+00   5.28224408e-02   8.50660043e-04   7.43924811e-01   7.53643963e-01
 1.90000000e-01  -8.33333334e-03   1.00000000e+00   5.68589351e-02   8.79415975e-04   7.34118841e-01   7.30075812e-01
 2.00000000e-01  -8.33333334e-03   1.00000000e+00   6.08511819e-02   8.82184931e-04   7.24328624e-01   7.07474660e-01
 2.10000000e-01  -8.33333334e-03   1.00000000e+00   6.48241739e-02   8.73283718e-04   7.14438744e-01   6.84795051e-01
 2.20000000e-01  -8.33333334e-03   1.00000000e+00   6.87811153e-02   8.69010768e-04   7.04640819e-01   6.61413960e-01
 2.30000000e-01  -8.33333334e-03   1.00000000e+00   7.26959748e-02   8.82290310e-04   6.95473874e-01   6.37271999e-01
 2.40000000e-01  -8.33333334e-03   1.00000000e+00   7.65163945e-02   9.18698850e-04   6.87648774e-01   6.12991047e-01
 2.50000000e-01  -8.33333334e-03   1.00000000e+00   8.01791854e-02   9.75148645e-04   6.81795735e-01   5.89817678e-01
 2.60000000e-01  -8.33333334e-03   1.00000000e+00   8.36344333e-02   1.04138742e-03   6.78145909e-01   5.69300496e-01
 2.70000000e-01  -8.33333334e-03   1.00000000e+00   8.68691709e-02   1.10373494e-03   6.76359920e-01   5.52705794e-01
 2.80000000e-01  -8.33333334e-03   1.00000000e+00   8.99214781e-02   1.14965395e-03   6.75657584e-01   5.40659013e-01
 2.90000000e-01  -8.33333334e-03   1.00000000e+00   9.28782024e-02   1.17190650e-03   6.74826524e-01   5.32664763e-01
 3.00000000e-01  -8.33333334e-03   1.00000000e+00   9.58560985e-02   1.17080555e-03   6.72647102e-01   5.27198624e-01
 3.10000000e-01  -8.33333334e-03   1.00000000e+00   9.89722223e-02   1.15409002e-03   6.68187855e-01   5.21885646e-01
 3.20000000e-01  -8.33333334e-03   1.00000000e+00   1.02314094e-01   1.13447736e-03   6.61166734e-01   5.14351793e-01
 3.30000000e-01  -8.33333334e-03   1.00000000e+00   1.05919232e-01   1.12596962e-03   6.51955092e-01   5.02757459e-01
 3.40000000e-01  -8.33333334e-03   1.00000000e+00   1.09770774e-01   1.13994818e-03   6.41467624e-01   4.86460063e-01
 3.50000000e-01  -8.33333334e-03   1.00000000e+00   1.13808573e-01   1.18229740e-03   6.30728624e-01   4.65922917e-01
 3.60000000e-01  -8.33333334e-03   1.00000000e+00   1.17950262e-01   1.25212354e-03   6.20577766e-01   4.42462622e-01
