  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   7.78195705e-05   3.12634158e-05  -5.00770179e-04   1.96974137e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   1.29722890e-04   4.31706124e-05  -1.26558324e-03   2.31680961e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   2.23760510e-04   5.62648538e-05  -2.03358497e-03   2.45662111e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   3.63879805e-04   7.33768749e-05  -3.81042045e-03   2.53893928e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   5.58456281e-04   8.92359670e-05  -6.71662108e-03   2.65117331e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   8.08532057e-04   1.05284714e-04  -1.07898287e-02   2.79234109e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   1.11882721e-03   1.13949649e-04  -1.61366204e-02   2.93987082e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.50149135e-03   1.19137521e-04  -2.15731652e-02   3.08151647e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.95945816e-03   1.16152460e-04  -2.63491274e-02   3.21661160e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   2.51432458e-03   1.10805523e-04  -2.82720973e-02   3.34595662e+01
 1.10000000e-01   0.00000000e+00   1.00000000e+00   3.16901443e-03   1.01669549e-04  -2.44788809e-02   3.47059579e+01
 1.20000000e-01   0.00000000e+00   1.00000000e+00   3.94828975e-03   9.39250251e-05  -1.22932347e-02   3.58942164e+01
 1.30000000e-01   0.00000000e+00   1.00000000e+00   4.85451368e-03   8.82911512e-05   1.23161624e-02   3.70248459e+01
 1.40000000e-01   0.00000000e+00   1.00000000e+00   5.90654193e-03   8.70606345e-05   5.17961225e-02   3.80914017e+01
 1.50000000e-01   0.00000000e+00   1.00000000e+00   7.10463158e-03   9.14275530e-05   1.08827025e-01   3.90983759e+01
 1.60000000e-01   0.00000000e+00   1.00000000e+00   8.45298478e-03   9.99720652e-05   1.84597462e-01   4.00471848e+01
 1.70000000e-01   0.00000000e+00   1.00000000e+00   9.95131515e-03   1.13144541e-04   2.78951851e-01   4.09401661e+01
 1.80000000e-01   0.00000000e+00   1.00000000e+00   1.15851581e-02   1.26844039e-04   3.90888249e-01   4.17840011e+01
 1.90000000e-01   0.00000000e+00   1.00000000e+00   1.33583003e-02   1.40567625e-04   5.18392215e-01   4.25763976e+01
 2.00000000e-01   0.00000000e+00   1.00000000e+00   1.52424173e-02   1.50117034e-04   6.58586503e-01   4.33280060e+01
 2.10000000e-01   0.00000000e+00   1.00000000e+00   1.72473157e-02   1.54848905e-04   8.09779207e-01   4.40322057e+01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   1.93438746e-02   1.53399565e-04   9.69201105e-01   4.47009908e+01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   2.15420346e-02   1.45953067e-04   1.13624589e+00   4.53266235e+01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   2.38257672e-02   1.35342752e-04   1.31056759e+00   4.59189749e+01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   2.61941499e-02   1.22308040e-04   1.49120835e+00   4.64737149e+01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   2.86493622e-02   1.12363261e-04   1.68028550e+00   4.69955279e+01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   3.11731749e-02   1.05122305e-04   1.87498839e+00   4.74865244e+01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   3.37795298e-02   1.05384999e-04   2.07717607e+00   4.79446564e+01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   3.64378838e-02   1.10254932e-04   2.28295610e+00   4.83782549e+01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   3.91627957e-02   1.21291164e-04   2.49109593e+00   4.87790437e+01
 3.10000000e-01   0.00000000e+00   1.00000000e+00   4.19251655e-02   1.33950691e-04   2.69931443e+00   4.91584635e+01
 3.20000000e-01   0.00000000e+00   1.00000000e+00   4.47334414e-02   1.46713362e-04   2.90341840e+00   4.95049979e+01
 3.30000000e-01   0.00000000e+00   1.00000000e+00   4.75727534e-02   1.56334014e-04   3.10475216e+00   4.98294424e+01
 3.40000000e-01   0.00000000e+00   1.00000000e+00   5.04459233e-02   1.60246734e-04   3.29918224e+00   5.01205253e+01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   5.33561138e-02   1.59106060e-04   3.49119095e+00   5.03861191e+01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   5.63035637e-02   1.50996311e-04   3.67945276e+00   5.06181152e+01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   5.93040478e-02   1.40563775e-04   3.86912056e+00   5.08206938e+01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   6.23559492e-02   1.26695448e-04   4.06177204e+00   5.09907309e+01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   6.54781653e-02   1.15578925e-04   4.26081981e+00   5.11289823e+01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   6.86661632e-02   1.06131184e-04   4.46892810e+00   5.12376190e+01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   7.19329721e-02   1.02857022e-04   4.68650739e+00   5.13147940e+01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   7.52721043e-02   1.04174088e-04   4.91610255e+00   5.13661213e+01
 4.30000000e-01   0.00000000e+00   1.00000000e+00   7.86844476e-02   1.10746865e-04   5.15478941e+00   5.13888693e+01
 4.40000000e-01   0.00000000e+00   1.00000000e+00   8.21649538e-02   1.20928594e-04   5.40503778e+00   5.13888155e+01
 4.50000000e-01   0.00000000e+00   1.00000000e+00   8.57007530e-02   1.31410494e-04   5.66119757e+00   5.13643744e+01
 4.60000000e-01   0.00000000e+00   1.00000000e+00   8.92901642e-02   1.41795670e-04   5.92539688e+00   5.13184988e+01
 4.70000000e-01   0.00000000e+00   1.00000000e+00   9.29114564e-02   1.46606087e-04   6.19157928e+00   5.12525319e+01
 4.80000000e-01   0.00000000e+00   1.00000000e+00   9.65639432e-02   1.48173220e-04   6.45988746e+00   5.11652982e+01
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.00226497e-01   1.41511410e-04   6.72757625e+00   5.10619517e+01
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.03895059e-01   1.32127955e-04   6.99100293e+00   5.09376165e+01
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.07556200e-01   1.17209475e-04   7.25328715e+00   5.08011822e+01
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.11200857e-01   1.03823976e-04   7.50709952e+00   5.06450801e+01
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.14821440e-01   9.10014194e-05   7.75975137e+00   5.04811906e+01
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.18406552e-01   8.41859948e-05   8.00261731e+00   5.03003445e+01
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.21945884e-01   8.25312992e-05   8.24195082e+00   5.01159056e+01
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.25429441e-01   8.73540696e-05   8.47080165e+00   4.99182244e+01
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.28838855e-01   9.67680965e-05   8.68984893e+00   4.97197981e+01
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.32167770e-01   1.08183083e-04   8.89597676e+00   4.95123025e+01
 5.90000000e-01   0.00000000e+00   1.00000000e+00   1.35394631e-01   1.19360695e-04   9.08433967e+00   4.93042836e+01
 6.00000000e-01   0.00000000e+00   1.00000000e+00   1.38517122e-01   1.26657568e-04   9.25662691e+00   4.90909491e+01
 6.10000000e-01   0.00000000e+00   1.00000000e+00   1.41522095e-01   1.29097058e-04   9.40650459e+00   4.88746937e+01
 6.20000000e-01   0.00000000e+00   1.00000000e+00   1.44410886e-01   1.25292552e-04   9.54008019e+00   4.86558708e+01
 6.30000000e-01   0.00000000e+00   1.00000000e+00   1.47185756e-01   1.16078310e-04   9.65354033e+00   4.84310425e+01
 6.40000000e-01   0.00000000e+00   1.00000000e+00   1.49850431e-01   1.03689962e-04   9.75518397e+00   4.82052629e+01
 6.50000000e-01   0.00000000e+00   1.00000000e+00   1.52418189e-01   8.94472081e-05   9.84474034e+00   4.79723195e+01
 6.60000000e-01   0.00000000e+00   1.00000000e+00   1.54892417e-01   7.80228286e-05   9.92880062e+00   4.77394001e+01
 6.70000000e-01   0.00000000e+00   1.00000000e+00   1.57286237e-01   6.89995490e-05   1.00096459e+01   4.75017618e+01
 6.80000000e-01   0.00000000e+00   1.00000000e+00   1.59599846e-01   6.71460873e-05   1.00883330e+01   4.72647604e+01
 6.90000000e-01   0.00000000e+00   1.00000000e+00   1.61837746e-01   6.90143329e-05   1.01690894e+01   4.70280695e+01
 7.00000000e-01   0.00000000e+00   1.00000000e+00   1.63997099e-01   7.76761815e-05   1.02464137e+01   4.67922104e+01
 7.10000000e-01   0.00000000e+00   1.00000000e+00   1.66072512e-01   8.74495581e-05   1.03265751e+01   4.65619362e+01
 7.20000000e-01   0.00000000e+00   1.00000000e+00   1.68062396e-01   9.94018839e-05   1.04003545e+01   4.63318998e+01
 7.30000000e-01   0.00000000e+00   1.00000000e+00   1.69953987e-01   1.08088933e-04   1.04750542e+01   4.61111460e+01
 7.40000000e-01   0.00000000e+00   1.00000000e+00   1.71752322e-01   1.13464019e-04   1.05426692e+01   4.58897398e+01
 7.50000000e-01   0.00000000e+00   1.00000000e+00   1.73439376e-01   1.13118932e-04   1.06086675e+01   4.56791086e+01
 7.60000000e-01   0.00000000e+00   1.00000000e+00   1.75027259e-01   1.06956532e-04   1.06699129e+01   4.54678112e+01
 7.70000000e-01   0.00000000e+00   1.00000000e+00   1.76495132e-01   9.69706145e-05   1.07273913e+01   4.52671473e+01
 7.80000000e-01   0.00000000e+00   1.00000000e+00   1.77855140e-01   8.32671585e-05   1.07828855e+01   4.50677915e+01
 7.90000000e-01   0.00000000e+00   1.00000000e+00   1.79088285e-01   7.11550736e-05   1.08329253e+01   4.48781684e+01
 8.00000000e-01   0.00000000e+00   1.00000000e+00   1.80196837e-01   6.01226147e-05   1.08810902e+01   4.46933841e+01
 8.10000000e-01   0.00000000e+00   1.00000000e+00   1.81168625e-01   5.56902294e-05   1.09220917e+01   4.45177142e+01
 8.20000000e-01   0.00000000e+00   1.00000000e+00   1.81991764e-01   5.57067786e-05   1.09579576e+01   4.43506217e+01
 8.30000000e-01   0.00000000e+00   1.00000000e+00   1.82661487e-01   6.28008688e-05   1.09840818e+01   4.41923485e+01
 8.40000000e-01   0.00000000e+00   1.00000000e+00   1.83157845e-01   7.33659950e-05   1.09997945e+01   4.40445105e+01
 8.50000000e-01   0.00000000e+00   1.00000000e+00   1.83479571e-01   8.62532702e-05   1.09882087e+01   4.39981138e+01
 8.60000000e-01   0.00000000e+00   1.00000000e+00   1.83607723e-01   9.84877942e-05   1.09681184e+01   4.36918709e+01
 8.70000000e-01   0.00000000e+00   1.00000000e+00   1.83546476e-01   1.05412069e-04   1.09579429e+01   4.36488909e+01
 8.80000000e-01   0.00000000e+00   1.00000000e+00   1.83288057e-01   1.08909090e-04   1.09109549e+01   4.35365491e+01
 8.90000000e-01   0.00000000e+00   1.00000000e+00   1.82830054e-01   1.04063938e-04   1.08460348e+01   4.34302522e+01
 9.00000000e-01   0.00000000e+00   1.00000000e+00   1.82188562e-01   9.63588837e-05   1.07637834e+01   4.33252456e+01
 9.10000000e-01   0.00000000e+00   1.00000000e+00   1.81359595e-01   8.25473969e-05   1.06679098e+01   4.32277692e+01
 9.20000000e-01   0.00000000e+00   1.00000000e+00   1.80366707e-01   7.10077327e-05   1.05586367e+01   4.31297120e+01
 9.30000000e-01   0.00000000e+00   1.00000000e+00   1.79211883e-01   5.88847249e-05   1.04421627e+01   4.30391503e+01
 9.40000000e-01   0.00000000e+00   1.00000000e+00   1.77915482e-01   5.38825295e-05   1.03171952e+01   4.29469361e+01
 9.50000000e-01   0.00000000e+00   1.00000000e+00   1.76482554e-01   5.23792803e-05   1.01904587e+01   4.28630959e+01
 9.60000000e-01   0.00000000e+00   1.00000000e+00   1.74926348e-01   5.85028615e-05   1.00589314e+01   4.27771864e+01
 9.70000000e-01   0.00000000e+00   1.00000000e+00   1.73249707e-01   6.80012413e-05   9.92760842e+00   4.27007218e+01
 9.80000000e-01   0.00000000e+00   1.00000000e+00   1.71460338e-01   8.06656243e-05   9.79237683e+00   4.26215946e+01
 9.90000000e-01   0.00000000e+00   1.00000000e+00   1.69558687e-01   9.30637181e-05   9.65690460e+00   4.25521258e+01
 1.00000000e+00   0.00000000e+00   1.00000000e+00   1.67549161e-01   1.02564487e-04   9.51650722e+00   4.24795636e+01
 1.01000000e+00   0.00000000e+00   1.00000000e+00   1.65434321e-01   1.08115477e-04   9.37536930e+00   4.24153533e+01
 1.02000000e+00   0.00000000e+00   1.00000000e+00   1.63217668e-01   1.07276373e-04   9.22929841e+00   4.23483849e+01
 1.03000000e+00   0.00000000e+00   1.00000000e+00   1.60904847e-01   1.01878806e-04   9.08286306e+00   4.22870970e+01
 1.04000000e+00   0.00000000e+00   1.00000000e+00   1.58501850e-01   9.15231383e-05   8.93452669e+00   4.22246316e+01
 1.05000000e+00   0.00000000e+00   1.00000000e+00   1.56010626e-01   7.96624126e-05   8.78595446e+00   4.21649837e+01
 1.06000000e+00   0.00000000e+00   1.00000000e+00   1.53441844e-01   6.81569462e-05   8.64023689e+00   4.21070242e+01
 1.07000000e+00   0.00000000e+00   1.00000000e+00   1.50785787e-01   5.95518589e-05   8.49251727e+00   4.20498341e+01
 1.08000000e+00   0.00000000e+00   1.00000000e+00   1.48054862e-01   5.66642634e-05   8.34991151e+00   4.19978514e+01
 1.09000000e+00   0.00000000e+00   1.00000000e+00   1.45228864e-01   5.86916305e-05   8.20150122e+00   4.19459192e+01
 1.10000000e+00   0.00000000e+00   1.00000000e+00   1.42314537e-01   6.78112674e-05   8.05464531e+00   4.19020736e+01
 1.11000000e+00   0.00000000e+00   1.00000000e+00   1.39293160e-01   7.91894149e-05   7.89777704e+00   4.18582476e+01
 1.12000000e+00   0.00000000e+00   1.00000000e+00   1.36161257e-01   9.39784112e-05   7.73419711e+00   4.18229063e+01
 1.13000000e+00   0.00000000e+00   1.00000000e+00   1.32913952e-01   1.05321936e-04   7.55829022e+00   4.17877860e+01
 1.14000000e+00   0.00000000e+00   1.00000000e+00   1.29542568e-01   1.14442600e-04   7.36783326e+00   4.17578685e+01
 1.15000000e+00   0.00000000e+00   1.00000000e+00   1.26057275e-01   1.16122409e-04   7.16606397e+00   4.17288379e+01
 1.16000000e+00   0.00000000e+00   1.00000000e+00   1.22455862e-01   1.12832549e-04   6.94710598e+00   4.16990375e+01
 1.17000000e+00   0.00000000e+00   1.00000000e+00   1.18753435e-01   1.03609567e-04   6.72085662e+00   4.16717014e+01
 1.18000000e+00   0.00000000e+00   1.00000000e+00   1.14962022e-01   9.16776434e-05   6.48035053e+00   4.16375254e+01
