  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -3.46944695e-18   1.00000000e+00   1.02872016e-05   1.59217869e-05   3.16778453e-04   1.97228188e+01
 2.00000000e-02  -3.46944695e-18   1.00000000e+00   5.55737955e-05   3.90802687e-05   1.72649426e-04   2.31708139e+01
 3.00000000e-02  -3.46944695e-18   1.00000000e+00   1.49436747e-04   6.28581276e-05   9.29010193e-04   2.45617379e+01
 4.00000000e-02  -3.46944695e-18   1.00000000e+00   2.89246971e-04   8.88403481e-05   4.75039866e-04   2.53843375e+01
 5.00000000e-02  -3.46944695e-18   1.00000000e+00   4.75384061e-04   1.11424012e-04  -1.66486941e-03   2.65094783e+01
 6.00000000e-02  -3.46944695e-18   1.00000000e+00   7.05491951e-04   1.27952004e-04  -6.91520195e-03   2.79249990e+01
 7.00000000e-02  -3.46944695e-18   1.00000000e+00   9.73612132e-04   1.28913620e-04  -1.63560383e-02   2.94041480e+01
 8.00000000e-02  -3.46944695e-18   1.00000000e+00   1.28517096e-03   1.13360282e-04  -3.67005795e-02   3.08264297e+01
 9.00000000e-02  -3.46944695e-18   1.00000000e+00   1.66836888e-03   8.91023766e-05  -6.01277720e-02   3.21759024e+01
 1.00000000e-01  -3.46944695e-18   1.00000000e+00   2.17205019e-03   7.12666968e-05  -7.53121206e-02   3.34645439e+01
 1.10000000e-01  -3.46944695e-18   1.00000000e+00   2.83146560e-03   6.64793448e-05  -7.05053575e-02   3.47006466e+01
 1.20000000e-01  -3.46944695e-18   1.00000000e+00   3.64635928e-03   6.97639037e-05  -4.68508176e-02   3.58820377e+01
 1.30000000e-01  -3.46944695e-18   1.00000000e+00   4.60548900e-03   8.17572539e-05  -1.02451514e-02   3.70067574e+01
 1.40000000e-01  -3.46944695e-18   1.00000000e+00   5.71176104e-03   1.08242197e-04   4.08384086e-02   3.80697705e+01
 1.50000000e-01  -3.46944695e-18   1.00000000e+00   6.96672723e-03   1.41010382e-04   1.11890689e-01   3.90789619e+01
 1.60000000e-01  -3.46944695e-18   1.00000000e+00   8.35690761e-03   1.60844771e-04   1.96082213e-01   4.00358077e+01
 1.70000000e-01  -3.46944695e-18   1.00000000e+00   9.87289264e-03   1.62599792e-04   2.91844273e-01   4.09372747e+01
 1.80000000e-01  -3.46944695e-18   1.00000000e+00   1.15127518e-02   1.55670043e-04   4.00351796e-01   4.17860536e+01
 1.90000000e-01  -3.46944695e-18   1.00000000e+00   1.32706649e-02   1.39665239e-04   5.18928482e-01   4.25805873e+01
 2.00000000e-01  -3.46944695e-18   1.00000000e+00   1.51437029e-02   1.17903957e-04   6.49240825e-01   4.33299444e+01
 2.10000000e-01  -3.46944695e-18   1.00000000e+00   1.71369003e-02   9.61299336e-05   7.91256994e-01   4.40288772e+01
 2.20000000e-01  -3.46944695e-18   1.00000000e+00   1.92552600e-02   8.43935339e-05   9.50225095e-01   4.46871155e+01
 2.30000000e-01  -3.46944695e-18   1.00000000e+00   2.15044430e-02   9.08670044e-05   1.12931161e+00   4.53014354e+01
 2.40000000e-01  -3.46944695e-18   1.00000000e+00   2.38772493e-02   1.14485511e-04   1.33154807e+00   4.58847943e+01
 2.50000000e-01  -3.46944695e-18   1.00000000e+00   2.63392933e-02   1.37406385e-04   1.54535288e+00   4.64410960e+01
 2.60000000e-01  -3.46944695e-18   1.00000000e+00   2.88484834e-02   1.55196178e-04   1.75317773e+00   4.69703740e+01
 2.70000000e-01  -3.46944695e-18   1.00000000e+00   3.13802248e-02   1.73563645e-04   1.95088813e+00   4.74717978e+01
 2.80000000e-01  -3.46944695e-18   1.00000000e+00   3.39355858e-02   1.79331469e-04   2.13606228e+00   4.79476795e+01
 2.90000000e-01  -3.46944695e-18   1.00000000e+00   3.65272212e-02   1.64934950e-04   2.32093887e+00   4.83937179e+01
 3.00000000e-01  -3.46944695e-18   1.00000000e+00   3.91558008e-02   1.38949492e-04   2.50263530e+00   4.88043689e+01
 3.10000000e-01  -3.46944695e-18   1.00000000e+00   4.18175206e-02   1.14892852e-04   2.67707286e+00   4.91821826e+01
 3.20000000e-01  -3.46944695e-18   1.00000000e+00   4.45262578e-02   9.94814270e-05   2.84837886e+00   4.95262897e+01
 3.30000000e-01  -3.46944695e-18   1.00000000e+00   4.73011492e-02   9.50967138e-05   3.02996099e+00   4.98402371e+01
 3.40000000e-01  -3.46944695e-18   1.00000000e+00   5.01479598e-02   9.94619058e-05   3.21774413e+00   5.01228130e+01
 3.50000000e-01  -3.46944695e-18   1.00000000e+00   5.30657039e-02   1.16381646e-04   3.41285256e+00   5.03759425e+01
 3.60000000e-01  -3.46944695e-18   1.00000000e+00   5.60560354e-02   1.44071753e-04   3.61606421e+00   5.06024544e+01
 3.70000000e-01  -3.46944695e-18   1.00000000e+00   5.91145238e-02   1.68591007e-04   3.83021273e+00   5.08027878e+01
 3.80000000e-01  -3.46944695e-18   1.00000000e+00   6.22228954e-02   1.76880640e-04   4.04183414e+00   5.09786845e+01
