  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.72097533e-14   1.00000000e+00   1.02796240e-05   1.39613253e-05   2.02822690e-01   1.97214624e+01
 2.00000000e-02  -8.72097533e-14   1.00000000e+00   5.55755743e-05   3.67406213e-05   2.35592666e-01   2.31678236e+01
 3.00000000e-02  -8.72097533e-14   1.00000000e+00   1.49397585e-04   6.04345544e-05   2.51126136e-01   2.45588994e+01
 4.00000000e-02  -8.72097533e-14   1.00000000e+00   2.89161513e-04   8.62636560e-05   2.62922524e-01   2.53820550e+01
 5.00000000e-02  -8.72097533e-14   1.00000000e+00   4.75354903e-04   1.08818119e-04   2.73807896e-01   2.65060837e+01
 6.00000000e-02  -8.72097533e-14   1.00000000e+00   7.05375512e-04   1.25091145e-04   2.81589694e-01   2.79218689e+01
 7.00000000e-02  -8.72097533e-14   1.00000000e+00   9.73383886e-04   1.25935661e-04   2.81327397e-01   2.94002218e+01
 8.00000000e-02  -8.72097533e-14   1.00000000e+00   1.28486173e-03   1.10110840e-04   2.71965045e-01   3.08229811e+01
 9.00000000e-02  -8.72097533e-14   1.00000000e+00   1.66859209e-03   8.57985672e-05   2.57186898e-01   3.21721930e+01
 1.00000000e-01  -8.72097533e-14   1.00000000e+00   2.17365606e-03   6.77901375e-05   2.51014628e-01   3.34599668e+01
 1.10000000e-01  -8.72097533e-14   1.00000000e+00   2.83465251e-03   6.30008112e-05   2.64227563e-01   3.46962536e+01
 1.20000000e-01  -8.72097533e-14   1.00000000e+00   3.65079003e-03   6.61271011e-05   2.94356421e-01   3.58772672e+01
 1.30000000e-01  -8.72097533e-14   1.00000000e+00   4.61091593e-03   7.81551868e-05   3.36866760e-01   3.70019647e+01
 1.40000000e-01  -8.72097533e-14   1.00000000e+00   5.71851246e-03   1.04525219e-04   3.94723405e-01   3.80631507e+01
 1.50000000e-01  -8.72097533e-14   1.00000000e+00   6.97433309e-03   1.37239127e-04   4.71255232e-01   3.90721746e+01
 1.60000000e-01  -8.72097533e-14   1.00000000e+00   8.36488967e-03   1.56803491e-04   5.60704201e-01   4.00273962e+01
 1.70000000e-01  -8.72097533e-14   1.00000000e+00   9.88113904e-03   1.58421066e-04   6.61121181e-01   4.09287833e+01
 1.80000000e-01  -8.72097533e-14   1.00000000e+00   1.15211676e-02   1.51310221e-04   7.74616303e-01   4.17748460e+01
 1.90000000e-01  -8.72097533e-14   1.00000000e+00   1.32787805e-02   1.35167677e-04   8.98143400e-01   4.25697469e+01
 2.00000000e-01  -8.72097533e-14   1.00000000e+00   1.51516289e-02   1.13324404e-04   1.03149537e+00   4.33165011e+01
 2.10000000e-01  -8.72097533e-14   1.00000000e+00   1.71447523e-02   9.14660513e-05   1.17808701e+00   4.40146689e+01
 2.20000000e-01  -8.72097533e-14   1.00000000e+00   1.92630684e-02   7.98992751e-05   1.33991464e+00   4.46703715e+01
 2.30000000e-01  -8.72097533e-14   1.00000000e+00   2.15126175e-02   8.63637046e-05   1.52303589e+00   4.52835683e+01
 2.40000000e-01  -8.72097533e-14   1.00000000e+00   2.38847367e-02   1.10161626e-04   1.72869261e+00   4.58654965e+01
 2.50000000e-01  -8.72097533e-14   1.00000000e+00   2.63440111e-02   1.32821429e-04   1.94476994e+00   4.64199590e+01
 2.60000000e-01  -8.72097533e-14   1.00000000e+00   2.88485797e-02   1.50704061e-04   2.15541796e+00   4.69475102e+01
 2.70000000e-01  -8.72097533e-14   1.00000000e+00   3.13752995e-02   1.68815156e-04   2.35346590e+00   4.74479806e+01
 2.80000000e-01  -8.72097533e-14   1.00000000e+00   3.39262705e-02   1.74456903e-04   2.54178115e+00   4.79222084e+01
 2.90000000e-01  -8.72097533e-14   1.00000000e+00   3.65141744e-02   1.59739703e-04   2.72886366e+00   4.83668273e+01
 3.00000000e-01  -8.72097533e-14   1.00000000e+00   3.91382016e-02   1.33690574e-04   2.91254566e+00   4.87753646e+01
 3.10000000e-01  -8.72097533e-14   1.00000000e+00   4.17956777e-02   1.09694130e-04   3.08775963e+00   4.91516160e+01
 3.20000000e-01  -8.72097533e-14   1.00000000e+00   4.45015917e-02   9.43103015e-05   3.26217184e+00   4.94943464e+01
 3.30000000e-01  -8.72097533e-14   1.00000000e+00   4.72743125e-02   9.01537251e-05   3.44395424e+00   4.98062393e+01
 3.40000000e-01  -8.72097533e-14   1.00000000e+00   5.01187678e-02   9.44699715e-05   3.63347846e+00   5.00871230e+01
 3.50000000e-01  -8.72097533e-14   1.00000000e+00   5.30342623e-02   1.11753307e-04   3.82949932e+00   5.03384828e+01
 3.60000000e-01  -8.72097533e-14   1.00000000e+00   5.60226307e-02   1.39270604e-04   4.03414110e+00   5.05635590e+01
 3.70000000e-01  -8.72097533e-14   1.00000000e+00   5.90784210e-02   1.63830282e-04   4.24752738e+00   5.07620951e+01
 3.80000000e-01  -8.72097533e-14   1.00000000e+00   6.21822103e-02   1.71624698e-04   4.45922794e+00   5.09366623e+01
 3.90000000e-01  -8.72097533e-14   1.00000000e+00   6.53208330e-02   1.62498572e-04   4.66089473e+00   5.10790064e+01
 4.00000000e-01  -8.72097533e-14   1.00000000e+00   6.85065719e-02   1.49038073e-04   4.85880955e+00   5.11920443e+01
 4.10000000e-01  -8.72097533e-14   1.00000000e+00   7.17665694e-02   1.29175758e-04   5.06487292e+00   5.12719635e+01
 4.20000000e-01  -8.72097533e-14   1.00000000e+00   7.51243185e-02   1.00505018e-04   5.28998663e+00   5.13189270e+01
 4.30000000e-01  -8.72097533e-14   1.00000000e+00   7.85863615e-02   8.11060232e-05   5.53718173e+00   5.13301789e+01
 4.40000000e-01  -8.72097533e-14   1.00000000e+00   8.21388209e-02   7.94179729e-05   5.80167037e+00   5.13157829e+01
 4.50000000e-01  -8.72097533e-14   1.00000000e+00   8.57596608e-02   9.22318669e-05   6.07423369e+00   5.12820707e+01
 4.60000000e-01  -8.72097533e-14   1.00000000e+00   8.94393763e-02   1.14115737e-04   6.35498325e+00   5.12270310e+01
 4.70000000e-01  -8.72097533e-14   1.00000000e+00   9.31692389e-02   1.33971494e-04   6.64872146e+00   5.11576899e+01
 4.80000000e-01  -8.72097533e-14   1.00000000e+00   9.69189709e-02   1.48610490e-04   6.94336100e+00   5.10687652e+01
 4.90000000e-01  -8.72097533e-14   1.00000000e+00   1.00654660e-01   1.59496678e-04   7.22680281e+00   5.09683640e+01
 5.00000000e-01  -8.72097533e-14   1.00000000e+00   1.04360554e-01   1.53606504e-04   7.49897348e+00   5.08540184e+01
 5.10000000e-01  -8.72097533e-14   1.00000000e+00   1.08025075e-01   1.28417151e-04   7.75725966e+00   5.07241944e+01
 5.20000000e-01  -8.72097533e-14   1.00000000e+00   1.11640746e-01   9.92218214e-05   8.00016665e+00   5.05748721e+01
 5.30000000e-01  -8.72097533e-14   1.00000000e+00   1.15208053e-01   8.00574990e-05   8.23117640e+00   5.04115015e+01
 5.40000000e-01  -8.72097533e-14   1.00000000e+00   1.18735725e-01   6.94875494e-05   8.45644683e+00   5.02372853e+01
 5.50000000e-01  -8.72097533e-14   1.00000000e+00   1.22229978e-01   6.60421196e-05   8.68471313e+00   5.00498199e+01
 5.60000000e-01  -8.72097533e-14   1.00000000e+00   1.25670807e-01   7.73833592e-05   8.91045134e+00   4.98547527e+01
 5.70000000e-01  -8.72097533e-14   1.00000000e+00   1.29017956e-01   1.00909044e-04   9.11664101e+00   4.96557446e+01
 5.80000000e-01  -8.72097533e-14   1.00000000e+00   1.32247978e-01   1.26839929e-04   9.29700632e+00   4.94587261e+01
 5.90000000e-01  -8.72097533e-14   1.00000000e+00   1.35360530e-01   1.41732013e-04   9.45568154e+00   4.92585189e+01
 6.00000000e-01  -8.72097533e-14   1.00000000e+00   1.38360003e-01   1.39988238e-04   9.59504421e+00   4.90518215e+01
 6.10000000e-01  -8.72097533e-14   1.00000000e+00   1.41250987e-01   1.27273911e-04   9.71732780e+00   4.88371026e+01
 6.20000000e-01  -8.72097533e-14   1.00000000e+00   1.44037147e-01   1.09104276e-04   9.82402553e+00   4.86151642e+01
 6.30000000e-01  -8.72097533e-14   1.00000000e+00   1.46724840e-01   8.55818650e-05   9.91556196e+00   4.83887056e+01
 6.40000000e-01  -8.72097533e-14   1.00000000e+00   1.49331791e-01   5.90394984e-05   9.99794360e+00   4.81524774e+01
 6.50000000e-01  -8.72097533e-14   1.00000000e+00   1.51883663e-01   4.66699511e-05   1.00829035e+01   4.79089747e+01
 6.60000000e-01  -8.72097533e-14   1.00000000e+00   1.54391744e-01   5.74563943e-05   1.01765205e+01   4.76624148e+01
 6.70000000e-01  -8.72097533e-14   1.00000000e+00   1.56849729e-01   7.53273707e-05   1.02753656e+01   4.74208208e+01
 6.80000000e-01  -8.72097533e-14   1.00000000e+00   1.59248614e-01   9.41062649e-05   1.03769122e+01   4.71787544e+01
 6.90000000e-01  -8.72097533e-14   1.00000000e+00   1.61575751e-01   1.15095226e-04   1.04800756e+01   4.69396007e+01
 7.00000000e-01  -8.72097533e-14   1.00000000e+00   1.63806469e-01   1.28364576e-04   1.05754219e+01   4.67067865e+01
 7.10000000e-01  -8.72097533e-14   1.00000000e+00   1.65923817e-01   1.30238291e-04   1.06555067e+01   4.64770583e+01
 7.20000000e-01  -8.72097533e-14   1.00000000e+00   1.67936950e-01   1.15218455e-04   1.07261526e+01   4.62525606e+01
 7.30000000e-01  -8.72097533e-14   1.00000000e+00   1.69871320e-01   8.62639597e-05   1.08002553e+01   4.60242347e+01
 7.40000000e-01  -8.72097533e-14   1.00000000e+00   1.71731168e-01   6.20477417e-05   1.08825162e+01   4.57986982e+01
 7.50000000e-01  -8.72097533e-14   1.00000000e+00   1.73498476e-01   4.90027199e-05   1.09632935e+01   4.55752855e+01
 7.60000000e-01  -8.72097533e-14   1.00000000e+00   1.75159329e-01   4.33957922e-05   1.10427914e+01   4.53636778e+01
 7.70000000e-01  -8.72097533e-14   1.00000000e+00   1.76705624e-01   4.66524276e-05   1.11198520e+01   4.51579124e+01
 7.80000000e-01  -8.72097533e-14   1.00000000e+00   1.78127234e-01   6.59535490e-05   1.11944075e+01   4.49603853e+01
 7.90000000e-01  -8.72097533e-14   1.00000000e+00   1.79406236e-01   9.51875377e-05   1.12664780e+01   4.47778674e+01
 8.00000000e-01  -8.72097533e-14   1.00000000e+00   1.80511440e-01   1.15812226e-04   1.13244559e+01   4.46080548e+01
 8.10000000e-01  -8.72097533e-14   1.00000000e+00   1.81416516e-01   1.20875460e-04   1.13603234e+01   4.44490995e+01
 8.20000000e-01  -8.72097533e-14   1.00000000e+00   1.82109720e-01   1.14903439e-04   1.13719490e+01   4.42954096e+01
 8.30000000e-01  -8.72097533e-14   1.00000000e+00   1.82588898e-01   1.00643373e-04   1.13582182e+01   4.41498625e+01
 8.40000000e-01  -8.72097533e-14   1.00000000e+00   1.82867355e-01   7.79992437e-05   1.13251714e+01   4.40095006e+01
 8.50000000e-01  -8.72097533e-14   1.00000000e+00   1.82964388e-01   5.37437536e-05   1.13046569e+01   4.39245510e+01
 8.60000000e-01  -8.72097533e-14   1.00000000e+00   1.82897887e-01   3.49861469e-05   1.12119199e+01   4.36995387e+01
 8.70000000e-01  -8.72097533e-14   1.00000000e+00   1.82678724e-01   3.42485220e-05   1.11669940e+01   4.36002994e+01
 8.80000000e-01  -8.72097533e-14   1.00000000e+00   1.82300825e-01   5.34086400e-05   1.11071827e+01   4.34881834e+01
 8.90000000e-01  -8.72097533e-14   1.00000000e+00   1.81743482e-01   7.37421972e-05   1.10318019e+01   4.33790293e+01
 9.00000000e-01  -8.72097533e-14   1.00000000e+00   1.81002660e-01   9.22230502e-05   1.09359596e+01   4.32747641e+01
 9.10000000e-01  -8.72097533e-14   1.00000000e+00   1.80101039e-01   1.12337678e-04   1.08319333e+01   4.31737897e+01
 9.20000000e-01  -8.72097533e-14   1.00000000e+00   1.79051934e-01   1.22975982e-04   1.07243418e+01   4.30811925e+01
 9.30000000e-01  -8.72097533e-14   1.00000000e+00   1.77849843e-01   1.13824959e-04   1.06038926e+01   4.29899142e+01
 9.40000000e-01  -8.72097533e-14   1.00000000e+00   1.76502522e-01   9.06442787e-05   1.04711824e+01   4.28983236e+01
 9.50000000e-01  -8.72097533e-14   1.00000000e+00   1.75033910e-01   6.57282050e-05   1.03330887e+01   4.28055508e+01
 9.60000000e-01  -8.72097533e-14   1.00000000e+00   1.73471779e-01   4.68233774e-05   1.01977031e+01   4.27115094e+01
 9.70000000e-01  -8.72097533e-14   1.00000000e+00   1.71837553e-01   3.85534261e-05   1.00727078e+01   4.26212157e+01
 9.80000000e-01  -8.72097533e-14   1.00000000e+00   1.70138732e-01   3.93386282e-05   9.95850462e+00   4.25322362e+01
 9.90000000e-01  -8.72097533e-14   1.00000000e+00   1.68370701e-01   5.09959028e-05   9.85437319e+00   4.24490956e+01
 1.00000000e+00  -8.72097533e-14   1.00000000e+00   1.66516930e-01   7.83831118e-05   9.75461159e+00   4.23693791e+01
 1.01000000e+00  -8.72097533e-14   1.00000000e+00   1.64553812e-01   1.06326662e-04   9.65210329e+00   4.23014212e+01
 1.02000000e+00  -8.72097533e-14   1.00000000e+00   1.62462279e-01   1.19389398e-04   9.53971270e+00   4.22401230e+01
 1.03000000e+00  -8.72097533e-14   1.00000000e+00   1.60237269e-01   1.17605947e-04   9.41489170e+00   4.21820349e+01
 1.04000000e+00  -8.72097533e-14   1.00000000e+00   1.57887320e-01   1.08095774e-04   9.28113010e+00   4.21254280e+01
 1.05000000e+00  -8.72097533e-14   1.00000000e+00   1.55427504e-01   9.21144481e-05   9.14525330e+00   4.20708063e+01
 1.06000000e+00  -8.72097533e-14   1.00000000e+00   1.52858398e-01   6.55804603e-05   9.00792526e+00   4.20205030e+01
 1.07000000e+00  -8.72097533e-14   1.00000000e+00   1.50167964e-01   4.30143390e-05   8.86018358e+00   4.19667737e+01
 1.08000000e+00  -8.72097533e-14   1.00000000e+00   1.47353915e-01   3.74452783e-05   8.70247770e+00   4.19178135e+01
 1.09000000e+00  -8.72097533e-14   1.00000000e+00   1.44428223e-01   4.64002334e-05   8.54060366e+00   4.18727333e+01
 1.10000000e+00  -8.72097533e-14   1.00000000e+00   1.41396354e-01   6.81100910e-05   8.37816090e+00   4.18340019e+01
 1.11000000e+00  -8.72097533e-14   1.00000000e+00   1.38242236e-01   9.04518584e-05   8.20897140e+00   4.18022122e+01
 1.12000000e+00  -8.72097533e-14   1.00000000e+00   1.34940320e-01   1.08838431e-04   8.01989855e+00   4.17735715e+01
 1.13000000e+00  -8.72097533e-14   1.00000000e+00   1.31485237e-01   1.26567296e-04   7.80859400e+00   4.17484550e+01
 1.14000000e+00  -8.72097533e-14   1.00000000e+00   1.27889393e-01   1.29889941e-04   7.57986114e+00   4.17267221e+01
 1.15000000e+00  -8.72097533e-14   1.00000000e+00   1.24167456e-01   1.10921856e-04   7.33291679e+00   4.17042280e+01
 1.16000000e+00  -8.72097533e-14   1.00000000e+00   1.20345560e-01   8.53379422e-05   7.07229791e+00   4.16725117e+01
 1.17000000e+00  -8.72097533e-14   1.00000000e+00   1.16463491e-01   6.60213688e-05   6.81062295e+00   4.16371312e+01
