  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02   0.00000000e+00   1.00000000e+00   1.16204567e-05   1.67360813e-05  -3.27504653e-04   1.97200932e+01
 2.00000000e-02   0.00000000e+00   1.00000000e+00   5.76168844e-05   3.94596046e-05  -4.36010214e-04   2.31681123e+01
 3.00000000e-02   0.00000000e+00   1.00000000e+00   1.51167136e-04   6.35276458e-05  -7.82978819e-05   2.45598233e+01
 4.00000000e-02   0.00000000e+00   1.00000000e+00   2.91140407e-04   8.89917027e-05  -7.59504238e-04   2.53827780e+01
 5.00000000e-02   0.00000000e+00   1.00000000e+00   4.76984234e-04   1.11685468e-04  -3.00626272e-03   2.65072106e+01
 6.00000000e-02   0.00000000e+00   1.00000000e+00   7.06678520e-04   1.27485909e-04  -7.67159926e-03   2.79224022e+01
 7.00000000e-02   0.00000000e+00   1.00000000e+00   9.76004484e-04   1.29229580e-04  -1.85219229e-02   2.94008788e+01
 8.00000000e-02   0.00000000e+00   1.00000000e+00   1.29087639e-03   1.14839853e-04  -3.72250000e-02   3.08228095e+01
 9.00000000e-02   0.00000000e+00   1.00000000e+00   1.67816386e-03   9.18285249e-05  -5.97221747e-02   3.21723308e+01
 1.00000000e-01   0.00000000e+00   1.00000000e+00   2.18189394e-03   7.31998594e-05  -7.46432551e-02   3.34611195e+01
 1.10000000e-01   0.00000000e+00   1.00000000e+00   2.83753788e-03   6.68997329e-05  -7.09789947e-02   3.46971557e+01
 1.20000000e-01   0.00000000e+00   1.00000000e+00   3.65151064e-03   7.11414827e-05  -4.80260410e-02   3.58788956e+01
 1.30000000e-01   0.00000000e+00   1.00000000e+00   4.61368095e-03   8.40127810e-05  -1.04914149e-02   3.70028695e+01
 1.40000000e-01   0.00000000e+00   1.00000000e+00   5.72046144e-03   1.07750649e-04   4.14328935e-02   3.80669671e+01
 1.50000000e-01   0.00000000e+00   1.00000000e+00   6.97295566e-03   1.38003524e-04   1.10635762e-01   3.90747447e+01
 1.60000000e-01   0.00000000e+00   1.00000000e+00   8.36380195e-03   1.60524042e-04   1.95535882e-01   4.00302236e+01
 1.70000000e-01   0.00000000e+00   1.00000000e+00   9.88162812e-03   1.65686364e-04   2.92189417e-01   4.09324664e+01
 1.80000000e-01   0.00000000e+00   1.00000000e+00   1.15208838e-02   1.57177637e-04   4.00156514e-01   4.17804483e+01
 1.90000000e-01   0.00000000e+00   1.00000000e+00   1.32791375e-02   1.41386553e-04   5.19780999e-01   4.25763636e+01
 2.00000000e-01   0.00000000e+00   1.00000000e+00   1.51541512e-02   1.21035750e-04   6.50303106e-01   4.33235576e+01
 2.10000000e-01   0.00000000e+00   1.00000000e+00   1.71477524e-02   1.00598600e-04   7.93105011e-01   4.40242281e+01
 2.20000000e-01   0.00000000e+00   1.00000000e+00   1.92654190e-02   8.83895252e-05   9.51892894e-01   4.46809181e+01
 2.30000000e-01   0.00000000e+00   1.00000000e+00   2.15099024e-02   9.17451682e-05   1.13019578e+00   4.52977823e+01
 2.40000000e-01   0.00000000e+00   1.00000000e+00   2.38731080e-02   1.10780171e-04   1.32850724e+00   4.58805608e+01
 2.50000000e-01   0.00000000e+00   1.00000000e+00   2.63293948e-02   1.36274470e-04   1.53994815e+00   4.64351389e+01
 2.60000000e-01   0.00000000e+00   1.00000000e+00   2.88413169e-02   1.57701718e-04   1.75098885e+00   4.69639453e+01
 2.70000000e-01   0.00000000e+00   1.00000000e+00   3.13793833e-02   1.71812483e-04   1.95074718e+00   4.74662293e+01
 2.80000000e-01   0.00000000e+00   1.00000000e+00   3.39363894e-02   1.77273695e-04   2.13834630e+00   4.79408483e+01
 2.90000000e-01   0.00000000e+00   1.00000000e+00   3.65217995e-02   1.69001585e-04   2.31985520e+00   4.83861058e+01
 3.00000000e-01   0.00000000e+00   1.00000000e+00   3.91452991e-02   1.46665490e-04   2.49959135e+00   4.87986548e+01
 3.10000000e-01   0.00000000e+00   1.00000000e+00   4.18099194e-02   1.20447783e-04   2.67675169e+00   4.91765482e+01
 3.20000000e-01   0.00000000e+00   1.00000000e+00   4.45203380e-02   1.02151052e-04   2.85131220e+00   4.95210242e+01
 3.30000000e-01   0.00000000e+00   1.00000000e+00   4.72893684e-02   9.63644054e-05   3.02864293e+00   4.98341125e+01
 3.40000000e-01   0.00000000e+00   1.00000000e+00   5.01300032e-02   1.02030359e-04   3.21480636e+00   5.01169440e+01
 3.50000000e-01   0.00000000e+00   1.00000000e+00   5.30457837e-02   1.17381468e-04   3.41069311e+00   5.03704529e+01
 3.60000000e-01   0.00000000e+00   1.00000000e+00   5.60326647e-02   1.40112448e-04   3.61417754e+00   5.05963010e+01
 3.70000000e-01   0.00000000e+00   1.00000000e+00   5.90841887e-02   1.63673654e-04   3.82341564e+00   5.07960083e+01
 3.80000000e-01   0.00000000e+00   1.00000000e+00   6.21910783e-02   1.77600199e-04   4.03501690e+00   5.09695549e+01
 3.90000000e-01   0.00000000e+00   1.00000000e+00   6.53433539e-02   1.75132874e-04   4.24345206e+00   5.11149408e+01
 4.00000000e-01   0.00000000e+00   1.00000000e+00   6.85410364e-02   1.59020772e-04   4.44711854e+00   5.12294508e+01
 4.10000000e-01   0.00000000e+00   1.00000000e+00   7.18011298e-02   1.37082211e-04   4.65344358e+00   5.13113712e+01
 4.20000000e-01   0.00000000e+00   1.00000000e+00   7.51483735e-02   1.14647658e-04   4.87447830e+00   5.13605216e+01
 4.30000000e-01   0.00000000e+00   1.00000000e+00   7.85974689e-02   9.57085322e-05   5.11757505e+00   5.13776771e+01
 4.40000000e-01   0.00000000e+00   1.00000000e+00   8.21438943e-02   8.72239093e-05   5.38136362e+00   5.13658993e+01
 4.50000000e-01   0.00000000e+00   1.00000000e+00   8.57689907e-02   9.46926805e-05   5.65914876e+00   5.13308762e+01
 4.60000000e-01   0.00000000e+00   1.00000000e+00   8.94515127e-02   1.14835540e-04   5.94478889e+00   5.12778697e+01
 4.70000000e-01   0.00000000e+00   1.00000000e+00   9.31740807e-02   1.37821837e-04   6.23551251e+00   5.12088707e+01
 4.80000000e-01   0.00000000e+00   1.00000000e+00   9.69193015e-02   1.55211503e-04   6.52907545e+00   5.11239976e+01
 4.90000000e-01   0.00000000e+00   1.00000000e+00   1.00663542e-01   1.63070340e-04   6.81936848e+00   5.10238650e+01
 5.00000000e-01   0.00000000e+00   1.00000000e+00   1.04380644e-01   1.59611640e-04   7.09799641e+00   5.09095048e+01
 5.10000000e-01   0.00000000e+00   1.00000000e+00   1.08052907e-01   1.43789329e-04   7.36048995e+00   5.07808224e+01
 5.20000000e-01   0.00000000e+00   1.00000000e+00   1.11675090e-01   1.18371201e-04   7.60814235e+00   5.06364976e+01
 5.30000000e-01   0.00000000e+00   1.00000000e+00   1.15248680e-01   9.24554308e-05   7.84444709e+00   5.04760533e+01
 5.40000000e-01   0.00000000e+00   1.00000000e+00   1.18776150e-01   7.65243630e-05   8.07299943e+00   5.03016098e+01
 5.50000000e-01   0.00000000e+00   1.00000000e+00   1.22257813e-01   7.46386850e-05   8.29735199e+00   5.01167025e+01
 5.60000000e-01   0.00000000e+00   1.00000000e+00   1.25686096e-01   8.43244142e-05   8.51821562e+00   4.99241761e+01
 5.70000000e-01   0.00000000e+00   1.00000000e+00   1.29040370e-01   1.02025687e-04   8.72988459e+00   4.97263564e+01
 5.80000000e-01   0.00000000e+00   1.00000000e+00   1.32292523e-01   1.23930141e-04   8.92237853e+00   4.95258025e+01
