  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333333e-03   1.00000000e+00   4.20830328e-05   2.13107702e-05  -6.17478392e+00   1.21082627e+01
 2.00000000e-02  -8.33333333e-03   1.00000000e+00   1.31116615e-04   4.34572032e-05  -9.75917096e+00   1.48381277e+01
 3.00000000e-02  -8.33333333e-03   1.00000000e+00   2.66796346e-04   6.36287877e-05  -1.05319577e+01   1.59062733e+01
 4.00000000e-02  -8.33333333e-03   1.00000000e+00   4.51365448e-04   7.87278052e-05  -1.04571248e+01   1.64507692e+01
 5.00000000e-02  -8.33333333e-03   1.00000000e+00   6.91980609e-04   8.73339409e-05  -1.07103220e+01   1.72202763e+01
 6.00000000e-02  -8.33333333e-03   1.00000000e+00   1.00076709e-03   8.98625575e-05  -1.13058488e+01   1.82267078e+01
 7.00000000e-02  -8.33333333e-03   1.00000000e+00   1.39296568e-03   8.84008578e-05  -1.19714156e+01   1.92843799e+01
 8.00000000e-02  -8.33333333e-03   1.00000000e+00   1.88399037e-03   8.59458640e-05  -1.25745163e+01   2.02966134e+01
 9.00000000e-02  -8.33333333e-03   1.00000000e+00   2.48690813e-03   8.54018247e-05  -1.31149094e+01   2.12576694e+01
 1.00000000e-01  -8.33333333e-03   1.00000000e+00   3.21107825e-03   8.88249845e-05  -1.36220793e+01   2.21839136e+01
 1.10000000e-01  -8.33333333e-03   1.00000000e+00   4.06196779e-03   9.71059815e-05  -1.41091068e+01   2.30823362e+01
 1.20000000e-01  -8.33333333e-03   1.00000000e+00   5.04170943e-03   1.10073854e-04  -1.45744059e+01   2.39511066e+01
 1.30000000e-01  -8.33333333e-03   1.00000000e+00   6.14991056e-03   1.26849911e-04  -1.50135267e+01   2.47869223e+01
 1.40000000e-01  -8.33333333e-03   1.00000000e+00   7.38440702e-03   1.46272247e-04  -1.54246021e+01   2.55886110e+01
 1.50000000e-01  -8.33333333e-03   1.00000000e+00   8.74180758e-03   1.67265726e-04  -1.58077887e+01   2.63566328e+01
 1.60000000e-01  -8.33333333e-03   1.00000000e+00   1.02178108e-02   1.89069292e-04  -1.61640294e+01   2.70923023e+01
 1.70000000e-01  -8.33333333e-03   1.00000000e+00   1.18073615e-02   2.11312765e-04  -1.64942205e+01   2.77970146e+01
 1.80000000e-01  -8.33333333e-03   1.00000000e+00   1.35047340e-02   2.33959742e-04  -1.67992798e+01   2.84722464e+01
 1.90000000e-01  -8.33333333e-03   1.00000000e+00   1.53036375e-02   2.57174857e-04  -1.70802623e+01   2.91195032e+01
 2.00000000e-01  -8.33333333e-03   1.00000000e+00   1.71973956e-02   2.81172907e-04  -1.73383644e+01   2.97402843e+01
 2.10000000e-01  -8.33333333e-03   1.00000000e+00   1.91792154e-02   3.06097783e-04  -1.75748470e+01   3.03359752e+01
