  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   1.96220367e-05   2.63365939e-05  -1.62803733e+01   1.20227039e+01
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   1.01710766e-04   5.10991242e-05  -2.30299998e+01   1.53790484e+01
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   2.45346642e-04   7.25050971e-05  -2.48068277e+01   1.66570236e+01
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   4.53020983e-04   8.85229994e-05  -2.50283638e+01   1.72398706e+01
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   7.33186567e-04   9.87906371e-05  -2.57898673e+01   1.80971978e+01
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   1.09573488e-03   1.03771179e-04  -2.71520020e+01   1.92630591e+01
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   1.54929130e-03   1.05395547e-04  -2.86442980e+01   2.04968945e+01
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   2.09817722e-03   1.06120593e-04  -3.00369751e+01   2.16743457e+01
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   2.74304373e-03   1.08147943e-04  -3.13157137e+01   2.27910574e+01
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   3.48208774e-03   1.12889128e-04  -3.25351618e+01   2.38700492e+01
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   4.31219011e-03   1.20821136e-04  -3.37171684e+01   2.49216945e+01
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   5.22874155e-03   1.31659751e-04  -3.48588992e+01   2.59441319e+01
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   6.22749517e-03   1.44726075e-04  -3.59534873e+01   2.69313639e+01
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   7.30411543e-03   1.59205349e-04  -3.69957028e+01   2.78847971e+01
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   8.45435773e-03   1.74372371e-04  -3.79868800e+01   2.88023102e+01
 1.60000000e-01  -8.33333334e-03   1.00000000e+00   9.67426545e-03   1.89744301e-04  -3.89277301e+01   2.96865377e+01
 1.70000000e-01  -8.33333334e-03   1.00000000e+00   1.09602042e-02   2.05083961e-04  -3.98198827e+01   3.05386436e+01
 1.80000000e-01  -8.33333334e-03   1.00000000e+00   1.23087235e-02   2.20385413e-04  -4.06645902e+01   3.13604398e+01
 1.90000000e-01  -8.33333334e-03   1.00000000e+00   1.37165608e-02   2.35773528e-04  -4.14632020e+01   3.21536529e+01
 2.00000000e-01  -8.33333334e-03   1.00000000e+00   1.51804191e-02   2.51433977e-04  -4.22172502e+01   3.29199365e+01
 2.10000000e-01  -8.33333334e-03   1.00000000e+00   1.66969686e-02   2.67534967e-04  -4.29280580e+01   3.36609894e+01
 2.20000000e-01  -8.33333334e-03   1.00000000e+00   1.82627623e-02   2.84192868e-04  -4.35970374e+01   3.43782198e+01
 2.30000000e-01  -8.33333334e-03   1.00000000e+00   1.98741750e-02   3.01450694e-04  -4.42252617e+01   3.50728382e+01
 2.40000000e-01  -8.33333334e-03   1.00000000e+00   2.15273739e-02   3.19288665e-04  -4.48137177e+01   3.57457162e+01
 2.50000000e-01  -8.33333334e-03   1.00000000e+00   2.32184854e-02   3.37657455e-04  -4.53630122e+01   3.63974504e+01
