  Time  Coordinate0  Coordinate1  Displacement0  Displacement1  Force0  Force1
 1.00000000e-02  -8.33333334e-03   1.00000000e+00   2.85975092e-06   2.12660355e-05  -1.62906913e+01   1.20197530e+01
 2.00000000e-02  -8.33333334e-03   1.00000000e+00   6.14828562e-05   4.54493042e-05  -2.30506665e+01   1.53792455e+01
 3.00000000e-02  -8.33333334e-03   1.00000000e+00   1.73233440e-04   7.00726828e-05  -2.48269520e+01   1.66614420e+01
 4.00000000e-02  -8.33333334e-03   1.00000000e+00   3.32118888e-04   9.21650866e-05  -2.50435142e+01   1.72447212e+01
 5.00000000e-02  -8.33333334e-03   1.00000000e+00   5.36518826e-04   1.08770657e-04  -2.58102826e+01   1.80982961e+01
 6.00000000e-02  -8.33333334e-03   1.00000000e+00   7.89294806e-04   1.16519914e-04  -2.71786454e+01   1.92571087e+01
 7.00000000e-02  -8.33333334e-03   1.00000000e+00   1.09865410e-03   1.13377741e-04  -2.86862591e+01   2.04786186e+01
 8.00000000e-02  -8.33333334e-03   1.00000000e+00   1.47894072e-03   1.00696348e-04  -3.00927846e+01   2.16385788e+01
 9.00000000e-02  -8.33333334e-03   1.00000000e+00   1.95101069e-03   8.37695016e-05  -3.13890131e+01   2.27339270e+01
 1.00000000e-01  -8.33333334e-03   1.00000000e+00   2.53883155e-03   7.00298040e-05  -3.26193840e+01   2.37927566e+01
 1.10000000e-01  -8.33333334e-03   1.00000000e+00   3.26369227e-03   6.60848614e-05  -3.38045926e+01   2.48296786e+01
 1.20000000e-01  -8.33333334e-03   1.00000000e+00   4.13859273e-03   7.53881487e-05  -3.49385667e+01   2.58458649e+01
 1.30000000e-01  -8.33333334e-03   1.00000000e+00   5.16640007e-03   9.76130350e-05  -3.60141870e+01   2.68381749e+01
 1.40000000e-01  -8.33333334e-03   1.00000000e+00   6.34179446e-03   1.29403471e-04  -3.70294948e+01   2.78042412e+01
 1.50000000e-01  -8.33333334e-03   1.00000000e+00   7.65536255e-03   1.65684273e-04  -3.79868982e+01   2.87435644e+01
